year,name,salary,team
2000,Jason Varitek,"$375,000  ",boston-red-sox
2000,Ramon Hernandez,"$211,000  ",oakland-athletics
2000,Jason Kendall,"$2,250,000  ",pittsburgh-pirates
2000,Yadier Molina,"$325,000  ",st.-louis-cardinals
2001,Henry Blanco,"$712,500  ",atlanta-braves
2001,Miguel Montero,"$13,000  ",arizona-diamondbacks
2001,Jason Varitek,"$1,800,000  ",boston-red-sox
2001,Ramon Hernandez,"$245,000  ",oakland-athletics
2001,A.J. Pierzynski,"$210,000  ",minnesota-twins
2001,Jason Kendall,"$5,100,000  ",pittsburgh-pirates
2001,Rene Rivera,"$688,000  ",seattle-mariners
2002,Jason Varitek,"$3,500,000  ",boston-red-sox
2002,Henry Blanco,"$1,400,000  ",atlanta-braves
2002,Brian McCann,"$750,000  ",atlanta-braves
2002,Russell Martin,"$40,000  ",los-angeles-dodgers
2002,A.J. Pierzynski,"$250,000  ",minnesota-twins
2002,Jason Kendall,"$6,666,666  ",pittsburgh-pirates
2002,Ramon Hernandez,"$463,750  ",oakland-athletics
2002,Yorbit Torrealba,"$200,000  ",san-francisco-giants
2002,Jose Lobaton,"$70,000  ",san-diego-padres
2002,Brian Schneider,"$212,000  ",montreal-expos
2003,Rod Barajas,"$300,000  ",arizona-diamondbacks
2003,Henry Blanco,"$1,300,000  ",atlanta-braves
2003,Jason Varitek,"$4,700,000  ",boston-red-sox
2003,Miguel Olivo,"$300,000  ",chicago-white-sox
2003,Ramon Castro,"$300,000  ",miami-marlins
2003,Russell Martin,"$300,000  ",los-angeles-dodgers
2003,A.J. Ellis,"$2,500  ",los-angeles-dodgers
2003,Francisco Cervelli,"$65,000  ",new-york-yankees
2003,A.J. Pierzynski,"$365,000  ",minnesota-twins
2003,Ramon Hernandez,"$1,853,750  ",oakland-athletics
2003,Jason Kendall,"$8,666,666  ",pittsburgh-pirates
2003,Yorbit Torrealba,"$312,000  ",san-francisco-giants
2003,Ivan Rodriguez,"$10,000,000  ",florida-marlins
2003,Ronny Paulino,"$300,000  ",florida-marlins
2003,Brian Schneider,"$310,000  ",montreal-expos
2004,Jason Varitek,"$6,700,000  ",boston-red-sox
2004,Miguel Olivo,"$320,000  ",chicago-white-sox
2004,Chris Iannetta,"$305,000  ",colorado-rockies
2004,John Buck,"$300,000  ",kansas-city-royals
2004,Welington Castillo,"$22,000  ",chicago-cubs
2004,Ivan Rodriguez,"$7,000,000  ",detroit-tigers
2004,Henry Blanco,"$750,000  ",minnesota-twins
2004,Wilson Ramos,"$27,000  ",minnesota-twins
2004,Ramon Castro,"$400,000  ",miami-marlins
2004,Kurt Suzuki,"$550,000  ",oakland-athletics
2004,David Ross,"$310,000  ",los-angeles-dodgers
2004,Ramon Hernandez,"$2,903,750  ",san-diego-padres
2004,Jason Kendall,"$8,666,666  ",pittsburgh-pirates
2004,A.J. Pierzynski,"$3,500,000  ",san-francisco-giants
