year,name,salary,team
2000,Greg  Maddux,"$11,100,000  ",atlanta-braves
2000,Tom Glavine,"$9,463,237  ",atlanta-braves
2000,Adam Wainwright,"$1,250,000  ",atlanta-braves
2000,Blaine Boyer,"$375,000  ",atlanta-braves
2000,Danys Baez,"$1,125,000  ",cleveland-indians
2000,Bartolo Colon,"$1,125,000  ",cleveland-indians
2000,Randy Johnson,"$13,650,000  ",arizona-diamondbacks
2000,Curt Schilling,"$5,650,000  ",arizona-diamondbacks
2000,Chad Qualls,"$415,000  ",houston-astros
2000,Pedro Martinez,"$11,500,000  ",boston-red-sox
2000,Tim Wakefield,"$4,500,000  ",boston-red-sox
2000,Derek Lowe,"$625,000  ",boston-red-sox
2000,Dennys Reyes,"$200,000  ",cincinnati-reds
2000,Scott Downs,"$200,000  ",chicago-cubs
2000,Mark Buehrle,"$200,000  ",chicago-white-sox
2000,Ryan Dempster,"$268,000  ",miami-marlins
2000,Roger Clemens,"$8,100,000  ",new-york-yankees
2000,Mariano Rivera,"$7,250,000  ",new-york-yankees
2000,Andy Pettitte,"$7,000,000  ",new-york-yankees
2000,Ted Lilly,"$201,000  ",new-york-yankees
2000,Randy Choate,"$200,000  ",new-york-yankees
2000,Tim Hudson,"$250,000  ",oakland-athletics
2000,Chris Young,"$1,650,000  ",san-diego-padres
2000,Randy Wolf,"$240,000  ",philadelphia-phillies
2000,Bruce Chen,"$207,500  ",philadelphia-phillies
2000,Arthur Rhodes,"$2,750,000  ",seattle-mariners
2000,Livan Hernandez,"$1,325,000  ",san-francisco-giants
2000,Joe Nathan,"$225,000  ",san-francisco-giants
2000,Darren Oliver,"$4,500,000  ",texas-rangers
2000,Dustin McGowan,"$950,000  ",toronto-blue-jays
2000,Chris Carpenter,"$650,000  ",toronto-blue-jays
2000,Kelvim Escobar,"$500,000  ",toronto-blue-jays
2000,Roy Halladay,"$300,000  ",toronto-blue-jays
2000,Miguel Batista,"$325,000  ",montreal-expos
2000,Javier Vazquez,"$280,000  ",montreal-expos
2001,Greg  Maddux,"$13,100,000  ",atlanta-braves
2001,Tom Glavine,"$9,500,000  ",atlanta-braves
2001,Pedro Martinez,"$13,000,000  ",boston-red-sox
2001,Tim Wakefield,"$3,000,000  ",boston-red-sox
2001,Derek Lowe,"$325,000  ",boston-red-sox
2001,Jim Johnson,"$400,000  ",baltimore-orioles
2001,Randy Johnson,"$13,350,000  ",arizona-diamondbacks
2001,Mark Buehrle,"$225,000  ",chicago-white-sox
2001,Curt Schilling,"$6,500,000  ",arizona-diamondbacks
2001,Kerry Wood,"$1,940,000  ",chicago-cubs
2001,Ricky Nolasco,"$335,000  ",chicago-cubs
2001,Dennys Reyes,"$625,000  ",cincinnati-reds
2001,Danys Baez,"$3,125,000  ",cleveland-indians
2001,Bartolo Colon,"$2,625,000  ",cleveland-indians
2001,Jamey Wright,"$2,350,000  ",colorado-rockies
2001,Ubaldo Jimenez,"$30,000  ",colorado-rockies
2001,Octavio Dotel,"$240,000  ",houston-astros
2001,Eric Gagne,"$220,000  ",los-angeles-dodgers
2001,LaTroy Hawkins,"$1,450,000  ",minnesota-twins
2001,Yusmeiro Petit,"$20,000  ",new-york-mets
2001,Neal Cotts,"$525,000  ",oakland-athletics
2001,Tim Hudson,"$525,000  ",oakland-athletics
2001,Barry Zito,"$240,000  ",oakland-athletics
2001,Ryan Dempster,"$400,000  ",miami-marlins
2001,Roger Clemens,"$10,300,000  ",new-york-yankees
2001,Mariano Rivera,"$9,150,000  ",new-york-yankees
2001,Andy Pettitte,"$7,000,000  ",new-york-yankees
2001,Randy Wolf,"$365,000  ",philadelphia-phillies
2001,Randy Choate,"$200,000  ",new-york-yankees
2001,Bruce Chen,"$300,000  ",philadelphia-phillies
2001,Bronson Arroyo,"$225,000  ",pittsburgh-pirates
2001,Livan Hernandez,"$2,675,000  ",san-francisco-giants
2001,Joe Nathan,"$200,000  ",san-francisco-giants
2001,Arthur Rhodes,"$3,750,000  ",seattle-mariners
2001,Ryan Franklin,"$202,500  ",seattle-mariners
2001,Darren Oliver,"$6,500,000  ",texas-rangers
2001,Edinson Volquez,"$27,000  ",texas-rangers
2001,Chris Carpenter,"$2,500,000  ",toronto-blue-jays
2001,Kelvim Escobar,"$1,500,000  ",toronto-blue-jays
2001,Roy Halladay,"$650,000  ",toronto-blue-jays
2001,Javier Vazquez,"$2,000,000  ",montreal-expos
2001,Scott Downs,"$200,000  ",montreal-expos
2002,Randy Johnson,"$13,350,000  ",arizona-diamondbacks
2002,Curt Schilling,"$10,000,000  ",arizona-diamondbacks
2002,Miguel Batista,"$2,125,000  ",arizona-diamondbacks
2002,Greg  Maddux,"$13,100,000  ",atlanta-braves
2002,Tom Glavine,"$8,623,700  ",atlanta-braves
2002,Charlie Morton,"$415,000  ",atlanta-braves
2002,Pedro Martinez,"$14,000,000  ",boston-red-sox
2002,Darren Oliver,"$6,500,000  ",boston-red-sox
2002,Tim Wakefield,"$3,200,000  ",boston-red-sox
2002,Derek Lowe,"$3,125,000  ",boston-red-sox
2002,Jon Lester,"$1,000,000  ",boston-red-sox
2002,Kerry Wood,"$3,695,000  ",chicago-cubs
2002,Mark Prior,"$1,050,000  ",chicago-cubs
2002,Rich Hill,"$302,000  ",chicago-cubs
2002,Carlos Zambrano,"$200,000  ",chicago-cubs
2002,Mark Buehrle,"$310,000  ",chicago-white-sox
2002,Jon Garland,"$275,000  ",chicago-white-sox
2002,Damaso Marte,"$227,500  ",chicago-white-sox
2002,Jon Rauch,"$200,000  ",chicago-white-sox
2002,Brandon McCarthy,"$40,000  ",chicago-white-sox
2002,Danys Baez,"$4,125,000  ",cleveland-indians
2002,C.C. Sabathia,"$700,000  ",cleveland-indians
2002,Jake Westbrook,"$217,000  ",cleveland-indians
2002,Jamey Wright,"$4,250,000  ",colorado-rockies
2002,Dennys Reyes,"$900,000  ",colorado-rockies
2002,Zack Greinke,"$2,475,000  ",kansas-city-royals
2002,Jeremy Affeldt,"$2,000,000  ",kansas-city-royals
2002,Octavio Dotel,"$435,000  ",houston-astros
2002,Octavio Dotel,"$305,000  ",houston-astros
2002,Roy Oswalt,"$300,000  ",houston-astros
2002,Scott Linebrink,"$230,000  ",houston-astros
2002,Brad Penny,"$377,500  ",los-angeles-dodgers
2002,Eric Gagne,"$300,000  ",los-angeles-dodgers
2002,Ben Sheets,"$290,000  ",milwaukee-brewers
2002,LaTroy Hawkins,"$2,300,000  ",minnesota-twins
2002,J.C. Romero,"$215,000  ",minnesota-twins
2002,Pat Neshek,"$132,500  ",minnesota-twins
2002,Roger Clemens,"$10,300,000  ",new-york-yankees
2002,Andy Pettitte,"$9,500,000  ",new-york-yankees
2002,Mariano Rivera,"$9,450,000  ",new-york-yankees
2002,Ted Lilly,"$237,150  ",new-york-yankees
2002,Randy Choate,"$223,350  ",new-york-yankees
2002,Scott Kazmir,"$2,150,000  ",new-york-mets
2002,Barry Zito,"$1,900,000  ",oakland-athletics
2002,Bruce Chen,"$300,000  ",new-york-mets
2002,Cole Hamels,"$2,000,000  ",philadelphia-phillies
2002,Tim Hudson,"$875,000  ",oakland-athletics
2002,Alexi Ogando,"$15,000  ",oakland-athletics
2002,Randy Wolf,"$450,000  ",philadelphia-phillies
2002,Carlos Silva,"$200,000  ",philadelphia-phillies
2002,Joe Blanton,"$1,400,000  ",pittsburgh-pirates
2002,Bronson Arroyo,"$300,000  ",pittsburgh-pirates
2002,Ryan Vogelsong,"$212,500  ",pittsburgh-pirates
2002,Jake Peavy,"$200,000  ",san-diego-padres
2002,Livan Hernandez,"$3,275,000  ",san-francisco-giants
2002,Arthur Rhodes,"$3,750,000  ",seattle-mariners
2002,Matt Cain,"$1,375,000  ",san-francisco-giants
2002,Joe Nathan,"$300,000  ",san-francisco-giants
2002,Felix Hernandez,"$710,000  ",seattle-mariners
2002,Ryan Franklin,"$250,000  ",seattle-mariners
2002,Kyle Lohse,"$215,000  ",st.-louis-cardinals
2002,Doug Davis,"$310,000  ",texas-rangers
2002,Colby Lewis,"$200,000  ",texas-rangers
2002,Chris Carpenter,"$3,450,000  ",toronto-blue-jays
2002,Roy Halladay,"$2,500,000  ",toronto-blue-jays
2002,Kelvim Escobar,"$2,300,000  ",toronto-blue-jays
2002,Ryan Dempster,"$2,475,000  ",florida-marlins
2002,Josh Beckett,"$2,156,250  ",florida-marlins
2002,A.J. Burnett,"$367,500  ",florida-marlins
2002,Scott Downs,"$225,000  ",washington-nationals
2002,Javier Vazquez,"$4,725,000  ",montreal-expos
2002,Bartolo Colon,"$4,625,000  ",montreal-expos
2003,Randy Johnson,"$15,000,000  ",arizona-diamondbacks
2003,Miguel Batista,"$3,375,000  ",arizona-diamondbacks
2003,Greg  Maddux,"$14,750,000  ",atlanta-braves
2003,Juan Cruz,"$340,000  ",atlanta-braves
2003,Kerry Wood,"$6,190,000  ",chicago-cubs
2003,Adam Loewen,"$3,200,000  ",baltimore-orioles
2003,Mark Prior,"$1,550,000  ",chicago-cubs
2003,Kyle Farnsworth,"$600,000  ",chicago-cubs
2003,Rodrigo Lopez,"$325,000  ",baltimore-orioles
2003,Erik Bedard,"$300,000  ",baltimore-orioles
2003,Pedro Martinez,"$15,500,000  ",boston-red-sox
2003,Will Ohman,"$305,000  ",chicago-cubs
2003,Curt Schilling,"$10,000,000  ",boston-red-sox
2003,Tim Wakefield,"$4,030,000  ",boston-red-sox
2003,Bartolo Colon,"$6,000,000  ",chicago-white-sox
2003,Derek Lowe,"$3,625,000  ",boston-red-sox
2003,Brandon Lyon,"$309,500  ",boston-red-sox
2003,Mark Buehrle,"$445,000  ",chicago-white-sox
2003,Jon Garland,"$375,000  ",chicago-white-sox
2003,Wilfredo Ledezma,"$300,000  ",boston-red-sox
2003,Damaso Marte,"$330,000  ",chicago-white-sox
2003,Darren Oliver,"$350,000  ",colorado-rockies
2003,Aaron Cook,"$300,000  ",colorado-rockies
2003,Brian Fuentes,"$300,000  ",colorado-rockies
2003,Javier Lopez,"$300,000  ",colorado-rockies
2003,Ryan Dempster,"$3,250,000  ",cincinnati-reds
2003,Bruce Chen,"$700,000  ",cincinnati-reds
2003,Danys Baez,"$5,125,000  ",cleveland-indians
2003,Jeremy Guthrie,"$1,125,000  ",cleveland-indians
2003,C.C. Sabathia,"$1,100,000  ",cleveland-indians
2003,Aaron Laffey,"$363,000  ",cleveland-indians
2003,Jake Westbrook,"$305,500  ",cleveland-indians
2003,Cliff Lee,"$300,900  ",cleveland-indians
2003,Octavio Dotel,"$1,600,000  ",houston-astros
2003,Roy Oswalt,"$500,000  ",houston-astros
2003,Brad Lidge,"$300,000  ",houston-astros
2003,Jeremy Affeldt,"$313,000  ",kansas-city-royals
2003,Mike MacDougal,"$301,000  ",kansas-city-royals
2003,D.J. Carrasco,"$300,000  ",kansas-city-royals
2003,Ben Sheets,"$428,000  ",milwaukee-brewers
2003,LaTroy Hawkins,"$3,000,000  ",minnesota-twins
2003,Johan Santana,"$335,000  ",minnesota-twins
2003,Kyle Lohse,"$330,000  ",minnesota-twins
2003,Brad Penny,"$1,875,000  ",los-angeles-dodgers
2003,J.C. Romero,"$325,000  ",minnesota-twins
2003,Guillermo Mota,"$675,000  ",los-angeles-dodgers
2003,Eric Gagne,"$550,000  ",los-angeles-dodgers
2003,Wesley Wright,"$120,000  ",los-angeles-dodgers
2003,Tom Glavine,"$11,000,000  ",new-york-mets
2003,Tim Hudson,"$2,725,000  ",oakland-athletics
2003,Andy Pettitte,"$11,500,000  ",new-york-yankees
2003,Barry Zito,"$1,050,000  ",oakland-athletics
2003,Ted Lilly,"$335,000  ",oakland-athletics
2003,Mariano Rivera,"$10,500,000  ",new-york-yankees
2003,Roger Clemens,"$10,100,000  ",new-york-yankees
2003,A.J. Burnett,"$2,500,000  ",miami-marlins
2003,Jose Contreras,"$4,000,000  ",new-york-yankees
2003,Tyler Clippard,"$75,000  ",new-york-yankees
2003,Josh Beckett,"$1,725,000  ",miami-marlins
2003,Logan Kensing,"$676,000  ",miami-marlins
2003,Jake Peavy,"$305,000  ",san-diego-padres
2003,Carlos Zambrano,"$340,000  ",miami-marlins
2003,Randy Wolf,"$2,375,000  ",philadelphia-phillies
2003,Heath Bell,"$300,000  ",san-diego-padres
2003,Scott Linebrink,"$300,000  ",san-diego-padres
2003,Dennys Reyes,"$600,000  ",pittsburgh-pirates
2003,Carlos Silva,"$310,000  ",philadelphia-phillies
2003,Carlos Carrasco,"$300,000  ",philadelphia-phillies
2003,Oliver Perez,"$305,000  ",pittsburgh-pirates
2003,Ryan Vogelsong,"$300,000  ",pittsburgh-pirates
2003,Brett Myers,"$300,000  ",philadelphia-phillies
2003,David Aardsma,"$1,425,000  ",san-francisco-giants
2003,Joe Nathan,"$300,000  ",san-francisco-giants
2003,Jamie Moyer,"$6,000,000  ",seattle-mariners
2003,Chris Carpenter,"$300,000  ",st.-louis-cardinals
2003,Arthur Rhodes,"$3,750,000  ",seattle-mariners
2003,Eric O'Flaherty,"$1,550,000  ",seattle-mariners
2003,Joel Pineiro,"$440,000  ",seattle-mariners
2003,Ryan Franklin,"$425,000  ",seattle-mariners
2003,John Danks,"$2,100,000  ",texas-rangers
2003,Francisco Cordero,"$900,000  ",texas-rangers
2003,Doug Davis,"$427,500  ",texas-rangers
2003,Colby Lewis,"$302,500  ",texas-rangers
2003,Kelvim Escobar,"$3,900,000  ",toronto-blue-jays
2003,Roy Halladay,"$3,825,000  ",toronto-blue-jays
2003,Trever Miller,"$305,000  ",toronto-blue-jays
2003,Scott Downs,"$300,000  ",washington-nationals
2004,Rodrigo Lopez,"$365,000  ",baltimore-orioles
2003,Javier Vazquez,"$6,000,000  ",montreal-expos
2004,John Maine,"$300,000  ",baltimore-orioles
2004,Randy Johnson,"$16,000,000  ",arizona-diamondbacks
2003,Livan Hernandez,"$3,825,000  ",montreal-expos
2003,Luis Ayala,"$300,000  ",montreal-expos
2004,Brandon Webb,"$335,000  ",arizona-diamondbacks
2004,Randy Choate,"$325,750  ",arizona-diamondbacks
2004,Juan Cruz,"$370,000  ",atlanta-braves
2004,Jose Valverde,"$320,000  ",arizona-diamondbacks
2004,Pedro Martinez,"$17,500,000  ",boston-red-sox
2004,Curt Schilling,"$12,000,000  ",boston-red-sox
2004,Curt Schilling,"$12,000,000  ",boston-red-sox
2004,Kerry Wood,"$8,000,000  ",chicago-cubs
2004,Derek Lowe,"$4,500,000  ",boston-red-sox
2004,Tim Wakefield,"$4,350,000  ",boston-red-sox
2004,Greg  Maddux,"$6,000,000  ",chicago-cubs
2004,Mark Prior,"$2,900,000  ",chicago-cubs
2004,Homer Bailey,"$2,300,000  ",cincinnati-reds
2004,Bronson Arroyo,"$332,500  ",boston-red-sox
2004,Brandon Lyon,"$330,000  ",boston-red-sox
2004,Kyle Farnsworth,"$1,400,000  ",chicago-cubs
