year,name,salary,team
1991,John Elway,"$1,900,000  ",denver-broncos
1991,Mike Croel,"$738,750  ",denver-broncos
1991,Shannon Sharpe,"$121,250  ",denver-broncos
1991,Troy  Aikman,"$1,708,333  ",dallas-cowboys
1991,Keith McCants,"$1,100,000  ",arizona-cardinals
1991,Mark Carrier,"$650,000  ",chicago-bears
1991,Russell Maryland,"$1,420,000  ",dallas-cowboys
1991,Aeneas Williams,"$866,666  ",arizona-cardinals
1991,Deion Sanders,"$1,050,000  ",atlanta-falcons
1991,Alvin Harper,"$696,666  ",dallas-cowboys
1991,James Francis,"$570,000  ",cincinnati-bengals
1991,Randal Hill,"$616,666  ",arizona-cardinals
1991,Eric Turner,"$1,337,500  ",cleveland-browns
1991,Bruce Pickens,"$980,000  ",atlanta-falcons
1991,Mike Pritchard,"$683,333  ",atlanta-falcons
1991,Emmitt Smith,"$630,000  ",dallas-cowboys
1991,Jim Kelly,"$2,725,000  ",buffalo-bills
1991,Barry Sanders,"$1,245,000  ",detroit-lions
1991,Steve Broussard,"$468,750  ",atlanta-falcons
1991,Vinnie Clark,"$630,000  ",green-bay-packers
1991,Michael Irvin,"$537,500  ",dallas-cowboys
1991,Bruce Smith,"$1,500,000  ",buffalo-bills
1991,Percy Snow,"$700,000  ",kansas-city-chiefs
1991,Andre Ware,"$1,162,500  ",detroit-lions
1991,Brett Favre,"$410,000  ",atlanta-falcons
1991,Darrell Thompson,"$608,333  ",green-bay-packers
1991,Steve Beuerlein,"$495,000  ",dallas-cowboys
1991,Andre Reed,"$651,666  ",buffalo-bills
1991,Harvey Williams,"$550,000  ",kansas-city-chiefs
1991,Jeff George,"$2,083,333  ",indianapolis-colts
1991,Herman Moore,"$725,000  ",detroit-lions
1991,Andre Rison,"$350,000  ",atlanta-falcons
1991,Tony Bennett,"$606,666  ",green-bay-packers
1991,Steve Walsh,"$450,000  ",dallas-cowboys
1991,Henry Jones,"$650,000  ",buffalo-bills
1991,Andre Rison,"$534,000  ",indianapolis-colts
1991,James Williams,"$648,000  ",buffalo-bills
1991,Thurman Thomas,"$522,500  ",buffalo-bills
1991,Phil Hansen,"$335,000  ",buffalo-bills
1991,Dan Marino,"$2,516,666  ",miami-dolphins
1991,Cris Carter,"$500,000  ",minnesota-vikings
1991,Richmond Webb,"$665,000  ",miami-dolphins
1991,Terry Allen,"$130,000  ",minnesota-vikings
1991,Jim Kelly,"$2,725,000  ",los-angeles-rams
1991,JB Brown,"$350,000  ",miami-dolphins
1991,Pat Harlow,"$732,166  ",new-england-patriots
1991,Steve Walsh,"$825,000  ",new-orleans-saints
1991,Dan Marino,"$2,516,666  ",los-angeles-rams
1991,Chris Singleton,"$720,000  ",new-england-patriots
1991,Renaldo Turnbull,"$530,000  ",new-orleans-saints
1991,Jeff George,"$2,083,333  ",los-angeles-rams
1991,Ray Agnew,"$650,000  ",new-england-patriots
1991,Jarrod Bunch,"$733,333  ",new-york-giants
1991,John Elway,"$1,900,000  ",los-angeles-rams
1991,Rodney Hampton,"$537,500  ",new-york-giants
1991,Troy  Aikman,"$1,708,333  ",los-angeles-rams
1991,Bruce Smith,"$1,500,000  ",los-angeles-rams
1991,Brian Bosworth,"$1,500,000  ",los-angeles-rams
1991,Blair Thomas,"$1,400,000  ",new-york-jets
1991,Russell Maryland,"$1,420,000  ",los-angeles-rams
1991,Blair Thomas,"$1,400,000  ",los-angeles-rams
1991,Jerry Rice,"$1,350,000  ",los-angeles-rams
1991,Eric Turner,"$1,337,500  ",los-angeles-rams
1991,Mark Rypien,"$1,250,000  ",los-angeles-rams
1991,Barry Sanders,"$1,245,000  ",los-angeles-rams
1991,Andre Ware,"$1,162,500  ",los-angeles-rams
1991,Marcus Allen,"$1,100,000  ",oakland-raiders
1991,Keith McCants,"$1,100,000  ",los-angeles-rams
1991,Tim Brown,"$762,500  ",oakland-raiders
1991,Huey Richardson,"$637,500  ",pittsburgh-steelers
1991,Marcus Allen,"$1,100,000  ",los-angeles-rams
1991,Ben Smith,"$570,000  ",philadelphia-eagles
1991,Todd Marinovich,"$633,333  ",oakland-raiders
1991,Eric Green,"$515,000  ",pittsburgh-steelers
1991,Cortez Kennedy,"$1,100,000  ",los-angeles-rams
1991,John Booty,"$203,750  ",philadelphia-eagles
1991,Anthony Smith,"$587,500  ",oakland-raiders
1991,Deion Sanders,"$1,050,000  ",los-angeles-rams
1991,Jerry Rice,"$1,350,000  ",san-francisco-49ers
1991,Charles McRae,"$700,000  ",tampa-bay-buccaneers
1991,Bruce Pickens,"$980,000  ",los-angeles-rams
1991,Brian Bosworth,"$1,500,000  ",seattle-seahawks
1991,Ted Washington,"$496,750  ",san-francisco-49ers
1991,Anthony Miller,"$900,000  ",los-angeles-rams
1991,Cortez Kennedy,"$1,100,000  ",seattle-seahawks
1991,Ernest Givins,"$700,000  ",tennessee-titans
1991,Dexter Carter,"$488,000  ",san-francisco-49ers
1991,Todd Lyght,"$870,000  ",los-angeles-rams
1991,Aeneas Williams,"$866,666  ",los-angeles-rams
1991,Mark Rypien,"$1,250,000  ",washington-redskins
1991,Steve Walsh,"$825,000  ",los-angeles-rams
1991,Junior Seau,"$785,000  ",los-angeles-rams
1991,Todd Lyght,"$870,000  ",st.-louis-rams
1991,Tim Brown,"$762,500  ",los-angeles-rams
1991,Bern Brostek,"$530,000  ",st.-louis-rams
1991,Stanley Richard,"$753,333  ",los-angeles-rams
1991,Mike Croel,"$738,750  ",los-angeles-rams
1991,Jarrod Bunch,"$733,333  ",los-angeles-rams
1991,Pat Harlow,"$732,166  ",los-angeles-rams
1991,Herman Moore,"$725,000  ",los-angeles-rams
1991,Chris Singleton,"$720,000  ",los-angeles-rams
1991,Percy Snow,"$700,000  ",los-angeles-rams
1991,Charles McRae,"$700,000  ",los-angeles-rams
1991,Ernest Givins,"$700,000  ",los-angeles-rams
1991,Alvin Harper,"$696,666  ",los-angeles-rams
1991,Mike Pritchard,"$683,333  ",los-angeles-rams
1991,Richmond Webb,"$665,000  ",los-angeles-rams
1991,Andre Reed,"$651,666  ",los-angeles-rams
1991,Henry Jones,"$650,000  ",los-angeles-rams
1991,Mark Carrier,"$650,000  ",los-angeles-rams
1991,Ray Agnew,"$650,000  ",los-angeles-rams
1991,James Williams,"$648,000  ",los-angeles-rams
1991,Huey Richardson,"$637,500  ",los-angeles-rams
1991,Todd Marinovich,"$633,333  ",los-angeles-rams
1991,Emmitt Smith,"$630,000  ",los-angeles-rams
1991,Vinnie Clark,"$630,000  ",los-angeles-rams
1991,Randal Hill,"$616,666  ",los-angeles-rams
1991,Darrell Thompson,"$608,333  ",los-angeles-rams
1991,Tony Bennett,"$606,666  ",los-angeles-rams
1991,Lamar Lathon,"$600,000  ",los-angeles-rams
1991,Anthony Smith,"$587,500  ",los-angeles-rams
1991,James Francis,"$570,000  ",los-angeles-rams
1991,Ben Smith,"$570,000  ",los-angeles-rams
1991,Harvey Williams,"$550,000  ",los-angeles-rams
1991,Michael Irvin,"$537,500  ",los-angeles-rams
1991,Rodney Hampton,"$537,500  ",los-angeles-rams
1991,Andre Rison,"$534,000  ",los-angeles-rams
1991,Renaldo Turnbull,"$530,000  ",los-angeles-rams
1991,Bern Brostek,"$530,000  ",los-angeles-rams
1991,Thurman Thomas,"$522,500  ",los-angeles-rams
1991,Eric Green,"$515,000  ",los-angeles-rams
1991,Cris Carter,"$500,000  ",los-angeles-rams
1991,Ted Washington,"$496,750  ",los-angeles-rams
1991,Steve Beuerlein,"$495,000  ",los-angeles-rams
1991,Dexter Carter,"$488,000  ",los-angeles-rams
1991,Steve Broussard,"$468,750  ",los-angeles-rams
1991,Steve Walsh,"$450,000  ",los-angeles-rams
1991,Brett Favre,"$410,000  ",los-angeles-rams
1991,Andre Rison,"$350,000  ",los-angeles-rams
1991,JB Brown,"$350,000  ",los-angeles-rams
1991,Phil Hansen,"$335,000  ",los-angeles-rams
1991,John Booty,"$203,750  ",los-angeles-rams
1991,Terry Allen,"$130,000  ",los-angeles-rams
1991,Shannon Sharpe,"$121,250  ",los-angeles-rams
1993,Deion Sanders,"$2,387,666  ",atlanta-falcons
1993,Andre Rison,"$1,859,000  ",atlanta-falcons
1993,Mike Pritchard,"$883,334  ",atlanta-falcons
1993,Steve Beuerlein,"$3,058,333  ",arizona-cardinals
1993,Bruce Pickens,"$630,000  ",atlanta-falcons
1993,Steve Broussard,"$568,750  ",atlanta-falcons
1993,John Booty,"$1,333,333  ",arizona-cardinals
1993,Aeneas Williams,"$976,668  ",arizona-cardinals
1993,Vinnie Clark,"$430,000  ",atlanta-falcons
1993,Vinnie Clark,"$300,000  ",atlanta-falcons
1993,Randal Hill,"$816,668  ",arizona-cardinals
1993,Brett Favre,"$150,000  ",atlanta-falcons
1993,Jim Kelly,"$4,475,000  ",buffalo-bills
1993,Bruce Smith,"$4,350,000  ",buffalo-bills
1993,Thurman Thomas,"$4,198,750  ",buffalo-bills
1993,Andre Reed,"$1,846,666  ",buffalo-bills
1993,Bruce Smith,"$1,700,000  ",buffalo-bills
1993,James Williams,"$1,075,000  ",buffalo-bills
1993,Henry Jones,"$715,000  ",buffalo-bills
1993,Phil Hansen,"$435,000  ",buffalo-bills
1993,Mark Carrier,"$800,000  ",chicago-bears
1993,Eric Turner,"$1,487,500  ",cleveland-browns
1993,Emmitt Smith,"$4,250,000  ",dallas-cowboys
1993,Troy  Aikman,"$3,989,584  ",dallas-cowboys
1993,Russell Maryland,"$1,545,000  ",dallas-cowboys
1993,Michael Irvin,"$1,250,000  ",dallas-cowboys
1993,Alvin Harper,"$746,668  ",dallas-cowboys
1993,Darren Woodson,"$458,000  ",dallas-cowboys
1993,Tony Bennett,"$766,666  ",green-bay-packers
1993,Brett Favre,"$757,000  ",green-bay-packers
1993,Darrell Thompson,"$600,000  ",green-bay-packers
1993,Barry Sanders,"$4,370,000  ",detroit-lions
1993,Herman Moore,"$2,100,000  ",detroit-lions
1993,James Francis,"$670,000  ",cincinnati-bengals
1993,John Elway,"$5,600,000  ",denver-broncos
1993,Andre Ware,"$1,525,000  ",detroit-lions
1993,Mike Croel,"$738,750  ",denver-broncos
1993,Shannon Sharpe,"$460,000  ",denver-broncos
1993,Marcus Allen,"$1,283,333  ",kansas-city-chiefs
1993,Ronnie Bradford,"$96,666  ",denver-broncos
1993,Ronnie Bradford,"$18,700  ",denver-broncos
1993,Bruce Pickens,"$725,000  ",kansas-city-chiefs
1993,Harvey Williams,"$690,000  ",kansas-city-chiefs
1993,Percy Snow,"$250,000  ",kansas-city-chiefs
1993,Dan Marino,"$4,083,333  ",miami-dolphins
1993,JB Brown,"$1,325,000  ",miami-dolphins
1993,Richmond Webb,"$815,000  ",miami-dolphins
1993,Chris Singleton,"$475,000  ",miami-dolphins
1993,Jeff George,"$2,583,333  ",indianapolis-colts
1993,Cris Carter,"$1,150,000  ",minnesota-vikings
1993,Terry Allen,"$500,000  ",minnesota-vikings
1993,Terry Allen,"$500,000  ",minnesota-vikings
1993,Drew Bledsoe,"$1,775,000  ",new-england-patriots
1993,Qadry Ismail,"$302,000  ",minnesota-vikings
1993,Brad Johnson,"$168,750  ",minnesota-vikings
1993,Renaldo Turnbull,"$620,000  ",new-orleans-saints
1993,Pat Harlow,"$782,168  ",new-england-patriots
1993,Steve Walsh,"$200,000  ",new-orleans-saints
1993,Torrance Small,"$170,000  ",new-orleans-saints
1993,Ray Agnew,"$750,000  ",new-england-patriots
1993,Chris Singleton,"$590,000  ",new-england-patriots
1993,Blair Thomas,"$1,800,000  ",new-york-jets
1993,Dave Brown,"$1,100,000  ",new-york-giants
1993,Derek Brown,"$887,500  ",new-york-giants
1993,Jarrod Bunch,"$733,334  ",new-york-giants
1993,Anthony Smith,"$2,062,500  ",oakland-raiders
1993,Rodney Hampton,"$662,500  ",new-york-giants
1993,Michael Strahan,"$320,000  ",new-york-giants
1993,Rocket Ismail,"$1,700,000  ",oakland-raiders
1993,Tim Brown,"$900,000  ",oakland-raiders
1993,Todd Marinovich,"$333,334  ",oakland-raiders
1993,Leon Searcy,"$975,000  ",pittsburgh-steelers
1993,Junior Seau,"$1,010,000  ",san-diego-chargers
1993,Eric Green,"$662,500  ",pittsburgh-steelers
1993,Anthony Miller,"$1,000,000  ",san-diego-chargers
1993,Jerry Rice,"$2,380,000  ",san-francisco-49ers
1993,Ben Smith,"$1,020,000  ",philadelphia-eagles
1993,Stanley Richard,"$913,334  ",san-diego-chargers
1993,Ted Washington,"$756,750  ",san-francisco-49ers
1993,Dexter Carter,"$588,000  ",san-francisco-49ers
1993,Cortez Kennedy,"$1,593,333  ",seattle-seahawks
1993,Keith McCants,"$1,000,000  ",tampa-bay-buccaneers
1993,Charles McRae,"$915,000  ",tampa-bay-buccaneers
1993,John Lynch,"$243,000  ",tampa-bay-buccaneers
1993,Mark Rypien,"$3,000,000  ",washington-redskins
1993,Todd Lyght,"$1,070,000  ",st.-louis-rams
1993,Ernest Givins,"$1,966,666  ",tennessee-titans
1993,Jerome Bettis,"$755,000  ",st.-louis-rams
1993,Keith McCants,"$178,000  ",tennessee-titans
1993,Bern Brostek,"$530,000  ",st.-louis-rams
1994,Jeff George,"$2,250,000  ",atlanta-falcons
1994,Steve Beuerlein,"$2,833,333  ",arizona-cardinals
1994,Andre Rison,"$1,297,589  ",atlanta-falcons
1994,Bruce Pickens,"$1,060,000  ",atlanta-falcons
1994,Aeneas Williams,"$1,200,000  ",arizona-cardinals
1994,Vinnie Clark,"$300,000  ",atlanta-falcons
1994,James Williams,"$725,000  ",arizona-cardinals
1994,Jamal Anderson,"$119,500  ",atlanta-falcons
1994,Rich Braham,"$587,352  ",arizona-cardinals
1994,Vinnie Clark,"$490,000  ",arizona-cardinals
1994,Jim Kelly,"$3,275,000  ",buffalo-bills
1994,John Booty,"$233,333  ",arizona-cardinals
1994,Bruce Smith,"$3,050,000  ",buffalo-bills
1994,Brent Alexander,"$108,000  ",arizona-cardinals
1994,Thurman Thomas,"$2,800,000  ",buffalo-bills
1994,Rich Braham,"$47,647  ",arizona-cardinals
1994,Andre Reed,"$1,351,666  ",buffalo-bills
1994,Henry Jones,"$590,000  ",buffalo-bills
1994,Phil Hansen,"$495,333  ",buffalo-bills
1994,James Williams,"$125,000  ",buffalo-bills
1994,Mark Carrier,"$850,000  ",chicago-bears
1994,Steve Walsh,"$600,000  ",chicago-bears
1994,Eric Turner,"$1,812,500  ",cleveland-browns
1994,Mark Rypien,"$975,000  ",cleveland-browns
1994,James Francis,"$720,000  ",cincinnati-bengals
1994,Steve Broussard,"$600,000  ",cincinnati-bengals
1994,Jeff Blake,"$162,000  ",cincinnati-bengals
1994,Troy  Aikman,"$3,239,584  ",dallas-cowboys
1994,Emmitt Smith,"$3,200,000  ",dallas-cowboys
1994,Russell Maryland,"$1,720,000  ",dallas-cowboys
1994,Michael Irvin,"$1,450,000  ",dallas-cowboys
1994,Alvin Harper,"$868,000  ",dallas-cowboys
1994,Darren Woodson,"$568,500  ",dallas-cowboys
1994,Blair Thomas,"$550,000  ",dallas-cowboys
1994,Brett Favre,"$2,615,000  ",green-bay-packers
1994,John Elway,"$4,500,000  ",denver-broncos
1994,Barry Sanders,"$3,080,000  ",detroit-lions
1994,Darrell Thompson,"$300,000  ",green-bay-packers
1994,Kurt Warner,"$2,500  ",green-bay-packers
1994,Anthony Miller,"$1,600,000  ",denver-broncos
1994,Herman Moore,"$1,200,000  ",detroit-lions
