year,name,salary,team
2000,Clark Haggans,"$230,166  ",arizona-cardinals
2000,Melvin Bradley,"$28,000  ",arizona-cardinals
2000,Greg Ellis,"$1,503,485  ",dallas-cowboys
2000,Ray Lewis,"$3,050,000  ",baltimore-ravens
2000,Keith Brooking,"$1,458,333  ",atlanta-falcons
2000,Takeo Spikes,"$1,306,000  ",cincinnati-bengals
2000,Brian Simmons,"$1,303,000  ",cincinnati-bengals
2000,Brian Urlacher,"$1,450,000  ",chicago-bears
2000,Nail Diggs,"$526,333  ",green-bay-packers
2000,Rob Morris,"$890,000  ",indianapolis-colts
2000,Mike Peterson,"$662,500  ",indianapolis-colts
2000,Willie McGinest,"$3,751,666  ",new-england-patriots
2000,John Abraham,"$1,140,000  ",new-york-jets
2000,Joey Porter,"$410,000  ",pittsburgh-steelers
2000,Junior Seau,"$4,623,333  ",san-diego-chargers
2000,Keith Bulluck,"$870,000  ",tennessee-titans
2000,Derrick Brooks,"$3,270,000  ",tampa-bay-buccaneers
2000,Julian Peterson,"$1,068,333  ",san-francisco-49ers
2000,Anthony Simmons,"$1,154,791  ",seattle-seahawks
2000,LaVar Arrington,"$1,728,714  ",washington-redskins
2001,Keith Brooking,"$1,595,833  ",atlanta-falcons
2000,London Fletcher,"$485,500  ",st.-louis-rams
2001,Clark Haggans,"$335,166  ",arizona-cardinals
2001,Ray Lewis,"$4,216,666  ",baltimore-ravens
2001,Brian Urlacher,"$1,475,000  ",chicago-bears
2001,Greg Ellis,"$1,789,318  ",dallas-cowboys
2001,Takeo Spikes,"$1,387,000  ",cincinnati-bengals
2001,Brian Simmons,"$1,238,500  ",cincinnati-bengals
2001,Nail Diggs,"$631,333  ",green-bay-packers
2001,Rob Morris,"$1,005,000  ",indianapolis-colts
2001,Mike Peterson,"$776,500  ",indianapolis-colts
2001,Monty Beisel,"$310,667  ",kansas-city-chiefs
2001,Willie McGinest,"$4,359,165  ",new-england-patriots
2001,John Abraham,"$873,500  ",new-york-jets
2001,Joey Porter,"$524,000  ",pittsburgh-steelers
2001,Junior Seau,"$5,583,333  ",san-diego-chargers
2001,Julian Peterson,"$1,147,083  ",san-francisco-49ers
2001,Anthony Simmons,"$1,247,256  ",seattle-seahawks
2001,LaVar Arrington,"$2,335,714  ",washington-redskins
2001,Keith Bulluck,"$991,250  ",tennessee-titans
2001,Derrick Brooks,"$2,633,333  ",tampa-bay-buccaneers
2001,London Fletcher,"$1,115,000  ",st.-louis-rams
2002,Clark Haggans,"$412,166  ",arizona-cardinals
2002,Ray Lewis,"$5,670,239  ",baltimore-ravens
2002,Bart Scott,"$225,500  ",baltimore-ravens
2002,Keith Brooking,"$1,733,333  ",atlanta-falcons
2002,London Fletcher,"$1,325,000  ",buffalo-bills
2002,Julius Peppers,"$2,300,000  ",carolina-panthers
2002,Will Witherspoon,"$398,333  ",carolina-panthers
2002,Brian Urlacher,"$1,600,000  ",chicago-bears
2002,Mike Caldwell,"$1,087,500  ",chicago-bears
2002,Andra Davis,"$261,000  ",cleveland-browns
2002,Greg Ellis,"$2,623,318  ",dallas-cowboys
2002,Brian Simmons,"$3,040,000  ",cincinnati-bengals
2002,Takeo Spikes,"$1,568,000  ",cincinnati-bengals
2002,Nail Diggs,"$708,333  ",green-bay-packers
2002,Paris Lenon,"$225,000  ",green-bay-packers
2002,Scott Fujita,"$625,000  ",kansas-city-chiefs
2002,Monty Beisel,"$401,667  ",kansas-city-chiefs
2002,Dwight Freeney,"$1,372,571  ",indianapolis-colts
2002,Rob Morris,"$1,120,000  ",indianapolis-colts
2002,Mike Peterson,"$887,500  ",indianapolis-colts
2002,Willie McGinest,"$6,282,165  ",new-england-patriots
2002,Napolean Harris,"$970,000  ",oakland-raiders
2002,John Abraham,"$1,660,500  ",new-york-jets
2002,Bryan Thomas,"$1,040,000  ",new-york-jets
2002,Joey Porter,"$1,283,333  ",pittsburgh-steelers
2002,Larry Foote,"$314,667  ",pittsburgh-steelers
2002,James Harrison,"$227,000  ",pittsburgh-steelers
2002,Julian Peterson,"$1,225,833  ",san-francisco-49ers
2002,Junior Seau,"$5,583,333  ",san-diego-chargers
2002,Anthony Simmons,"$1,339,721  ",seattle-seahawks
2002,Derrick Brooks,"$3,933,333  ",tampa-bay-buccaneers
2002,Keith Bulluck,"$1,112,500  ",tennessee-titans
2002,LaVar Arrington,"$3,755,714  ",washington-redskins
2003,Keith Brooking,"$2,747,619  ",atlanta-falcons
2003,Bryan Scott,"$475,000  ",atlanta-falcons
2003,Ray Lewis,"$7,620,239  ",baltimore-ravens
2003,Calvin Pace,"$1,275,000  ",arizona-cardinals
2003,Terrell Suggs,"$1,500,000  ",baltimore-ravens
2003,Jarret Johnson,"$303,000  ",baltimore-ravens
2003,Bart Scott,"$300,000  ",baltimore-ravens
2003,Takeo Spikes,"$2,500,000  ",buffalo-bills
2003,London Fletcher,"$2,400,000  ",buffalo-bills
2003,Mario Haggan,"$236,916  ",buffalo-bills
2003,Julius Peppers,"$3,225,000  ",carolina-panthers
2003,Mike Caldwell,"$805,000  ",carolina-panthers
2003,Will Witherspoon,"$473,333  ",carolina-panthers
2003,Brian Urlacher,"$5,057,142  ",chicago-bears
2003,Lance Briggs,"$397,500  ",chicago-bears
2003,Mike Caldwell,"$187,500  ",chicago-bears
2003,Brian Simmons,"$2,700,000  ",cincinnati-bengals
2003,Andra Davis,"$341,000  ",cleveland-browns
2003,Greg Ellis,"$4,476,730  ",dallas-cowboys
2003,Bradie James,"$308,000  ",dallas-cowboys
2003,Scott Shanle,"$233,667  ",dallas-cowboys
2003,Boss Bailey,"$760,000  ",detroit-lions
2003,Nick Barnett,"$1,017,000  ",green-bay-packers
2003,Nail Diggs,"$733,333  ",green-bay-packers
2003,Paris Lenon,"$300,000  ",green-bay-packers
2003,Dwight Freeney,"$1,460,714  ",indianapolis-colts
2003,Rob Morris,"$1,107,500  ",indianapolis-colts
2003,Robert Mathis,"$267,250  ",indianapolis-colts
2003,Cato June,"$244,167  ",indianapolis-colts
2003,Mike Peterson,"$2,863,333  ",jacksonville-jaguars
2003,Junior Seau,"$3,750,000  ",miami-dolphins
2003,Scott Fujita,"$700,000  ",kansas-city-chiefs
2003,Monty Beisel,"$490,667  ",kansas-city-chiefs
2003,Willie McGinest,"$1,975,499  ",new-england-patriots
2003,E.J. Henderson,"$662,500  ",minnesota-vikings
2003,Osi Umenyiora,"$516,250  ",new-york-giants
2003,John Abraham,"$2,195,500  ",new-york-jets
2003,Bryan Thomas,"$1,245,000  ",new-york-jets
2003,Victor Hobson,"$529,000  ",new-york-jets
2003,Napolean Harris,"$935,666  ",oakland-raiders
2003,Joey Porter,"$2,833,333  ",pittsburgh-steelers
2003,Clark Haggans,"$605,000  ",pittsburgh-steelers
2003,Larry Foote,"$389,667  ",pittsburgh-steelers
2003,James Harrison,"$302,000  ",pittsburgh-steelers
