year,name,salary,team
2000,Jake Plummer,"$6,030,000  ",arizona-cardinals
2000,Dave Brown,"$850,000  ",arizona-cardinals
2000,Troy  Aikman,"$5,915,892  ",dallas-cowboys
2000,John Elway,"$4,493,666  ",denver-broncos
2000,Rob Johnson,"$3,753,750  ",buffalo-bills
2000,Doug Flutie,"$2,793,333  ",buffalo-bills
2000,Alex Van Pelt,"$440,000  ",buffalo-bills
2000,Trent Dilfer,"$1,000,000  ",baltimore-ravens
2000,Tim Couch,"$2,025,000  ",cleveland-browns
2000,Chris Redman,"$348,000  ",baltimore-ravens
2000,Steve Beuerlein,"$1,750,000  ",carolina-panthers
2000,Brett Favre,"$3,675,000  ",green-bay-packers
2000,Jake Delhomme,"$358,000  ",carolina-panthers
2000,Danny Wuerffel,"$385,000  ",green-bay-packers
2000,Matt Hasselbeck,"$30,000  ",green-bay-packers
2000,Todd Collins,"$656,666  ",kansas-city-chiefs
2000,Peyton Manning,"$6,699,333  ",indianapolis-colts
2000,Kelly Holcomb,"$485,000  ",indianapolis-colts
2000,Billy Joe  Hobert,"$440,000  ",indianapolis-colts
2000,Dan Marino,"$1,696,666  ",miami-dolphins
2000,Dan Marino,"$1,696,666  ",miami-dolphins
2000,Daunte Culpepper,"$1,337,500  ",minnesota-vikings
2000,Brad Johnson,"$1,239,999  ",minnesota-vikings
2000,Kerry Collins,"$2,210,000  ",new-york-giants
2000,Drew Bledsoe,"$8,637,857  ",new-england-patriots
2000,Tom Brady,"$205,833  ",new-england-patriots
2000,Jeff Blake,"$1,690,000  ",new-orleans-saints
2000,Chad Pennington,"$1,019,202  ",new-york-jets
2000,Rich Gannon,"$3,814,285  ",oakland-raiders
2000,Jeff George,"$2,000,000  ",oakland-raiders
2000,Donovan McNabb,"$1,889,285  ",philadelphia-eagles
2000,Ryan Leaf,"$2,733,000  ",san-diego-chargers
2000,Jeff Garcia,"$325,000  ",san-francisco-49ers
2000,Steve McNair,"$7,068,892  ",tennessee-titans
2000,Jon Kitna,"$1,371,000  ",seattle-seahawks
2000,Billy Volek,"$193,980  ",tennessee-titans
2000,Brock Huard,"$386,666  ",seattle-seahawks
2000,Matt Hasselbeck,"$275,000  ",seattle-seahawks
2000,Trent Dilfer,"$562,500  ",tampa-bay-buccaneers
2000,Brad Johnson,"$4,350,000  ",washington-redskins
2000,Jeff George,"$1,000,000  ",washington-redskins
2000,Kurt Warner,"$2,000,857  ",st.-louis-rams
2001,Chris Redman,"$453,000  ",baltimore-ravens
2001,Michael Vick,"$2,200,000  ",atlanta-falcons
2001,Jake Plummer,"$7,037,500  ",arizona-cardinals
2001,Rob Johnson,"$5,552,250  ",buffalo-bills
2001,Doug Flutie,"$4,706,667  ",buffalo-bills
2001,Alex Van Pelt,"$477,000  ",buffalo-bills
2001,Jake Delhomme,"$418,000  ",carolina-panthers
2001,Chris Weinke,"$309,000  ",carolina-panthers
2001,Danny Wuerffel,"$448,000  ",chicago-bears
2001,Jon Kitna,"$1,833,333  ",cincinnati-bengals
2001,Tim Couch,"$2,139,000  ",cleveland-browns
2001,Kelly Holcomb,"$660,000  ",cleveland-browns
2001,Troy  Aikman,"$10,063,210  ",dallas-cowboys
2001,Brett Favre,"$5,535,333  ",green-bay-packers
2001,Ryan Leaf,"$418,000  ",dallas-cowboys
2001,Todd Collins,"$1,016,666  ",kansas-city-chiefs
2001,Peyton Manning,"$8,485,333  ",indianapolis-colts
2001,Mark Rypien,"$477,000  ",indianapolis-colts
2001,Kelly Holcomb,"$100,000  ",indianapolis-colts
2001,Daunte Culpepper,"$1,405,000  ",minnesota-vikings
2001,Drew Bledsoe,"$4,733,333  ",new-england-patriots
2001,Tom Brady,"$310,833  ",new-england-patriots
2001,Kerry Collins,"$3,760,000  ",new-york-giants
2001,Chad Pennington,"$1,780,532  ",new-york-jets
2001,Ryan Leaf,"$5,625,000  ",san-diego-chargers
2001,Doug Flutie,"$1,000,000  ",san-diego-chargers
2001,Drew Brees,"$627,500  ",san-diego-chargers
2001,Rich Gannon,"$4,414,285  ",oakland-raiders
2001,Donovan McNabb,"$2,003,285  ",philadelphia-eagles
2001,A.J. Feeley,"$244,833  ",philadelphia-eagles
2001,Jeff Garcia,"$566,666  ",san-francisco-49ers
2001,Trent Dilfer,"$1,000,000  ",seattle-seahawks
2001,Matt Hasselbeck,"$950,000  ",seattle-seahawks
2001,Brock Huard,"$461,668  ",seattle-seahawks
2001,Brad Johnson,"$2,050,000  ",tampa-bay-buccaneers
2001,Trent Dilfer,"$562,500  ",tampa-bay-buccaneers
2001,Steve McNair,"$3,573,809  ",tennessee-titans
2001,Billy Volek,"$298,980  ",tennessee-titans
2001,Jeff George,"$1,591,000  ",washington-redskins
2001,Sage Rosenfels,"$311,000  ",washington-redskins
2001,Kurt Warner,"$2,334,523  ",st.-louis-rams
2001,Marc Bulger,"$226,000  ",st.-louis-rams
2002,Jake Plummer,"$8,737,500  ",arizona-cardinals
2002,Josh McCown,"$386,000  ",arizona-cardinals
2002,Chris Redman,"$530,000  ",baltimore-ravens
2002,Jeff Blake,"$450,000  ",baltimore-ravens
2002,Chris Chandler,"$6,000,000  ",atlanta-falcons
2002,Michael Vick,"$2,242,857  ",atlanta-falcons
2002,Rob Johnson,"$5,075,250  ",buffalo-bills
2002,Drew Bledsoe,"$5,000,000  ",buffalo-bills
2002,Alex Van Pelt,"$250,000  ",buffalo-bills
2002,Chris Weinke,"$850,000  ",carolina-panthers
2002,Jake Delhomme,"$563,000  ",carolina-panthers
2002,Chris Chandler,"$1,166,666  ",chicago-bears
2002,Jon Kitna,"$2,833,333  ",cincinnati-bengals
2002,Tim Couch,"$2,100,000  ",cleveland-browns
2002,Kelly Holcomb,"$850,000  ",cleveland-browns
2002,Steve Beuerlein,"$1,225,000  ",denver-broncos
2002,Joey Harrington,"$2,300,000  ",detroit-lions
2002,Brett Favre,"$6,008,333  ",green-bay-packers
2002,David Carr,"$2,600,000  ",houston-texans
2002,David Garrard,"$331,000  ",jacksonville-jaguars
2002,Peyton Manning,"$10,331,333  ",indianapolis-colts
2002,Brock Huard,"$550,000  ",indianapolis-colts
2002,Billy Joe  Hobert,"$100,000  ",indianapolis-colts
2002,Todd Collins,"$1,416,668  ",kansas-city-chiefs
2002,Jeff Blake,"$1,333,334  ",new-orleans-saints
2002,Daunte Culpepper,"$1,972,500  ",minnesota-vikings
2002,Drew Bledsoe,"$1,333,333  ",new-england-patriots
2002,Shaun Hill,"$230,000  ",minnesota-vikings
2002,Tom Brady,"$1,087,833  ",new-england-patriots
2002,Kerry Collins,"$6,380,000  ",new-york-giants
2002,Sage Rosenfels,"$402,000  ",miami-dolphins
2002,Rich Gannon,"$3,714,285  ",oakland-raiders
2002,Chad Pennington,"$1,857,532  ",new-york-jets
2002,Donovan McNabb,"$5,431,091  ",philadelphia-eagles
2002,A.J. Feeley,"$355,158  ",philadelphia-eagles
2002,Charlie Batch,"$450,000  ",pittsburgh-steelers
2002,Doug Flutie,"$3,760,000  ",san-diego-chargers
2002,Drew Brees,"$707,500  ",san-diego-chargers
2002,Jeff Garcia,"$2,209,522  ",san-francisco-49ers
2002,Steve McNair,"$4,866,667  ",tennessee-titans
2002,Neil O'Donnell,"$1,648,167  ",tennessee-titans
2002,Billy Volek,"$375,980  ",tennessee-titans
2002,Jeff George,"$3,682,000  ",washington-redskins
2002,Danny Wuerffel,"$550,000  ",washington-redskins
2002,Brad Johnson,"$6,800,000  ",tampa-bay-buccaneers
2002,Rob Johnson,"$450,000  ",tampa-bay-buccaneers
