year,name,salary,team
2000,Emmitt Smith,"$4,872,000  ",dallas-cowboys
2000,Terrell Davis,"$2,596,190  ",denver-broncos
2000,Thomas Jones,"$669,000  ",arizona-cardinals
2000,Curtis Enis,"$1,995,000  ",chicago-bears
2000,Thurman Thomas,"$1,425,000  ",buffalo-bills
2000,John Avery,"$750,000  ",denver-broncos
2000,Sammy Morris,"$226,333  ",buffalo-bills
2000,Corey Dillon,"$3,000,000  ",cincinnati-bengals
2000,Jamal Anderson,"$3,600,000  ",atlanta-falcons
2000,Jamal Lewis,"$1,878,000  ",baltimore-ravens
2000,Preist Holmes,"$472,000  ",baltimore-ravens
2000,Barry Sanders,"$5,499,999  ",detroit-lions
2000,Ahman Green,"$358,000  ",green-bay-packers
2000,Edgerrin James,"$6,692,142  ",indianapolis-colts
2000,Fred Taylor,"$1,336,208  ",jacksonville-jaguars
2000,Ricky Williams,"$1,537,857  ",new-orleans-saints
2000,Terry Allen,"$440,000  ",new-orleans-saints
2000,Robert Edwards,"$1,145,000  ",new-england-patriots
2000,Ron Dayne,"$1,252,000  ",new-york-giants
2000,John Avery,"$867,000  ",miami-dolphins
2000,Terry Allen,"$50,000  ",new-england-patriots
2000,Tiki Barber,"$472,000  ",new-york-giants
2000,Thurman Thomas,"$690,000  ",miami-dolphins
2000,Curtis Martin,"$3,614,325  ",new-york-jets
2000,Harvey Williams,"$1,073,334  ",oakland-raiders
2000,Jerome Bettis,"$4,200,000  ",pittsburgh-steelers
2000,Dan Kreider,"$113,529  ",pittsburgh-steelers
2000,Dan Kreider,"$68,000  ",pittsburgh-steelers
2000,Dan Kreider,"$2,000  ",pittsburgh-steelers
2000,Garrison Hearst,"$1,050,000  ",san-francisco-49ers
2000,Shaun Alexander,"$968,000  ",seattle-seahawks
2000,Ahman Green,"$141,000  ",seattle-seahawks
2000,Warrick Dunn,"$1,534,751  ",tampa-bay-buccaneers
2000,Aaron Stecker,"$197,800  ",tampa-bay-buccaneers
2000,Eddie George,"$2,784,666  ",tennessee-titans
2000,Rodney Thomas,"$1,150,000  ",tennessee-titans
2000,Marshall Faulk,"$2,440,000  ",st.-louis-rams
2000,Trung Canidate,"$880,000  ",st.-louis-rams
2001,Jamal Anderson,"$5,300,000  ",atlanta-falcons
2001,Rodney Thomas,"$530,000  ",atlanta-falcons
2001,Travis Henry,"$454,000  ",buffalo-bills
2001,Jamal Lewis,"$1,692,400  ",baltimore-ravens
2001,Sammy Morris,"$331,333  ",buffalo-bills
2001,Terry Allen,"$477,000  ",baltimore-ravens
2001,Thomas Jones,"$745,500  ",arizona-cardinals
2001,Corey Dillon,"$4,500,000  ",cincinnati-bengals
2001,Emmitt Smith,"$5,650,000  ",dallas-cowboys
2001,Rudi Johnson,"$318,166  ",cincinnati-bengals
2001,Terrell Davis,"$3,478,690  ",denver-broncos
2001,John Avery,"$875,000  ",denver-broncos
2001,Lamont Warren,"$489,500  ",detroit-lions
