year,name,salary,team
2000,Billy Miller,"$275,000  ",denver-broncos
2000,Billy Miller,"$20,000  ",denver-broncos
2000,Shannon Sharpe,"$1,625,000  ",baltimore-ravens
2000,Reggie Kelly,"$596,250  ",atlanta-falcons
2000,Bubba Franks,"$1,127,000  ",green-bay-packers
2000,Ken Dilger,"$1,340,000  ",indianapolis-colts
2000,Tony Gonzalez,"$1,330,000  ",kansas-city-chiefs
2000,Marcus Pollard,"$700,000  ",indianapolis-colts
2000,Justin Snow,"$193,000  ",indianapolis-colts
2000,Anthony Becht,"$870,000  ",new-york-jets
2000,Eric Green,"$750,000  ",new-york-jets
2000,Dan Campbell,"$408,333  ",new-york-giants
2000,Jerame Tuman,"$311,000  ",pittsburgh-steelers
2001,Todd Heap,"$970,000  ",arizona-cardinals
2001,Reggie Kelly,"$667,500  ",atlanta-falcons
2001,Shannon Sharpe,"$2,125,000  ",baltimore-ravens
2001,Bubba Franks,"$1,232,000  ",green-bay-packers
2001,David Martin,"$224,833  ",green-bay-packers
2001,Tony Gonzalez,"$1,445,000  ",kansas-city-chiefs
2001,Ken Dilger,"$1,990,000  ",indianapolis-colts
2001,Marcus Pollard,"$1,435,000  ",indianapolis-colts
2001,Justin Snow,"$298,000  ",indianapolis-colts
2001,Dan Campbell,"$522,334  ",new-york-giants
2001,Anthony Becht,"$990,000  ",new-york-jets
2001,Jerame Tuman,"$425,000  ",pittsburgh-steelers
2001,Brandon Manumaleuna,"$294,000  ",st.-louis-rams
2002,Reggie Kelly,"$738,750  ",atlanta-falcons
2002,Todd Heap,"$1,097,500  ",arizona-cardinals
2002,Steve Bush,"$563,333  ",arizona-cardinals
2002,Mike Banks,"$237,333  ",arizona-cardinals
2002,Bryan Fletcher,"$68,000  ",chicago-bears
2002,Bryan Fletcher,"$14,000  ",chicago-bears
2002,Shannon Sharpe,"$1,000,000  ",baltimore-ravens
2002,Shannon Sharpe,"$864,285  ",denver-broncos
2002,Billy Miller,"$467,000  ",houston-texans
2002,Tony Gonzalez,"$1,414,705  ",kansas-city-chiefs
2002,Bubba Franks,"$1,309,000  ",green-bay-packers
2002,David Martin,"$315,833  ",green-bay-packers
2002,Ken Dilger,"$3,375,000  ",indianapolis-colts
2002,Marcus Pollard,"$2,185,000  ",indianapolis-colts
2002,Justin Snow,"$375,000  ",indianapolis-colts
2002,Mike Roberg,"$300,000  ",indianapolis-colts
2002,Daniel Graham,"$585,000  ",new-england-patriots
2002,Randy McMichael,"$318,125  ",miami-dolphins
2002,Anthony Becht,"$1,110,000  ",new-york-jets
2002,Chris Baker,"$370,000  ",new-york-jets
2002,Jeremy Shockey,"$1,194,000  ",new-york-giants
2002,Dan Campbell,"$563,000  ",new-york-giants
2002,Jerame Tuman,"$563,000  ",pittsburgh-steelers
2002,Justin Peelle,"$334,166  ",san-diego-chargers
2002,Ken Dilger,"$850,000  ",tampa-bay-buccaneers
2002,Mike Roberg,"$209,000  ",tampa-bay-buccaneers
2002,Brandon Manumaleuna,"$385,000  ",st.-louis-rams
2003,Todd Heap,"$1,225,000  ",arizona-cardinals
2003,Steve Bush,"$768,333  ",arizona-cardinals
2003,Mike Banks,"$312,333  ",arizona-cardinals
2003,Shannon Sharpe,"$2,250,000  ",baltimore-ravens
2003,Bryan Fletcher,"$300,000  ",chicago-bears
2003,Bryan Fletcher,"$28,000  ",chicago-bears
2003,Reggie Kelly,"$1,400,000  ",cincinnati-bengals
2003,Dan Campbell,"$1,020,000  ",dallas-cowboys
2003,Jason Witten,"$392,500  ",dallas-cowboys
2003,Shannon Sharpe,"$869,285  ",denver-broncos
2003,Billy Miller,"$709,117  ",houston-texans
2003,Bubba Franks,"$1,384,000  ",green-bay-packers
2003,David Martin,"$404,834  ",green-bay-packers
2003,Marcus Pollard,"$2,171,666  ",indianapolis-colts
2003,Dallas Clark,"$1,507,857  ",indianapolis-colts
2003,Justin Snow,"$512,500  ",indianapolis-colts
2003,Randy McMichael,"$393,125  ",miami-dolphins
2003,Donald Lee,"$258,250  ",miami-dolphins
2003,Daniel Graham,"$1,328,750  ",new-england-patriots
2003,Tony Gonzalez,"$2,581,371  ",kansas-city-chiefs
2003,Jeremy Shockey,"$1,405,000  ",new-york-giants
2003,Visanthe Shiancoe,"$367,667  ",new-york-giants
2003,Anthony Becht,"$1,230,000  ",new-york-jets
2003,Chris Baker,"$445,000  ",new-york-jets
2003,L.J. Smith,"$479,000  ",philadelphia-eagles
2003,Jerame Tuman,"$730,000  ",pittsburgh-steelers
2003,Justin Peelle,"$409,166  ",san-diego-chargers
2003,Antonio Gates,"$228,500  ",san-diego-chargers
