year,name,salary,team
2000,David Boston,"$1,677,500  ",arizona-cardinals
2000,Rocket Ismail,"$1,214,285  ",dallas-cowboys
2000,Brian Finneran,"$290,000  ",atlanta-falcons
2000,Rod Smith,"$3,280,000  ",denver-broncos
2000,Marcus Nash,"$840,000  ",denver-broncos
2000,Travis Taylor,"$1,328,000  ",baltimore-ravens
2000,Herman Moore,"$3,810,000  ",detroit-lions
2000,Eric Moulds,"$1,491,821  ",buffalo-bills
2000,Qadry Ismail,"$825,000  ",baltimore-ravens
2000,Marcus Nash,"$486,000  ",baltimore-ravens
2000,Andre Reed,"$1,325,000  ",buffalo-bills
2000,Brandon Stokley,"$286,250  ",baltimore-ravens
2000,Muhsin Muhammad,"$2,090,400  ",carolina-panthers
2000,Peter Warrick,"$2,090,000  ",cincinnati-bengals
2000,Antonio Freeman,"$3,000,000  ",green-bay-packers
2000,Donald Driver,"$285,667  ",green-bay-packers
2000,Marvin Harrison,"$3,140,000  ",indianapolis-colts
2000,Sylvester Morris,"$746,571  ",kansas-city-chiefs
2000,Jerome Pathon,"$818,000  ",indianapolis-colts
2000,E.G. Green,"$491,334  ",indianapolis-colts
2000,R. Jay Soward,"$890,000  ",jacksonville-jaguars
2000,Andre Rison,"$595,000  ",kansas-city-chiefs
2000,Terrence Wilkins,"$279,000  ",indianapolis-colts
2000,Trevor Insley,"$116,000  ",indianapolis-colts
2000,Cris Carter,"$6,129,285  ",minnesota-vikings
2000,Randy Moss,"$1,321,000  ",minnesota-vikings
2000,Troy Walters,"$224,166  ",minnesota-vikings
2000,Joe Horn,"$1,087,500  ",new-orleans-saints
2000,Keyshawn Johnson,"$4,204,000  ",new-york-jets
2000,Keyshawn Johnson,"$2,166,666  ",new-york-jets
2000,Laveranues Coles,"$343,000  ",new-york-jets
2000,Tim Brown,"$2,880,500  ",oakland-raiders
2000,Jerry Porter,"$557,666  ",oakland-raiders
2000,Andre Rison,"$500,000  ",oakland-raiders
2000,Torrance Small,"$2,187,500  ",philadelphia-eagles
2000,Brian Finneran,"$5,000  ",philadelphia-eagles
2000,Plaxico Burress,"$1,522,500  ",pittsburgh-steelers
2000,Hines Ward,"$465,000  ",pittsburgh-steelers
2000,Terrell Owens,"$1,825,428  ",seattle-seahawks
2000,Mike Pritchard,"$200,000  ",seattle-seahawks
2000,Jerry Rice,"$5,938,095  ",san-francisco-49ers
2000,Keyshawn Johnson,"$2,357,142  ",tampa-bay-buccaneers
2000,Kevin Dyson,"$1,302,000  ",tennessee-titans
2000,Derrick Mason,"$472,000  ",tennessee-titans
2000,Andre Reed,"$500,000  ",washington-redskins
2000,Issac Bruce,"$2,892,857  ",st.-louis-rams
2000,Torry Holt,"$1,850,000  ",st.-louis-rams
2001,Brian Finneran,"$389,000  ",atlanta-falcons
2001,Eric Moulds,"$2,500,000  ",buffalo-bills
2001,Travis Taylor,"$1,410,000  ",baltimore-ravens
2001,Qadry Ismail,"$1,043,000  ",baltimore-ravens
2001,Brandon Stokley,"$400,250  ",baltimore-ravens
2001,Muhsin Muhammad,"$2,602,400  ",carolina-panthers
2001,Steve Smith,"$375,667  ",carolina-panthers
2001,Peter Warrick,"$2,310,000  ",cincinnati-bengals
2001,Chad Johnson,"$660,000  ",cincinnati-bengals
2001,T.J. Houshmandzadeh,"$221,333  ",cincinnati-bengals
2001,Rocket Ismail,"$2,038,885  ",dallas-cowboys
2001,Rod Smith,"$2,055,000  ",denver-broncos
2001,Andre Reed,"$80,000  ",denver-broncos
2001,Herman Moore,"$2,230,000  ",detroit-lions
2001,Antonio Freeman,"$5,400,000  ",green-bay-packers
2001,Donald Driver,"$399,667  ",green-bay-packers
2001,Marvin Harrison,"$2,800,000  ",indianapolis-colts
2001,Andre Rison,"$1,785,000  ",kansas-city-chiefs
2001,Reggie Wayne,"$980,000  ",indianapolis-colts
2001,Jerome Pathon,"$928,000  ",indianapolis-colts
2001,Sylvester Morris,"$851,571  ",kansas-city-chiefs
2001,R. Jay Soward,"$1,012,500  ",jacksonville-jaguars
2001,Terrence Wilkins,"$393,000  ",indianapolis-colts
2001,Trevor Insley,"$280,000  ",indianapolis-colts
2001,Cris Carter,"$6,740,951  ",minnesota-vikings
2001,Randy Moss,"$2,666,667  ",minnesota-vikings
2001,Troy Walters,"$329,166  ",minnesota-vikings
2001,Torrance Small,"$500,000  ",new-england-patriots
2001,Joe Horn,"$1,712,500  ",new-orleans-saints
2001,Herman Moore,"$450,000  ",new-york-giants
2001,Santana Moss,"$1,236,186  ",new-york-jets
2001,Laveranues Coles,"$448,000  ",new-york-jets
2001,Tim Brown,"$3,418,246  ",oakland-raiders
2001,Torrance Small,"$1,375,000  ",philadelphia-eagles
2001,Jerry Rice,"$837,500  ",oakland-raiders
2001,Jerry Porter,"$624,166  ",oakland-raiders
2001,Plaxico Burress,"$1,651,125  ",pittsburgh-steelers
2001,Hines Ward,"$1,450,000  ",pittsburgh-steelers
2001,Jerry Rice,"$3,142,857  ",san-francisco-49ers
2001,Terrell Owens,"$2,168,393  ",seattle-seahawks
2001,Keyshawn Johnson,"$2,357,142  ",tampa-bay-buccaneers
2001,Kevin Dyson,"$1,406,000  ",tennessee-titans
2001,Derrick Mason,"$1,100,000  ",tennessee-titans
2001,Issac Bruce,"$2,242,857  ",st.-louis-rams
2001,Torry Holt,"$2,004,000  ",st.-louis-rams
2002,Travis Taylor,"$1,492,000  ",baltimore-ravens
2002,Qadry Ismail,"$1,132,000  ",baltimore-ravens
2002,Brandon Stokley,"$563,000  ",baltimore-ravens
2002,Brian Finneran,"$660,000  ",atlanta-falcons
2002,David Boston,"$1,968,500  ",arizona-cardinals
2002,Eric Moulds,"$3,650,000  ",buffalo-bills
2002,Muhsin Muhammad,"$5,302,400  ",carolina-panthers
2002,Steve Smith,"$466,667  ",carolina-panthers
2002,Peter Warrick,"$3,030,000  ",cincinnati-bengals
2002,Chad Johnson,"$735,250  ",cincinnati-bengals
2002,T.J. Houshmandzadeh,"$312,333  ",cincinnati-bengals
2002,Rocket Ismail,"$3,938,885  ",dallas-cowboys
2002,Antonio Bryant,"$742,232  ",dallas-cowboys
2002,Rod Smith,"$3,276,428  ",denver-broncos
2002,Ashley Lelie,"$1,050,000  ",denver-broncos
2002,Andre Reed,"$80,000  ",denver-broncos
2002,Herman Moore,"$1,380,000  ",detroit-lions
2002,Antonio Freeman,"$2,000,000  ",green-bay-packers
2002,Donald Driver,"$1,179,667  ",green-bay-packers
2002,Javon Walker,"$1,045,000  ",green-bay-packers
2002,Marvin Harrison,"$2,825,000  ",indianapolis-colts
2002,Trevor Insley,"$358,000  ",houston-texans
2002,Reggie Wayne,"$1,105,000  ",indianapolis-colts
2002,Qadry Ismail,"$1,050,000  ",indianapolis-colts
2002,Troy Walters,"$425,000  ",indianapolis-colts
2002,Trevor Insley,"$5,000  ",indianapolis-colts
2002,R. Jay Soward,"$1,135,000  ",jacksonville-jaguars
2002,Sylvester Morris,"$928,571  ",kansas-city-chiefs
2002,Cris Carter,"$1,130,000  ",miami-dolphins
2002,Cris Carter,"$12,926,181  ",minnesota-vikings
2002,Randy Moss,"$3,334,523  ",minnesota-vikings
2002,Troy Walters,"$31,168  ",minnesota-vikings
2002,Jabar Gaffney,"$710,092  ",new-england-patriots
2002,Deion Branch,"$430,000  ",new-england-patriots
2002,Santana Moss,"$1,375,332  ",new-york-jets
2002,Laveranues Coles,"$525,000  ",new-york-jets
2002,Joe Horn,"$3,112,500  ",new-orleans-saints
2002,Jerome Pathon,"$775,000  ",new-orleans-saints
2002,Donte Stallworth,"$725,000  ",new-orleans-saints
2002,Tim Brown,"$3,460,000  ",oakland-raiders
2002,Jerry Rice,"$1,262,500  ",oakland-raiders
2002,Jerry Porter,"$690,666  ",oakland-raiders
2002,Antonio Freeman,"$1,700,000  ",philadelphia-eagles
2002,Hines Ward,"$2,293,750  ",pittsburgh-steelers
2002,Plaxico Burress,"$2,150,750  ",pittsburgh-steelers
2002,Antwaan Randle El,"$458,750  ",pittsburgh-steelers
2002,Terrell Owens,"$6,061,235  ",seattle-seahawks
2002,Keyshawn Johnson,"$3,357,142  ",tampa-bay-buccaneers
2002,Derrick Mason,"$2,962,500  ",tennessee-titans
2002,Kevin Dyson,"$1,320,000  ",tennessee-titans
2002,Issac Bruce,"$3,112,857  ",st.-louis-rams
2002,Torry Holt,"$2,158,000  ",st.-louis-rams
2002,Terrence Wilkins,"$825,000  ",st.-louis-rams
2003,Bryant Johnson,"$2,665,000  ",arizona-cardinals
2003,Anquan Boldin,"$527,500  ",arizona-cardinals
2003,Brian Finneran,"$780,000  ",atlanta-falcons
2003,Muhsin Muhammad,"$6,002,400  ",carolina-panthers
2003,Eric Moulds,"$6,325,000  ",buffalo-bills
2003,Kevin Dyson,"$1,000,000  ",carolina-panthers
2003,Steve Smith,"$555,667  ",carolina-panthers
2003,Travis Taylor,"$2,049,000  ",baltimore-ravens
2003,Peter Warrick,"$3,250,000  ",cincinnati-bengals
2003,Chad Johnson,"$1,810,500  ",cincinnati-bengals
2003,T.J. Houshmandzadeh,"$401,334  ",cincinnati-bengals
2003,Kevin Walter,"$145,588  ",cincinnati-bengals
2003,Kevin Walter,"$73,950  ",cincinnati-bengals
2003,Rocket Ismail,"$2,816,655  ",dallas-cowboys
2003,Antonio Bryant,"$688,128  ",dallas-cowboys
2003,Rod Smith,"$2,801,428  ",denver-broncos
2003,Herman Moore,"$4,140,000  ",detroit-lions
2003,Ashley Lelie,"$1,170,000  ",denver-broncos
2003,Charles Rogers,"$3,827,082  ",detroit-lions
2003,Andre Johnson,"$2,285,714  ",houston-texans
2003,Marvin Harrison,"$6,800,000  ",indianapolis-colts
2003,Donald Driver,"$2,196,667  ",green-bay-packers
2003,Reggie Wayne,"$980,000  ",indianapolis-colts
2003,Qadry Ismail,"$800,000  ",indianapolis-colts
2003,Antonio Freeman,"$2,000,000  ",green-bay-packers
2003,Javon Walker,"$1,060,000  ",green-bay-packers
2003,Brandon Stokley,"$683,333  ",indianapolis-colts
2003,Troy Walters,"$500,000  ",indianapolis-colts
2003,R. Jay Soward,"$785,000  ",jacksonville-jaguars
2003,Terrence Wilkins,"$450,000  ",indianapolis-colts
2003,Aaron Moorehead,"$228,333  ",indianapolis-colts
2003,Sylvester Morris,"$553,571  ",kansas-city-chiefs
2003,Randy Moss,"$7,809,523  ",minnesota-vikings
2003,Nate Burleson,"$401,333  ",minnesota-vikings
2003,Jabar Gaffney,"$1,495,177  ",new-england-patriots
2003,Deion Branch,"$505,000  ",new-england-patriots
2003,Joe Horn,"$3,612,500  ",new-orleans-saints
2003,Jerome Pathon,"$1,633,333  ",new-orleans-saints
2003,Donte Stallworth,"$900,000  ",new-orleans-saints
2003,David Tyree,"$225,000  ",new-york-giants
2003,Kevin Walter,"$8,083  ",new-york-giants
2003,Santana Moss,"$1,689,332  ",new-york-jets
2003,Jerry Rice,"$1,662,500  ",oakland-raiders
2003,Hines Ward,"$2,293,750  ",pittsburgh-steelers
2003,Tim Brown,"$1,088,333  ",oakland-raiders
2003,Jerry Porter,"$782,166  ",oakland-raiders
2003,Plaxico Burress,"$1,904,375  ",pittsburgh-steelers
2003,Antwaan Randle El,"$533,750  ",pittsburgh-steelers
2003,David Boston,"$1,200,000  ",san-diego-chargers
2003,Kassim Osgood,"$231,000  ",san-diego-chargers
2003,Brandon Lloyd,"$300,667  ",san-francisco-49ers
2003,Arnaz Battle,"$244,166  ",san-francisco-49ers
2003,Terrell Owens,"$6,661,235  ",seattle-seahawks
2003,Derrick Mason,"$2,815,833  ",tennessee-titans
