year,name,salary,team
2000,Teemu Selanne,"$8,750,000  ",anaheim-ducks
2000,Brenden Morrow,"$800,000  ",dallas-stars
2000,Jarome Iginla,"$1,633,333  ",calgary-flames
2000,Matt Cullen,"$440,000  ",anaheim-ducks
2000,Toni Lydman,"$650,000  ",dallas-stars
2000,Marc Savard,"$1,000,000  ",calgary-flames
2000,Robyn Regehr,"$975,000  ",calgary-flames
2000,Dan Cleary,"$733,333  ",chicago-blackhawks
2000,Martin Biron,"$650,000  ",buffalo-sabres
2000,Alex Tanguay,"$975,000  ",colorado-avalanche
2000,Craig Adams,"$347,500  ",carolina-hurricanes
2000,Joe Thornton,"$1,958,333  ",boston-bruins
2000,Shawn Horcoff,"$558,333  ",edmonton-oilers
2000,Dainius Zubrus,"$1,000,000  ",montreal-canadiens
2000,Olli Jokinen,"$755,833  ",florida-panthers
2000,Andrei Markov,"$691,666  ",montreal-canadiens
2000,Stephane Robidas,"$555,625  ",montreal-canadiens
2000,Dan Boyle,"$412,500  ",florida-panthers
2000,Lubomir Visnovsky,"$500,000  ",los-angeles-kings
2000,Marian Gaborik,"$1,075,000  ",minnesota-wild
2000,Pascal Dupuis,"$350,000  ",minnesota-wild
2000,Martin Brodeur,"$3,800,000  ",new-jersey-devils
2000,Scott Gomez,"$700,000  ",new-jersey-devils
2000,Patrik Elias,"$691,666  ",new-jersey-devils
2000,David Legwand,"$812,500  ",nashville-predators
2000,Willie Mitchell,"$600,000  ",new-jersey-devils
2000,Rick DiPietro,"$1,075,000  ",new-york-islanders
2000,Zdeno Chara,"$632,500  ",new-york-islanders
2000,Chris Phillips,"$962,500  ",ottawa-senators
2000,Martin Havlat,"$861,666  ",ottawa-senators
2000,Mike Fisher,"$700,000  ",ottawa-senators
2000,Justin Williams,"$1,041,666  ",philadelphia-flyers
2000,Marian Hossa,"$675,000  ",ottawa-senators
2000,Jaromir Jagr,"$8,750,000  ",pittsburgh-penguins
2000,Brad Stuart,"$975,000  ",san-jose-sharks
2000,Andrew Ference,"$450,000  ",pittsburgh-penguins
2000,Scott Hannan,"$825,000  ",san-jose-sharks
2000,Evgeni Nabokov,"$537,500  ",san-jose-sharks
2000,Chris Pronger,"$3,400,000  ",st-louis-blues
2000,Bryce Salvador,"$471,666  ",st-louis-blues
2000,Vincent Lecavalier,"$975,000  ",tampa-bay-lightning
2000,Brad Richards,"$975,000  ",tampa-bay-lightning
2000,Martin St. Louis,"$270,000  ",tampa-bay-lightning
2000,Ed Jovanovski,"$2,300,000  ",vancouver-canucks
2000,Mattias Ohlund,"$2,000,000  ",vancouver-canucks
2000,Roberto Luongo,"$925,000  ",vancouver-canucks
2000,Daniel Sedin,"$922,500  ",vancouver-canucks
2000,Henrik Sedin,"$922,500  ",vancouver-canucks
2000,Matt Cooke,"$417,187  ",vancouver-canucks
2000,Sergei Gonchar,"$3,325,000  ",washington-capitals
2001,Martin Biron,"$650,000  ",buffalo-sabres
2001,Eric Boulton,"$400,000  ",buffalo-sabres
2001,Teemu Selanne,"$8,750,000  ",anaheim-ducks
2001,Joe Thornton,"$1,958,333  ",boston-bruins
2001,Matt Cullen,"$484,000  ",anaheim-ducks
2001,Hal Gill,"$1,225,000  ",boston-bruins
2001,Jarome Iginla,"$1,633,333  ",calgary-flames
2001,Marc Savard,"$1,000,000  ",calgary-flames
2001,Robyn Regehr,"$975,000  ",calgary-flames
2001,Erik Cole,"$512,500  ",carolina-hurricanes
2001,Craig Adams,"$347,500  ",carolina-hurricanes
2001,Alex Tanguay,"$975,000  ",colorado-avalanche
2001,Radim Vrbata,"$449,166  ",colorado-avalanche
2001,Dan Cleary,"$733,333  ",chicago-blackhawks
2001,Brenden Morrow,"$800,000  ",dallas-stars
2001,Toni Lydman,"$650,000  ",dallas-stars
2001,Olli Jokinen,"$755,833  ",florida-panthers
2001,Lubomir Visnovsky,"$766,667  ",los-angeles-kings
2001,Marian Gaborik,"$1,075,000  ",minnesota-wild
2001,Nick Schultz,"$633,333  ",minnesota-wild
2001,Andy Sutton,"$525,000  ",minnesota-wild
2001,Dainius Zubrus,"$1,000,000  ",montreal-canadiens
2001,Pavel Datsyuk,"$662,500  ",detroit-red-wings
2001,Pascal Dupuis,"$350,000  ",minnesota-wild
2001,Andrei Markov,"$691,666  ",montreal-canadiens
2001,Stephane Robidas,"$555,625  ",montreal-canadiens
2001,Jochen Hecht,"$1,066,667  ",edmonton-oilers
2001,Steve Staios,"$875,000  ",edmonton-oilers
2001,Shawn Horcoff,"$558,333  ",edmonton-oilers
2001,Alexei Yashin,"$7,159,794  ",new-york-islanders
2001,Rick DiPietro,"$1,075,000  ",new-york-islanders
2001,Raffi Torres,"$800,000  ",new-york-islanders
2001,Jason Blake,"$633,333  ",new-york-islanders
2001,Manny Malhotra,"$1,072,500  ",new-york-rangers
2001,Martin Brodeur,"$8,000,000  ",new-jersey-devils
2001,Scott Gomez,"$700,000  ",new-jersey-devils
2001,Patrik Elias,"$691,666  ",new-jersey-devils
2001,Brian Gionta,"$691,666  ",new-jersey-devils
2001,Willie Mitchell,"$600,000  ",new-jersey-devils
2001,David Legwand,"$812,500  ",nashville-predators
2001,Justin Williams,"$1,041,666  ",philadelphia-flyers
2001,Marian Hossa,"$2,833,333  ",ottawa-senators
2001,Zdeno Chara,"$1,750,000  ",ottawa-senators
2001,Chris Phillips,"$1,058,750  ",ottawa-senators
2001,Martin Havlat,"$861,666  ",ottawa-senators
2001,Mike Fisher,"$700,000  ",ottawa-senators
2001,Chris Neil,"$432,333  ",ottawa-senators
2001,Chris Pronger,"$9,666,667  ",st-louis-blues
2001,Bryce Salvador,"$471,666  ",st-louis-blues
2001,Vincent Lecavalier,"$2,550,000  ",tampa-bay-lightning
2001,Brad Richards,"$975,000  ",tampa-bay-lightning
2001,Dan Boyle,"$575,000  ",tampa-bay-lightning
2001,Jaromir Jagr,"$8,750,000  ",pittsburgh-penguins
2001,Patrick Marleau,"$1,400,000  ",san-jose-sharks
2001,Martin St. Louis,"$270,000  ",tampa-bay-lightning
2001,Michal Rozsival,"$600,000  ",pittsburgh-penguins
2001,Andrew Ference,"$450,000  ",pittsburgh-penguins
2001,Brad Stuart,"$975,000  ",san-jose-sharks
2001,Patrick Marleau,"$770,000  ",san-jose-sharks
2001,Scott Hannan,"$700,000  ",san-jose-sharks
2001,Miikka Kiprusoff,"$550,000  ",san-jose-sharks
2001,Evgeni Nabokov,"$537,500  ",san-jose-sharks
2001,Ilya Kovalchuk,"$1,130,000  ",atlanta-thrashers
2001,Mattias Ohlund,"$2,416,666  ",vancouver-canucks
2001,Ed Jovanovski,"$2,300,000  ",vancouver-canucks
2001,Roberto Luongo,"$925,000  ",vancouver-canucks
2001,Daniel Sedin,"$922,500  ",vancouver-canucks
2001,Henrik Sedin,"$922,500  ",vancouver-canucks
2001,Sergei Gonchar,"$3,325,000  ",washington-capitals
2001,Matt Cooke,"$417,187  ",vancouver-canucks
2002,Matt Cullen,"$1,625,000  ",anaheim-ducks
2002,Joe Thornton,"$1,958,333  ",boston-bruins
2002,Hal Gill,"$1,225,000  ",boston-bruins
2002,Jarome Iginla,"$6,750,000  ",calgary-flames
2002,Robyn Regehr,"$1,072,500  ",calgary-flames
2002,Marc Savard,"$1,000,000  ",calgary-flames
2002,Martin Biron,"$2,050,000  ",buffalo-sabres
2002,Jordan Leopold,"$950,000  ",calgary-flames
2002,Toni Lydman,"$715,000  ",calgary-flames
2002,Tim Connolly,"$1,127,500  ",buffalo-sabres
2002,Ryan Miller,"$1,025,000  ",buffalo-sabres
2002,Eric Boulton,"$400,000  ",buffalo-sabres
2002,Erik Cole,"$512,500  ",carolina-hurricanes
2002,Craig Adams,"$347,500  ",carolina-hurricanes
2002,Dan Cleary,"$733,334  ",chicago-blackhawks
2002,Alex Tanguay,"$900,000  ",colorado-avalanche
2002,Radim Vrbata,"$449,166  ",colorado-avalanche
2002,Brenden Morrow,"$1,200,000  ",dallas-stars
2002,Manny Malhotra,"$1,000,000  ",dallas-stars
2002,Stephane Robidas,"$555,625  ",dallas-stars
2002,Henrik Zetterberg,"$833,333  ",detroit-red-wings
