year,name,salary,team
2001,Shane Doan,"$2,400,000  ",phoenix-coyotes
2001,Daniel Briere,"$726,000  ",phoenix-coyotes
2007,Ed Jovanovski,"$6,500,000  ",phoenix-coyotes
2007,Shane Doan,"$4,550,000  ",phoenix-coyotes
2007,Derek Morris,"$3,916,667  ",phoenix-coyotes
2007,Keith Ballard,"$2,275,000  ",phoenix-coyotes
2007,Taylor Pyatt,"$1,575,000  ",phoenix-coyotes
2007,Zbynek Michalek,"$1,250,000  ",phoenix-coyotes
2007,Gilbert Brule,"$1,246,667  ",phoenix-coyotes
2007,Martin Hanzal,"$850,000  ",phoenix-coyotes
2007,Dennis Seidenberg,"$800,000  ",phoenix-coyotes
2007,Keith Yandle,"$610,000  ",phoenix-coyotes
2007,Daniel Carcillo,"$516,666  ",phoenix-coyotes
2000,Shane Doan,"$950,000  ",phoenix-coyotes
2000,Daniel Briere,"$660,000  ",phoenix-coyotes
2006,Ed Jovanovski,"$6,500,000  ",phoenix-coyotes
2006,Derek Morris,"$3,916,667  ",phoenix-coyotes
2006,Shane Doan,"$3,000,000  ",phoenix-coyotes
2006,Zbynek Michalek,"$1,250,000  ",phoenix-coyotes
2006,Gilbert Brule,"$1,246,667  ",phoenix-coyotes
2006,Keith Ballard,"$995,400  ",phoenix-coyotes
2006,Dennis Seidenberg,"$800,000  ",phoenix-coyotes
2005,Shane Doan,"$3,000,000  ",phoenix-coyotes
2005,Gilbert Brule,"$1,275,000  ",phoenix-coyotes
2005,Keith Ballard,"$995,400  ",phoenix-coyotes
2002,Shane Doan,"$2,400,000  ",phoenix-coyotes
2002,Daniel Briere,"$1,475,000  ",phoenix-coyotes
2003,Shane Doan,"$2,400,000  ",phoenix-coyotes
2003,Dan Cleary,"$400,000  ",phoenix-coyotes
2008,Maxime Macenauer,"$875,000  ",winnipeg-jets
2008,Ed Jovanovski,"$6,500,000  ",phoenix-coyotes
2008,Shane Doan,"$4,550,000  ",phoenix-coyotes
2008,Ilya Bryzgalov,"$4,250,000  ",phoenix-coyotes
2009,Maxime Macenauer,"$845,333  ",winnipeg-jets
2008,Derek Morris,"$3,916,667  ",phoenix-coyotes
2008,Radim Vrbata,"$3,000,000  ",phoenix-coyotes
