name,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
arizona-diamondbacks,118, 111, 103, 125, 106, 103, 86, 102, 106, 108
cleveland-indians,144, 118, 103, 101, 101, 82, 69, 76, 91, 95
atlanta-braves,141, 137, 125, 127, 106, 109, 102, 97, 111, 106
chicago-cubs,186, 189, 154, 111, 129, 137, 162, 157, 151, 140
baltimore-orioles,183, 162, 137, 122, 112, 102, 104, 90, 94, 91
chicago-white-sox,119, 142, 135, 112, 132, 115, 138, 119, 113, 126
cincinnati-reds,118, 120, 134, 130, 127, 102, 97, 89, 85, 93
boston-red-sox,209, 205, 208, 182, 186, 190, 191, 187, 145, 165
colorado-rockies,148, 127, 129, 114, 96, 96, 102, 97, 95, 86
milwaukee-brewers,85, 85, 116, 126, 103, 113, 105, 100, 100, 101
houston-astros,141, 125, 107, 70, 49, 82, 94, 109, 118, 111
kansas-city-royals,168, 156, 141, 113, 102, 83, 69, 90, 94, 83
detroit-tigers,216, 210, 169, 184, 163, 143, 122, 150, 151, 148
los-angeles-dodgers,261, 275, 346, 268, 243, 137, 127, 118, 124, 138
miami-marlins,143, 100, 81, 72, 65, 108, 72, 58, 48, 45
los-angeles-angels-of-anaheim,188, 175, 162, 182, 151, 166, 152, 136, 133, 132
new-york-mets,171, 156, 119, 105, 111, 115, 159, 139, 152, 157
new-york-yankees,220, 241, 241, 241, 225, 236, 227, 236, 240, 236
oakland-athletics,99, 108, 98, 102, 81, 73, 81, 75, 76, 77
st-louis-cardinals,165, 173, 145, 133, 133, 134, 123, 110, 111, 120
minnesota-twins,133, 123, 125, 106, 97, 122, 121, 112, 83, 80
san-diego-padres,102, 143, 122, 102, 87, 80, 67, 51, 59, 86
philadelphia-phillies,119, 126, 164, 198, 178, 184, 180, 150, 143, 128
san-francisco-giants,198, 193, 198, 176, 153, 148, 137, 114, 106, 103
toronto-blue-jays,180, 164, 148, 154, 135, 108, 100, 101, 95, 110
seattle-mariners,174, 161, 139, 121, 104, 103, 120, 111, 119, 127
texas-rangers,171, 180, 181, 164, 161, 154, 122, 87, 95, 91
pittsburgh-pirates,118, 115, 111, 92, 88, 69, 75, 61, 67, 65
tampa-bay-rays,98, 80, 92, 94, 79, 81, 64, 88, 80, 67
washington-nationals,186, 167, 179, 153, 131, 107, 94, 85, 84, 75
