name,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
chicago-bulls,105, 105, 87, 73, 75, 62, 58, 74, 72, 67
los-angeles-lakers,108, 84, 76, 89, 110, 76, 95, 91, 83, 77
dallas-mavericks,127, 86, 90, 82, 75, 67, 88, 81, 99, 103
boston-celtics,107, 84, 69, 77, 79, 69, 86, 88, 84, 78
los-angeles-clippers,137, 116, 92, 79, 80, 62, 58, 62, 67, 62
new-york-knicks,117, 86, 88, 95, 89, 68, 74, 86, 97, 100
san-antonio-spurs,123, 98, 76, 71, 77, 65, 74, 84, 72, 74
houston-rockets,108, 103, 85, 76, 68, 52, 70, 67, 78, 75
golden-state-warriors,119, 111, 80, 78, 77, 55, 73, 70, 70, 65
brooklyn-nets,96, 92, 99, 115, 94, 58, 66, 64, 67, 67
toronto-raptors,121, 83, 87, 81, 73, 49, 75, 72, 78, 70
portland-trail-blazers,128, 72, 94, 88, 63, 70, 76, 64, 87, 73
sacramento-kings,109, 84, 81, 69, 61, 45, 50, 72, 72, 67
miami-heat,104, 104, 89, 94, 90, 68, 69, 78, 74, 79
washington-wizards,119, 95, 89, 86, 72, 52, 63, 73, 69, 66
cleveland-cavaliers,149, 131, 87, 74, 72, 57, 58, 90, 94, 85
oklahoma-city-thunder,102, 122, 87, 78, 74, 54, 60, 62, 73, 65
phoenix-suns,96, 85, 76, 70, 65, 60, 71, 69, 80, 72
orlando-magic,119, 73, 66, 86, 91, 76, 95, 86, 74, 62
utah-jazz,95, 74, 67, 64, 74, 54, 80, 76, 70, 69
indiana-pacers,106, 83, 75, 74, 73, 48, 70, 71, 74, 70
milwaukee-bucks,109, 80, 71, 69, 68, 54, 66, 69, 75, 66
atlanta-hawks,119, 83, 67, 65, 73, 65, 75, 69, 70, 60
detroit-pistons,123, 81, 71, 69, 76, 59, 70, 64, 75, 70
denver-nuggets,95, 81, 64, 77, 75, 53, 69, 79, 72, 87
philadelphia-76ers,89, 73, 60, 60, 83, 60, 73, 69, 70, 78
new-orleans-pelicans,117, 93, 80, 74, 70, 59, 73, 74, 68, 66
minnesota-timberwolves,96, 83, 76, 73, 74, 52, 58, 67, 70, 73
memphis-grizzlies,125, 95, 81, 79, 71, 63, 75, 59, 59, 58
charlotte-hornets,115, 88, 82, 79, 64, 52, 70, 73, 69, 59
