name,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
arizona-cardinals,212, 194, 168, 166, 137, 161, 147, 107, 146, 142
cincinnati-bengals,206, 192, 185, 158, 166, 134, 145, 118, 122, 131
atlanta-falcons,220, 179, 171, 187, 162, 146, 144, 125, 134, 129
buffalo-bills,195, 201, 206, 163, 138, 166, 136, 121, 142, 127
dallas-cowboys,190, 196, 190, 148, 164, 148, 150, 148, 143, 165
carolina-panthers,218, 168, 195, 137, 124, 140, 159, 124, 148, 138
baltimore-ravens,192, 214, 169, 184, 156, 155, 148, 151, 138, 122
denver-broncos,201, 215, 188, 170, 171, 152, 135, 129, 142, 123
detroit-lions,248, 189, 151, 156, 180, 162, 150, 147, 139, 120
houston-texans,188, 186, 182, 151, 134, 139, 146, 145, 150, 140
jacksonville-jaguars,226, 192, 152, 140, 123, 168, 135, 128, 133, 135
cleveland-browns,229, 153, 182, 167, 132, 145, 133, 154, 125, 143
chicago-bears,224, 198, 173, 168, 160, 146, 135, 138, 144, 137
green-bay-packers,218, 193, 177, 159, 171, 136, 150, 159, 146, 121
kansas-city-chiefs,216, 205, 182, 159, 166, 140, 127, 152, 111, 107
indianapolis-colts,200, 185, 178, 141, 150, 135, 134, 143, 142, 119
los-angeles-chargers,204, 207, 199, 155, 138, 139, 148, 131, 150, 127
los-angeles-rams,202, 193, 161, 167, 151, 132, 149, 127, 135, 142
new-york-giants,209, 211, 182, 165, 146, 156, 153, 138, 166, 139
minnesota-vikings,218, 192, 168, 157, 162, 128, 148, 152, 139, 145
miami-dolphins,228, 191, 189, 169, 165, 137, 147, 137, 164, 134
new-orleans-saints,200, 205, 191, 162, 148, 182, 147, 160, 150, 149
philadelphia-eagles,220, 249, 188, 167, 150, 155, 149, 147, 141, 123
new-york-jets,187, 210, 192, 138, 134, 151, 155, 144, 160, 141
oakland-raiders,215, 194, 169, 158, 121, 131, 168, 120, 156, 168
san-francisco-49ers,214, 176, 157, 168, 157, 154, 132, 152, 136, 131
pittsburgh-steelers,210, 185, 195, 170, 136, 140, 172, 131, 146, 146
tampa-bay-buccaneers,194, 190, 171, 163, 145, 181, 130, 110, 118, 112
new-england-patriots,212, 184, 182, 160, 156, 157, 151, 170, 133, 131
washington-redskins,222, 196, 193, 170, 118, 140, 132, 153, 125, 139
seattle-seahawks,220, 197, 197, 178, 156, 135, 142, 139, 125, 155
tennessee-titans,210, 182, 169, 164, 150, 140, 130, 139, 142, 137
