name,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
anaheim-ducks,460, 460, 415, 400, 365, 300, 192, 184, 188, 206
boston-bruins,925, 890, 800, 750, 750, 600, 348, 325, 302, 271
columbus-blue-jackets,320, 315, 245, 226, 200, 175, 145, 152, 153, 165
buffalo-sabres,375, 350, 300, 300, 288, 250, 175, 173, 169, 170
dallas-stars,525, 515, 500, 450, 420, 333, 240, 230, 227, 246
detroit-red-wings,775, 700, 625, 600, 570, 470, 346, 336, 315, 337
edmonton-oilers,540, 520, 445, 455, 475, 400, 225, 212, 183, 166
chicago-blackhawks,1050, 1000, 925, 925, 825, 625, 350, 306, 300, 258
arizona-coyotes,290, 300, 240, 220, 225, 200, 134, 134, 134, 138
calgary-flames,450, 430, 410, 435, 451, 420, 245, 220, 206, 200
colorado-avalanche,430, 385, 360, 360, 360, 337, 210, 198, 198, 205
carolina-hurricanes,420, 370, 230, 225, 220, 187, 162, 169, 162, 177
montreal-canadiens,1300, 1250, 1120, 1175, 1000, 775, 575, 445, 408, 339
florida-panthers,295, 305, 235, 186, 190, 240, 170, 162, 168, 159
minnesota-wild,490, 440, 400, 380, 370, 330, 218, 213, 202, 210
los-angeles-kings,810, 750, 600, 580, 580, 450, 276, 232, 215, 208
nashville-predators,425, 380, 270, 255, 250, 205, 167, 163, 148, 156
new-york-islanders,440, 395, 385, 325, 300, 195, 155, 149, 151, 149
ottawa-senators,435, 420, 355, 370, 400, 380, 220, 201, 196, 197
pittsburgh-penguins,650, 650, 570, 560, 565, 480, 288, 264, 235, 222
new-jersey-devils,455, 400, 320, 330, 330, 320, 205, 181, 218, 223
philadelphia-flyers,800, 740, 720, 660, 625, 500, 336, 290, 301, 273
new-york-rangers,1550, 1500, 1250, 1200, 1100, 850, 750, 507, 461, 416
toronto-maple-leafs,1450, 1400, 1100, 1150, 1300, 1150, 1000, 521, 505, 470
washington-capitals,725, 625, 575, 565, 500, 414, 250, 225, 197, 183
vegas-golden-knights,575, 500,,,,,,,,
st-louis-blues,465, 450, 310, 270, 235, 185, 130, 157, 165, 176
san-jose-sharks,510, 490, 470, 445, 425, 405, 223, 211, 194, 184
tampa-bay-lightning,445, 390, 305, 260, 230, 180, 174, 174, 145, 191
winnipeg-jets,415, 375, 340, 350, 358, 340, 200, 164, 135, 143
vancouver-canucks,735, 730, 700, 745, 800, 700, 342, 300, 262, 239
