name,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
arizona-diamondbacks,1210, 1150, 925, 840, 585, 584, 448, 396, 379, 390
boston-red-sox,2800, 2700, 2300, 2100, 1500, 1312, 1000, 912, 870, 833
atlanta-braves,1625, 1500, 1175, 1150, 730, 629, 508, 482, 450, 446
chicago-white-sox,1500, 1350, 1050, 975, 695, 692, 600, 526, 466, 450
baltimore-orioles,1200, 1175, 1000, 1000, 620, 618, 461, 411, 376, 400
cleveland-indians,1045, 920, 800, 825, 570, 559, 410, 353, 391, 399
detroit-tigers,1225, 1200, 1150, 1125, 680, 643, 479, 385, 375, 371
colorado-rockies,1100, 1000, 860, 855, 575, 537, 465, 414, 384, 373
los-angeles-dodgers,3000, 2750, 2500, 2400, 2000, 1615, 1401, 800, 727, 722
kansas-city-royals,1015, 950, 865, 700, 490, 457, 354, 351, 341, 314
chicago-cubs,2900, 2675, 2200, 1800, 1200, 1000, 879, 773, 726, 700
miami-marlins,1000, 940, 675, 650, 500, 520, 451, 360, 317, 277
milwaukee-brewers,1030, 925, 875, 875, 565, 562, 449, 376, 351, 347
houston-astros,1650, 1450, 1100, 800, 530, 626, 549, 474, 453, 445
cincinnati-reds,1010, 915, 905, 885, 600, 546, 425, 375, 331, 342
los-angeles-angels-of-anaheim,1800, 1750, 1340, 1300, 775, 718, 656, 554, 521, 509
new-york-mets,2100, 2000, 1650, 1350, 800, 811, 720, 747, 858, 912
minnesota-twins,1150, 1025, 910, 895, 605, 578, 511, 490, 405, 356
pittsburgh-pirates,1260, 1250, 975, 900, 572, 479, 337, 304, 289, 288
oakland-athletics,1020, 880, 725, 725, 495, 468, 321, 307, 295, 319
philadelphia-phillies,1700, 1650, 1235, 1250, 975, 893, 723, 609, 537, 496
san-diego-padres,1270, 1125, 890, 890, 615, 600, 458, 406, 408, 401
new-york-yankees,4000, 3700, 3400, 3200, 2500, 2300, 1851, 1700, 1600, 1500
seattle-mariners,1450, 1400, 1200, 1100, 710, 644, 586, 449, 439, 426
st-louis-cardinals,1900, 1800, 1600, 1400, 820, 716, 591, 518, 488, 486
tampa-bay-rays,900, 825, 650, 625, 485, 451, 323, 331, 316, 320
toronto-blue-jays,1350, 1300, 900, 870, 610, 568, 413, 337, 326, 353
texas-rangers,1600, 1550, 1225, 1220, 825, 764, 675, 561, 451, 405
washington-nationals,1675, 1600, 1300, 1280, 700, 631, 480, 417, 387, 406
san-francisco-giants,2850, 2650, 2250, 2000, 1000, 786, 643, 563, 483, 471
