name,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
golden-state-warriors,3100, 2600, 1900, 1300, 750, 555, 450, 363, 315, 335
dallas-mavericks,1900, 1450, 1400, 1150, 765, 685, 497, 438, 446, 466
new-york-knicks,3600, 3300, 3000, 2500, 1400, 1100, 780, 655, 586, 613
houston-rockets,2200, 1650, 1500, 1250, 775, 568, 453, 443, 470, 469
brooklyn-nets,2300, 1800, 1700, 1500, 780, 530, 357, 312, 269, 295
san-antonio-spurs,1550, 1175, 1150, 1000, 660, 527, 418, 404, 398, 415
los-angeles-lakers,3300, 3000, 2700, 2600, 1350, 1000, 900, 643, 607, 584
miami-heat,1700, 1350, 1300, 1175, 770, 625, 457, 425, 364, 393
toronto-raptors,1400, 1125, 980, 920, 520, 405, 382, 399, 386, 400
boston-celtics,2500, 2200, 2100, 1700, 875, 730, 482, 452, 433, 447
los-angeles-clippers,2150, 2000, 2000, 1600, 575, 430, 324, 305, 295, 297
washington-wizards,1350, 1000, 960, 900, 485, 397, 328, 322, 313, 353
chicago-bulls,2600, 2500, 2300, 2000, 1000, 800, 600, 511, 511, 504
sacramento-kings,1375, 1075, 925, 800, 550, 525, 300, 293, 305, 350
portland-trail-blazers,1300, 1050, 975, 940, 587, 457, 370, 356, 338, 307
cleveland-cavaliers,1325, 1200, 1100, 915, 515, 434, 329, 355, 476, 477
orlando-magic,1225, 920, 900, 875, 560, 470, 385, 385, 361, 349
phoenix-suns,1280, 1100, 1000, 910, 565, 474, 395, 411, 429, 452
utah-jazz,1200, 910, 875, 850, 525, 432, 335, 343, 343, 358
philadelphia-76ers,1180, 800, 700, 700, 469, 418, 314, 330, 344, 360
atlanta-hawks,1150, 885, 825, 825, 425, 316, 270, 295, 306, 306
indiana-pacers,1175, 880, 840, 830, 475, 383, 283, 269, 281, 303
denver-nuggets,1125, 890, 855, 855, 495, 427, 316, 316, 321, 329
oklahoma-city-thunder,1250, 1025, 950, 930, 590, 475, 348, 329, 310, 300
charlotte-hornets,1050, 780, 750, 725, 410, 315, 277, 281, 278, 284
new-orleans-pelicans,1000, 750, 650, 650, 420, 340, 285, 280, 267, 285
milwaukee-bucks,1075, 785, 675, 600, 405, 312, 268, 258, 254, 278
minnesota-timberwolves,1060, 770, 720, 625, 430, 364, 272, 264, 268, 301
detroit-pistons,1100, 900, 850, 810, 450, 400, 332, 360, 479, 480
memphis-grizzlies,1025, 790, 780, 750, 453, 377, 269, 266, 257, 294
