name,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
arizona-cardinals,2150, 2150, 2025, 1540, 1000, 961, 922, 901, 919, 935
atlanta-falcons,2600, 2475, 2125, 1670, 1125, 933, 837, 814, 831, 856
chicago-bears,2900, 2850, 2700, 2450, 1700, 1252, 1190, 1093, 1067, 1082
baltimore-ravens,2590, 2500, 2300, 1930, 1500, 1227, 1157, 1088, 1073, 1079
cincinnati-bengals,1800, 1800, 1675, 1445, 990, 924, 871, 875, 905, 953
dallas-cowboys,5000, 4800, 4200, 4000, 3200, 2300, 2100, 1850, 1805, 1650
green-bay-packers,2625, 2550, 2350, 1950, 1375, 1183, 1161, 1089, 1018, 1019
buffalo-bills,1600, 1600, 1500, 1400, 935, 870, 805, 792, 799, 909
cleveland-browns,1950, 1950, 1850, 1500, 1120, 1005, 987, 977, 1015, 1032
denver-broncos,2650, 2600, 2400, 1940, 1450, 1161, 1132, 1046, 1049, 1081
carolina-panthers,2300, 2300, 2075, 1560, 1250, 1057, 1048, 1002, 1037, 1049
detroit-lions,1700, 1700, 1650, 1440, 960, 900, 855, 844, 817, 867
indianapolis-colts,2380, 2375, 2175, 1875, 1400, 1200, 1154, 1057, 1040, 1025
houston-texans,2800, 2800, 2600, 2500, 1850, 1450, 1305, 1202, 1171, 1150
jacksonville-jaguars,2080, 2075, 1950, 1480, 965, 840, 770, 725, 725, 866
kansas-city-chiefs,2100, 2100, 1875, 1530, 1100, 1009, 1008, 986, 965, 1027
los-angeles-rams,3200, 3000, 2900, 1450, 930, 875, 780, 775, 779, 913
los-angeles-chargers,2275, 2275, 2080, 1525, 995, 949, 936, 920, 907, 917
new-orleans-saints,2075, 2000, 1750, 1515, 1110, 1004, 971, 965, 955, 942
miami-dolphins,2575, 2575, 2375, 1850, 1300, 1074, 1060, 1012, 1011, 1015
minnesota-vikings,2400, 2400, 2200, 1590, 1150, 1007, 975, 796, 774, 835
new-england-patriots,3800, 3700, 3400, 3200, 2600, 1800, 1635, 1400, 1367, 1361
pittsburgh-steelers,2585, 2450, 2250, 1900, 1350, 1118, 1100, 1018, 996, 1020
new-york-jets,2850, 2750, 2750, 2600, 1800, 1380, 1284, 1223, 1144, 1170
new-york-giants,3300, 3300, 3100, 2800, 2100, 1550, 1468, 1300, 1182, 1183
philadelphia-eagles,2750, 2650, 2500, 2400, 1750, 1314, 1260, 1164, 1119, 1123
oakland-raiders,2420, 2380, 2100, 1430, 970, 825, 785, 761, 758, 797
seattle-seahawks,2580, 2425, 2225, 1870, 1330, 1081, 1040, 997, 989, 994
san-francisco-49ers,3050, 3050, 3000, 2700, 1600, 1224, 1175, 990, 925, 875
tampa-bay-buccaneers,2000, 1975, 1800, 1510, 1225, 1067, 1033, 981, 1032, 1085
tennessee-titans,2050, 2050, 2000, 1490, 1160, 1055, 1011, 964, 994, 1000
whashington-redskins,3100, 3100, 2950, 2850, 2400, 1700, 1600, 1555, 1550, 1550
