name,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
arizona-coyotes,63, 73, 60, 60, 59, 36, 59, 52, 46, 39
chicago-blackhawks,82, 77, 82, 78, 71, 43, 64, 70, 60, 50
columbus-blue-jackets,70, 76, 69, 67, 68, 41, 66, 56, 47, 49
carolina-hurricanes,62, 56, 63, 64, 63, 37, 55, 49, 46, 49
anaheim-ducks,78, 80, 67, 67, 64, 39, 63, 54, 54, 50
boston-bruins,83, 74, 76, 72, 73, 45, 66, 68, 57, 50
buffalo-sabres,70, 83, 67, 65, 58, 41, 70, 58, 54, 51
dallas-stars,79, 69, 71, 68, 62, 37, 54, 49, 46, 53
edmonton-oilers,74, 74, 69, 72, 65, 46, 65, 55, 57, 52
calgary-flames,76, 79, 65, 62, 59, 43, 68, 68, 59, 61
los-angeles-kings,79, 81, 80, 72, 66, 39, 68, 57, 51, 39
florida-panthers,75, 68, 67, 70, 59, 40, 60, 50, 49, 50
detroit-red-wings,73, 80, 75, 75, 72, 41, 64, 66, 61, 55
colorado-avalanche,66, 70, 66, 70, 58, 36, 54, 44, 48, 50
minnesota-wild,77, 77, 74, 72, 70, 54, 60, 61, 53, 52
montreal-canadiens,76, 85, 75, 72, 68, 45, 66, 64, 55, 54
new-york-rangers,78, 80, 82, 80, 68, 50, 66, 74, 61, 61
ottawa-senators,74, 73, 68, 58, 55, 36, 56, 57, 60, 57
san-jose-sharks,74, 74, 76, 67, 67, 43, 66, 65, 57, 53
nashville-predators,74, 73, 71, 65, 64, 43, 56, 54, 46, 45
philadelphia-flyers,77, 80, 72, 79, 74, 47, 72, 68, 63, 62
new-york-islanders,78, 76, 72, 69, 57, 36, 55, 44, 39, 40
pittsburgh-penguins,78, 83, 81, 73, 72, 42, 68, 68, 56, 49
new-jersey-devils,76, 63, 66, 65, 65, 38, 66, 63, 55, 53
vancouver-canucks,76, 82, 73, 70, 65, 44, 69, 73, 60, 49
washington-capitals,85, 76, 72, 76, 68, 41, 71, 67, 59, 55
st-louis-blues,79, 77, 74, 70, 64, 36, 59, 43, 50, 46
vegas-golden-knights,71,,,,,,,,,
tampa-bay-lightning,79, 78, 74, 77, 68, 42, 65, 56, 47, 45
winnipeg-jets,73, 65, 63, 64, 62, 38, 56, 43, 46, 39
toronto-maple-leafs,81, 78, 69, 76, 68, 42, 68, 61, 57, 47
