,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Paul Posluszny,JAX,29,MLB,15,15,2,69,1,59,8,1,0,1,0,0,3.0,162,122,40,6,8,
2,NaVorro Bowman,SFO,25,LB,16,16,2,93,1,89,8,6,0,2,0,0,5.0,145,120,25,9,5,
3,Vontaze Burfict,CIN,23,LB,16,16,1,12,0,12,6,1,0,2,13,1,3.0,177,115,62,9,5,
4,Karlos Dansby,ARI,32,LB,16,16,4,48,2,23,19,1,0,1,0,0,6.5,122,114,8,12,12,
5,Barry Church,DAL,25,FS,16,16,1,0,0,0,6,3,0,1,27,1,,135,107,28,3,1,
6,Lavonte David,TAM,23,LB/mlb,16,16,5,87,0,32,10,2,0,1,0,0,7.0,145,106,39,21,13,1
7,Danny Trevathan,DEN,23,LB,16,16,3,29,0,29,10,3,1,1,0,0,2.0,152,105,47,7,5,
8,DeMeco Ryans,PHI,29,LB,16,16,2,46,0,36,7,,,,,,4.0,127,102,25,9,5,
9,Luke Kuechly,CAR,22,MLB,16,16,4,33,0,30,7,,,,,,2.0,166,96,70,10,2,
10,Derrick Johnson,KAN,31,RILB,15,15,2,44,0,41,6,0,0,2,11,0,4.5,107,95,12,12,10,
11,Alec Ogletree,STL,22,LB,16,16,1,98,1,98,10,6,0,0,0,0,1.5,118,95,23,9,1,
12,Jerrell Freeman,IND,27,LB,16,16,2,13,0,13,6,6,0,2,24,0,5.5,144,93,51,6,7,
13,Stephen Tulloch,DET,28,MLB,16,16,1,0,0,0,3,,,,,,3.5,135,93,42,7,6,
14,Curtis Lofton,NOR,27,LB,16,16,0,0,0,0,4,1,0,0,0,0,2.0,137,89,48,6,2,
15,Bobby Wagner,SEA,23,MLB,14,14,2,9,0,9,7,0,0,1,0,0,5.0,154,89,65,4,6,
16,Eric Weddle,SDG,28,FS,16,16,2,21,0,21,9,1,0,2,27,0,1.0,115,88,27,5,2,
17,Kiko Alonso,BUF,23,MLB,16,16,4,38,0,32,4,1,0,2,13,0,2.0,159,87,72,11,1,
18,Johnathan Cyprien,JAX,23,SS,15,15,1,27,0,27,6,2,0,0,0,0,1.0,102,86,16,1,3,
19,Mychal Kendricks,PHI,23,LB,15,15,3,25,0,18,4,2,0,4,6,0,4.0,113,86,27,8,8,
20,Lawrence Timmons,PIT,27,lb/RILB,16,16,2,26,0,23,5,1,0,1,29,0,3.0,126,86,40,7,6,
21,James Anderson,CHI,30,LB,16,16,0,0,0,0,3,0,0,1,0,0,4.0,102,85,17,10,5,
22,Donald Butler,SDG,25,LB,13,12,1,30,0,30,4,1,0,1,0,0,0.5,101,85,16,4,1,
23,Thomas Davis,CAR,30,LB,16,16,2,-2,0,0,7,1,0,0,0,0,4.0,123,85,38,13,5,
24,James Laurinaitis,STL,27,MLB,16,16,2,9,0,9,9,0,0,2,43,0,3.5,117,85,32,8,5,
25,DeAndre Levy,DET,26,LB,16,16,6,76,1,66,15,,,,,,,117,85,32,8,3,
26,Reshad Jones,MIA,25,fs/S,16,16,1,25,1,25,4,,,,,,1.5,107,84,23,3,4,
27,Kevin Burnett,OAK,31,LB,16,16,1,0,0,0,4,3,0,1,3,0,2.5,105,83,22,12,5,
28,Chad Greenway,MIN,30,LB,16,16,3,23,0,23,4,,,,,,3.0,134,83,51,6,5,
29,Nick Roach,OAK,28,MLB,16,16,1,0,0,0,3,4,0,0,0,0,5.5,112,83,29,8,4,
30,Philip Wheeler,MIA,29,LB/lolb,16,16,0,0,0,0,7,0,0,1,0,0,0.5,118,83,35,5,5,
31,Patrick Willis,SFO,28,LB,14,14,0,0,0,0,1,2,0,0,0,0,3.0,104,82,22,10,5,
32,Antoine Bethea,IND,29,SS,16,16,2,48,0,46,6,0,0,1,0,0,1.0,110,80,30,3,4,
33,Kam Chancellor,SEA,25,SS,16,16,3,78,0,32,6,1,0,0,0,0,,134,80,54,3,1,
34,Antrel Rolle,NYG,31,fs/SS,16,16,6,23,0,25,12,1,0,1,10,0,2.0,98,80,18,4,2,
35,Paul Worrilow,ATL,23,lb/mlb,16,12,0,0,0,0,1,,,,,,2.0,127,79,48,4,3,
36,Major Wright,CHI,25,SS,15,15,2,46,1,38,3,2,0,0,0,0,,101,79,22,0,0,
37,Earl Thomas,SEA,24,FS,16,16,5,9,0,11,9,2,0,0,0,0,,105,78,27,0,0,
38,Bernard Pollard,TEN,29,SS,16,16,3,36,0,32,9,,,,,,0.5,99,77,22,3,3,
39,Prince Amukamara,NYG,24,RCB,16,16,1,-4,0,-4,13,2,0,0,0,0,,85,76,9,4,0,
40,D'Qwell Jackson,CLE,30,LB,16,16,1,0,0,0,7,1,0,1,0,0,1.5,141,75,66,1,4,
41,T.J. Ward,CLE,27,SS,16,16,2,57,1,44,5,0,0,1,51,1,1.5,112,75,37,9,2,
42,Charles Woodson,OAK,37,FS,16,16,1,13,0,13,3,3,0,2,25,1,2.0,97,75,22,5,2,
43,A.J. Hawk,GNB,29,LB,16,16,1,7,0,7,5,1,0,1,0,0,5.0,118,74,44,13,6,
44,Eric Berry,KAN,25,SS,15,15,3,134,2,49,11,2,0,2,24,0,3.5,82,73,9,11,7,
45,Bruce Carter,DAL,25,LB,15,13,0,0,0,0,3,,,,,,2.0,96,73,23,5,4,
46,Chris Conte,CHI,24,FS,16,16,3,48,0,35,7,2,0,0,0,0,,90,73,17,1,0,
47,Eric Reid,SFO,22,FS,16,16,4,54,0,53,11,0,0,2,0,0,,91,73,18,0,1,
48,Jon Beason,2TM,28,,15,13,1,9,0,9,1,,,,,,,104,72,32,1,1,
49,Zach Brown,TEN,24,LB,16,13,1,3,0,3,5,1,0,1,0,0,4.0,91,72,19,9,7,
50,Perry Riley,WAS,25,LB,16,16,1,0,0,0,8,0,0,1,6,0,3.0,115,72,43,7,9,
51,Mark Barron,TAM,24,SS,14,14,2,3,0,3,7,0,0,1,0,0,2.0,88,70,18,3,3,
52,Dannell Ellerbe,MIA,28,LB/mlb,15,15,2,25,0,16,5,0,0,2,0,0,1.0,101,70,31,3,4,
53,David Harris,NYJ,29,MLB,16,16,0,0,0,0,1,1,0,0,0,0,2.0,124,70,54,8,4,
54,Erin Henderson,MIN,27,lb/MLB,14,12,2,19,0,10,3,1,0,0,0,0,4.0,112,69,43,12,6,
55,Sean Lee,DAL,27,MLB,11,11,4,174,1,74,6,0,0,1,10,0,,99,68,31,3,1,
56,Josh Wilson,WAS,28,RCB,16,16,1,0,0,0,7,2,0,3,1,0,2.0,93,68,25,5,5,
57,Duke Ihenacho,DEN,24,SS,15,14,0,0,0,0,6,3,0,2,0,0,,89,67,22,2,0,
58,Morgan Burnett,GNB,24,SS,13,13,0,0,0,0,6,0,0,3,12,1,,102,66,36,0,0,
59,Bradley Fletcher,PHI,27,LCB,13,13,2,30,0,25,15,1,0,1,0,0,,73,66,7,0,0,
60,William Moore,ATL,28,S/ss,16,16,3,36,0,19,7,3,0,2,0,0,2.0,85,66,19,3,3,
61,Brandon Flowers,KAN,27,LCB,13,13,1,32,0,32,8,,,,,,1.0,71,65,6,3,3,
62,Dont'a Hightower,NWE,23,LB,16,14,0,0,0,0,3,,,,,,1.0,113,65,48,4,5,
63,Tyrann Mathieu,ARI,21,db/FS/s,13,11,2,7,0,7,9,1,0,0,0,0,1.0,68,65,3,6,3,
64,Spencer Paysinger,NYG,25,LB,16,10,0,0,0,0,1,0,0,1,0,0,1.0,74,65,9,0,2,
65,J.J. Watt,HOU,24,DE,16,16,0,0,0,0,7,4,0,2,0,0,10.5,80,65,15,22,46,
66,Rey Maualuga,CIN,26,lb/MLB,13,13,1,14,0,14,2,,,,,,1.0,90,64,26,0,1,
67,Lardarius Webb,BAL,28,LCB,16,16,2,19,0,19,22,,,,,,,75,64,11,2,0,
68,Chris Clemons,MIA,28,S/ss,16,16,1,0,0,0,8,,,,,,,93,63,30,1,0,
69,Demario Davis,NYJ,24,LB,16,16,1,0,0,0,1,,,,,,1.0,107,63,44,5,5,
70,London Fletcher,WAS,38,MLB,16,16,0,0,0,0,2,1,0,0,0,0,2.0,111,63,48,4,3,
71,Mason Foster,TAM,24,MLB,15,13,3,122,2,85,7,1,0,0,0,0,2.0,92,63,29,6,7,
72,Tashaun Gipson,CLE,23,FS,16,15,5,143,1,44,12,,,,,,,94,63,31,2,0,
73,James Ihedigbo,BAL,30,SS,16,16,3,54,0,37,11,1,0,2,0,0,,101,63,38,5,3,
74,Rodney McLeod,STL,23,FS,16,16,2,2,0,2,7,2,0,2,9,0,,79,63,16,2,0,
75,Dawan Landry,NYJ,31,S,16,16,1,38,0,38,7,,,,,,1.0,100,62,38,2,3,
76,LaRon Landry,IND,29,FS,12,12,0,0,0,0,2,,,,,,,87,62,25,1,1,
77,Kenny Vaccaro,NOR,22,db/S/ss,14,14,1,29,0,29,8,1,0,0,0,0,1.0,79,62,17,4,3,
78,Cary Williams,PHI,29,RCB,16,16,3,16,0,15,12,0,0,1,0,0,1.0,73,62,11,1,1,
