
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,DeAndre Levy,DET,27,LB,16,16,1,13,0,13,4,,,,,,2.5,155,121,34,16,4,1
2,Luke Kuechly,CAR,23,MLB,16,16,1,0,0,0,12,1,0,1,0,0,3.0,171,107,64,9,4,
3,Morgan Burnett,GNB,25,SS,15,15,1,32,0,32,4,1,0,2,0,0,1.5,143,105,38,4,3,
4,Lavonte David,TAM,24,LB,14,14,0,0,0,0,4,4,0,1,0,0,1.0,145,101,44,17,4,
5,Curtis Lofton,NOR,28,LB,16,16,0,0,0,0,1,1,0,1,0,0,,145,100,45,5,4,
6,C.J. Mosley,BAL,22,LB,16,16,2,23,0,18,8,1,0,1,6,0,3.0,151,99,52,8,12,
7,D'Qwell Jackson,IND,31,MLB,16,16,0,0,0,0,1,1,0,4,35,1,4.0,167,96,71,9,5,
8,Brandon Marshall,DEN,25,LB,14,13,1,0,0,0,9,2,0,0,0,0,2.0,119,95,24,11,3,
9,Jamie Collins,NWE,25,LB,15,15,2,0,0,0,3,4,1,2,3,0,4.0,138,91,47,8,10,
10,Eric Weddle,SDG,29,FS,16,16,1,17,0,17,8,2,0,0,0,0,,114,91,23,2,0,
11,Lawrence Timmons,PIT,28,lb/RILB,16,16,0,0,0,0,1,,,,,,2.0,139,90,49,7,4,
12,K.J. Wright,SEA,25,LB/mlb,16,16,0,0,0,0,4,3,0,1,0,0,2.0,130,89,41,5,2,
13,Earl Thomas,SEA,25,FS/s,16,16,1,47,0,47,5,4,1,1,0,0,,122,88,34,1,0,
14,Barry Church,DAL,26,SS,16,16,2,49,0,45,6,2,0,1,-1,0,,109,87,22,2,0,
15,Michael Griffin,TEN,29,FS,16,16,2,12,0,12,5,,,,,,3.0,112,85,27,6,3,
16,Chris Borland,SFO,23,LB,14,8,2,12,0,12,4,0,0,1,0,0,1.0,107,84,23,12,1,
17,T.J. McDonald,STL,23,s/SS,16,16,1,20,0,20,6,0,0,1,3,0,2.0,105,84,21,8,2,
18,Alec Ogletree,STL,23,LB,16,16,2,44,0,44,12,4,0,0,0,0,,111,84,27,6,0,
19,Ron Parker,KAN,27,db/lcb/SS,16,15,1,10,0,10,12,1,0,0,0,0,1.0,94,84,10,2,1,
20,Paul Worrilow,ATL,24,LB,16,16,0,0,0,0,3,2,0,0,0,0,2.0,143,84,59,4,9,
21,Jelani Jenkins,MIA,22,LB,15,14,0,0,0,0,1,2,0,0,0,0,3.5,110,83,27,9,6,
22,Bobby Wagner,SEA,24,MLB,11,11,0,0,0,0,3,,,,,,2.0,135,83,52,10,6,
23,Rashad Johnson,ARI,28,db/FS/s,16,16,4,146,2,88,8,0,0,2,30,0,1.0,101,82,19,2,2,
24,Josh Mauga,KAN,27,LILB/mlb,16,16,0,0,0,0,3,,,,,,0.5,103,82,21,4,6,
25,James Laurinaitis,STL,28,MLB,16,16,0,0,0,0,2,0,0,2,17,0,3.5,109,81,28,4,6,
26,Daryl Smith,BAL,32,LB,16,16,1,0,0,0,8,5,0,1,39,0,1.0,144,81,63,3,3,
27,Charles Woodson,OAK,38,FS,16,16,4,35,0,30,8,0,0,1,0,0,1.0,111,81,30,4,1,
28,Kam Chancellor,SEA,26,s/SS,14,14,1,52,0,52,6,1,0,0,0,0,,104,80,24,1,0,
29,Johnathan Cyprien,JAX,24,s/SS,15,15,0,0,0,0,3,,,,,,,114,80,34,5,0,
30,Demario Davis,NYJ,25,LB,16,16,0,0,0,0,5,0,0,2,0,0,3.5,116,78,38,5,5,
31,Mike Adams,IND,33,lb/SS,16,16,5,24,0,10,11,2,0,2,0,0,,106,77,29,1,1,
32,Miles Burris,OAK,26,MLB,16,16,0,0,0,0,1,,,,,,,110,77,33,4,1,
33,Thomas Davis,CAR,31,LB,15,15,0,0,0,0,3,2,0,1,33,0,2.5,117,77,40,8,4,
34,Jason McCourty,TEN,27,CB,16,16,3,0,0,0,11,2,0,1,62,1,,85,77,8,1,0,
35,Jameel McClain,NYG,29,lb/MLB,16,14,0,0,0,0,2,1,0,0,0,0,2.5,116,75,41,8,7,
36,Ryan Mundy,CHI,29,S/ss,16,16,4,52,1,45,6,0,0,1,0,0,1.0,103,75,28,1,1,
37,Ha Ha Clinton-Dix,GNB,22,FS/ss,16,10,1,9,0,9,6,0,0,1,0,0,1.0,105,74,31,1,2,
38,Jerrell Freeman,IND,28,LB,12,12,0,0,0,0,6,2,0,1,0,0,1.5,126,73,53,4,4,
39,David Harris,NYJ,30,MLB,16,16,0,0,0,0,3,2,0,0,0,0,5.5,124,72,52,6,6,
40,Tony Jefferson,ARI,22,SS,16,8,0,0,0,0,1,1,0,0,0,0,1.0,84,72,12,2,3,
41,Telvin Smith,JAX,23,LB,16,9,1,15,0,15,4,1,0,2,0,0,2.0,104,72,32,9,1,
42,Antoine Bethea,SFO,30,SS,16,16,4,71,1,49,10,1,0,0,0,0,1.0,85,71,14,4,1,
43,Robert Blanton,MIN,25,s/SS,15,13,1,1,0,1,2,0,0,1,0,0,,105,71,34,0,0,
44,Keenan Robinson,WAS,25,MLB,13,13,1,0,0,0,3,0,0,1,0,0,1.5,104,71,33,6,9,
45,Antrel Rolle,NYG,32,SS,16,16,3,71,0,39,9,1,0,1,0,0,,87,71,16,1,1,
46,Harrison Smith,MIN,25,FS,16,16,5,150,1,81,9,1,0,0,0,0,3.0,92,71,21,7,5,
47,Reshad Jones,MIA,26,S,12,12,3,62,0,50,7,1,1,0,0,0,1.0,80,70,10,5,1,
48,Johnathan Joseph,HOU,30,RCB,16,16,2,85,1,60,11,2,0,2,73,0,,75,70,5,1,0,
49,Tahir Whitehead,DET,24,lb/MLB,16,15,2,2,0,2,5,,,,,,,91,70,21,4,2,
50,Deone Bucannon,ARI,22,db/s/ss,16,9,0,0,0,0,2,1,0,1,0,0,2.0,86,69,17,8,3,
51,J.J. Wilcox,DAL,23,FS,16,16,3,46,0,46,5,1,1,2,11,0,,81,69,12,0,1,
52,Ryan Clark,WAS,35,FS,16,15,1,8,0,8,3,0,1,2,0,0,0.5,101,68,33,3,1,
53,Donte Whitner,CLE,29,SS,16,16,1,54,0,54,4,1,0,0,0,0,,105,68,37,3,0,
54,Dawan Landry,NYJ,32,S,16,14,0,0,0,0,1,,,,,,1.5,106,67,39,1,3,
55,Rolando McClain,DAL,25,MLB,13,12,2,0,0,0,3,1,0,0,0,0,1.0,87,67,20,9,3,
56,Sio Moore,OAK,24,LB,11,11,0,0,0,0,1,1,0,0,0,0,3.0,89,67,22,9,4,
57,Michael Wilhoite,SFO,28,LB,16,16,2,1,0,1,6,1,0,0,0,0,,87,67,20,4,3,
58,Nigel Bradham,BUF,25,LB,14,14,1,0,0,0,6,2,0,0,0,0,2.5,104,66,38,6,7,
59,Preston Brown,BUF,22,LB,16,14,1,0,0,0,2,0,0,1,30,0,,109,66,43,6,1,
60,Anthony Hitchens,DAL,22,LB/mlb,16,11,1,8,0,8,4,,,,,,,84,66,18,3,2,
61,James Ihedigbo,DET,31,fs/s/SS,13,13,4,86,0,70,8,3,1,1,0,0,2.0,80,66,14,6,4,
62,Kemal Ishmael,ATL,23,S,16,10,4,37,1,23,6,1,0,1,18,0,,96,66,30,2,0,
63,Vincent Rey,CIN,27,LB/mlb,16,13,0,0,0,0,5,1,0,0,0,0,,133,66,67,1,1,
64,Corey Graham,BUF,29,lcb/rcb,16,9,2,75,0,45,16,0,0,1,0,0,,84,65,19,0,0,
65,Reggie Nelson,CIN,31,FS,16,16,4,30,0,31,13,0,0,1,6,0,1.5,99,65,34,5,3,
66,Bradley Roby,DEN,22,cb/lcb,16,2,2,0,0,0,13,2,0,2,3,0,1.0,67,65,2,5,1,
67,Greg Toler,IND,29,cb/LCB,15,15,2,47,1,47,10,1,0,0,0,0,1.0,75,65,10,2,0,
68,Tramon Williams,GNB,31,LCB,16,16,3,2,0,2,13,0,0,1,0,0,,77,65,12,0,1,
69,Larry Foote,ARI,34,LB,15,15,1,0,0,0,3,0,0,1,0,0,2.0,88,64,24,6,7,
70,E.J. Gaines,STL,22,cb/lb/LCB/rcb,15,15,2,0,0,0,14,0,0,1,0,0,,70,63,7,3,2,
71,Dashon Goldson,TAM,30,FS/s,14,14,0,0,0,0,1,0,0,1,2,0,,81,63,18,0,0,
72,Malcolm Jenkins,PHI,27,S,16,16,3,67,1,53,15,1,0,1,0,0,,79,63,16,3,0,
73,Patrick Chung,NWE,27,S,16,15,1,10,0,10,8,,,,,,,95,62,33,3,1,
74,Josh Evans,JAX,23,FS/ss,16,14,0,0,0,0,2,0,0,2,-2,0,,90,62,28,2,0,
75,Mychal Kendricks,PHI,24,LB,12,11,0,0,0,0,3,3,0,0,0,0,4.0,83,62,21,10,9,
76,Rodney McLeod,STL,24,FS/s,16,16,2,1,0,1,6,2,0,3,9,0,,72,62,10,3,0,
77,T.J. Ward,DEN,28,SS,15,15,2,55,0,37,5,,,,,,2.0,76,62,14,6,5,
78,Dont'a Hightower,NWE,24,LB,12,12,0,0,0,0,2,1,0,0,0,0,6.0,105,61,44,9,13,
79,Danny Lansanah,TAM,29,LB/mlb,16,11,3,60,2,33,8,,,,,,1.5,81,61,20,8,2,
80,William Gay,PIT,29,db/lcb/nt/rcb,16,13,3,113,3,52,12,,,,,,,71,60,11,1,0,
81,Dwight Lowery,ATL,28,S,16,15,2,21,0,21,5,2,0,1,0,0,1.0,79,60,19,1,3,
