Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Tony Gonzalez,KAN,28,TE,16,16,148,102,68.9%,1258,12.3,7,32,6.4,78.6,0
2,Derrick Mason,TEN,30,WR,16,16,158,96,60.8%,1168,12.2,7,37,6.0,73.0,2
3,Chad Johnson,CIN,26,WR,16,16,170,95,55.9%,1274,13.4,9,53,5.9,79.6,1
4,Torry Holt,STL,28,WR,16,16,135,94,69.6%,1372,14.6,10,75,5.9,85.8,3
5,Joe Horn,NOR,32,WR,16,16,153,94,61.4%,1399,14.9,11,57,5.9,87.4,0
6,Muhsin Muhammad,CAR,31,WR,16,16,160,93,58.1%,1405,15.1,16,51,5.8,87.8,3
7,Laveranues Coles,WAS,27,WR,16,16,168,90,53.6%,950,10.6,1,45,5.6,59.4,1
8,Isaac Bruce,STL,32,WR,16,16,148,89,60.1%,1292,14.5,6,56,5.6,80.8,5
9,Javon Walker,GNB,26,WR,16,12,144,89,61.8%,1382,15.5,12,79,5.6,86.4,2
10,Eric Moulds,BUF,31,WR,16,16,152,88,57.9%,1043,11.9,5,49,5.5,65.2,1
11,Darrell Jackson,SEA,26,WR,16,16,156,87,55.8%,1199,13.8,7,56,5.4,74.9,2
12,Jason Witten,DAL,22,TE,16,15,122,87,71.3%,980,11.3,6,42,5.4,61.3,2
13,Marvin Harrison,IND,32,WR,16,16,139,86,61.9%,1113,12.9,15,59,5.4,69.6,1
14,Donald Driver,GNB,29,WR,16,11,137,84,61.3%,1208,14.4,9,50,5.3,75.5,2
15,Eric Johnson,SFO,25,TE,16,14,117,82,70.1%,825,10.1,2,25,5.1,51.6,1
16,Antonio Gates,SDG,24,TE,15,15,114,81,71.1%,964,11.9,13,72,5.4,64.3,0
17,Drew Bennett,TEN,26,WR,16,16,144,80,55.6%,1247,15.6,11,48,5.0,77.9,3
18,Michael Clayton,TAM,22,WR,16,13,122,80,65.6%,1193,14.9,7,75,5.0,74.6,1
19,Hines Ward,PIT,28,FL,16,16,108,80,74.1%,1004,12.6,4,58,5.0,62.8,1
20,Andre Johnson,HOU,23,WR,16,16,138,79,57.2%,1142,14.5,6,54,4.9,71.4,1
21,Rod Smith,DEN,34,WR,16,16,136,79,58.1%,1144,14.5,7,85,4.9,71.5,4
22,Terrell Owens,PHI,31,WR,14,14,127,77,60.6%,1200,15.6,14,59,5.5,85.7,2
23,Reggie Wayne,IND,26,WR,16,16,115,77,67.0%,1210,15.7,12,71,4.8,75.6,0
24,Jimmy Smith,JAX,35,WR,16,16,137,74,54.0%,1172,15.8,6,65,4.6,73.3,2
25,T.J. Houshmandzadeh,CIN,27,WR,16,13,108,73,67.6%,978,13.4,4,62,4.6,61.1,0
26,Randy McMichael,MIA,25,TE,16,16,118,73,61.9%,791,10.8,4,42,4.6,49.4,2
27,Brian Westbrook,PHI,25,RB,13,12,87,73,83.9%,703,9.6,6,50,5.6,54.1,1
28,Jermaine Wiggins,MIN,29,rb/te,14,13,92,71,77.2%,705,9.9,4,39,5.1,50.4,1
29,Keyshawn Johnson,DAL,32,WR,16,16,124,70,56.5%,981,14.0,6,39,4.4,61.3,1
30,Chris Chambers,MIA,26,WR,15,15,140,69,49.3%,898,13.0,7,76,4.6,59.9,1
31,Nate Burleson,MIN,23,WR,16,15,102,68,66.7%,1006,14.8,9,68,4.3,62.9,1
32,Brandon Stokley,IND,28,wr,16,3,102,68,66.7%,1077,15.8,10,69,4.3,67.3,1
33,Domanick Williams,HOU,24,RB,15,15,84,68,81.0%,588,8.6,1,38,4.5,39.2,4
34,Jerry Porter,OAK,26,WR,16,16,136,64,47.1%,998,15.6,9,52,4.0,62.4,2
35,Eddie Kennison,KAN,31,WR,14,14,106,62,58.5%,1086,17.5,8,70,4.4,77.6,1
36,Jeremy Shockey,NYG,24,TE,15,15,97,61,62.9%,666,10.9,6,38,4.1,44.4,1
37,Antonio Bryant,2TM,23,,15,8,99,58,58.6%,812,14.0,4,55,3.9,54.1,1
38,Larry Fitzgerald,ARI,21,RB/wr,16,16,115,58,50.4%,780,13.4,8,48,3.6,48.8,1
39,Donte' Stallworth,NOR,24,WR,16,10,106,58,54.7%,767,13.2,5,45,3.6,47.9,0
40,Anquan Boldin,ARI,24,wr,10,9,104,56,53.8%,623,11.1,1,31,5.6,62.3,1
41,David Givens,NWE,24,WR,15,12,106,56,52.8%,874,15.6,3,50,3.7,58.3,0
42,Thomas Jones,CHI,26,RB,14,14,72,56,77.8%,427,7.6,0,45,4.0,30.5,2
43,Justin McCareins,NYJ,26,SE/WR,16,16,90,56,62.2%,770,13.8,4,43,3.5,48.1,3
44,Johnnie Morton,KAN,33,WR,13,12,79,55,69.6%,795,14.5,3,52,4.2,61.2,2
45,Dennis Northcutt,CLE,27,WR,16,11,94,55,58.5%,806,14.7,2,58,3.4,50.4,2
46,Ashley Lelie,DEN,24,WR,16,16,101,54,53.5%,1084,20.1,7,58,3.4,67.8,0
47,Roy Williams,DET,23,WR,14,12,118,54,45.8%,817,15.1,8,46,3.9,58.4,1
48,LaDainian Tomlinson,SDG,25,RB,15,15,66,53,80.3%,441,8.3,1,74,3.5,29.4,6
49,Tiki Barber,NYG,29,RB,16,14,79,52,65.8%,578,11.1,2,62,3.3,36.1,5
50,Rod Gardner,WAS,27,WR,16,14,106,51,48.1%,650,12.7,5,51,3.2,40.6,0
51,Edgerrin James,IND,26,RB,16,16,60,51,85.0%,483,9.5,0,56,3.2,30.2,6
52,Amani Toomer,NYG,30,WR,15,14,107,51,47.7%,747,14.6,0,48,3.4,49.8,1
53,Marty Booker,MIA,28,WR,15,15,105,50,47.6%,638,12.8,1,45,3.3,42.5,0
54,Ronald Curry,OAK,25,wr,12,3,70,50,71.4%,679,13.6,6,63,4.2,56.6,1
55,Troy Edwards,JAX,27,wr,16,4,80,50,62.5%,533,10.7,1,36,3.1,33.3,3
56,Marshall Faulk,STL,31,RB,14,14,65,50,76.9%,310,6.2,1,25,3.6,22.1,2
57,Ike Hilliard,NYG,28,WR,16,15,81,49,60.5%,437,8.9,0,43,3.1,27.3,3
58,Bryant Johnson,ARI,23,wr,16,11,102,49,48.0%,537,11.0,1,40,3.1,33.6,1
59,Randy Moss,MIN,27,WR,13,13,86,49,57.0%,767,15.7,13,82,3.8,59.0,1
60,Alge Crumpler,ATL,27,TE,14,14,74,48,64.9%,774,16.1,6,49,3.4,55.3,1
61,Lee Evans,BUF,23,WR,16,11,74,48,64.9%,843,17.6,9,69,3.0,52.7,1
62,Keary Colbert,CAR,22,WR,15,15,92,47,51.1%,754,16.0,5,63,3.1,50.3,1
63,Eric Parker,SDG,25,WR,15,13,71,47,66.2%,690,14.7,4,79,3.1,46.0,5
64,Marcus Robinson,MIN,29,wr,16,7,79,47,59.5%,657,14.0,8,50,2.9,41.1,1
65,Cedrick Wilson,SFO,26,WR,15,15,85,47,55.3%,641,13.6,3,39,3.1,42.7,0
66,Nick Goings,CAR,26,fb/rb,16,8,61,45,73.8%,394,8.8,1,37,2.8,24.6,1
67,Freddie Jones,ARI,30,TE,16,15,74,45,60.8%,426,9.5,2,40,2.8,26.6,0
68,Santana Moss,NYJ,25,fl/wr,15,14,78,45,57.7%,838,18.6,5,69,3.0,55.9,2
69,Peerless Price,ATL,28,WR,16,15,106,45,42.5%,575,12.8,3,50,2.8,35.9,0
70,Jerald Sowell,NYJ,30,FB,16,16,59,45,76.3%,342,7.6,1,34,2.8,21.4,1
71,Shawn Bryson,DET,28,rb,16,1,57,44,77.2%,322,7.3,0,30,2.8,20.1,1
72,David Patten,NWE,30,WR,16,11,95,44,46.3%,800,18.2,7,48,2.8,50.0,0
73,Brandon Lloyd,SFO,23,WR,13,13,89,43,48.3%,565,13.1,6,52,3.3,43.5,0
74,Antwaan Randle El,PIT,25,se/wr,16,7,63,43,68.3%,601,14.0,3,39,2.7,37.6,5
75,David Terrell,CHI,25,WR,16,15,90,42,46.7%,699,16.6,1,63,2.6,43.7,1
76,Bobby Wade,CHI,23,WR,16,14,89,42,47.2%,481,11.5,0,40,2.6,30.1,2
77,Stephen Alexander,DET,29,TE,16,15,76,41,53.9%,377,9.2,1,30,2.6,23.6,0
78,Jabar Gaffney,HOU,24,WR,16,12,68,41,60.3%,632,15.4,2,69,2.6,39.5,1
79,Curtis Martin,NYJ,31,RB,16,16,49,41,83.7%,245,6.0,2,22,2.6,15.3,2
80,Michael Pittman,TAM,29,RB,13,13,65,41,63.1%,391,9.5,3,68,3.2,30.1,6
81,Ahman Green,GNB,27,fb/RB,15,15,51,40,78.4%,275,6.9,1,48,2.7,18.3,7
82,Clinton Portis,WAS,23,RB,15,15,57,40,70.2%,235,5.9,2,18,2.7,15.7,5
83,Ken Dilger,TAM,33,TE,16,14,55,39,70.9%,345,8.8,3,45,2.4,21.6,0
84,Amos Zereoue,OAK,28,rb,15,6,48,39,81.3%,284,7.3,0,13,2.6,18.9,1
85,Curtis Conway,SFO,33,wr,16,5,75,38,50.7%,403,10.6,3,37,2.4,25.2,0
86,Tony Fisher,GNB,25,,16,0,44,38,86.4%,277,7.3,2,25,2.4,17.3,1
