,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Stephen Davis,WAS,27,RB,16,16,356,1432,5,32,4.0,89.5,6
2,Corey Dillon,CIN,27,RB,16,16,340,1315,10,96,3.9,82.2,5
3,LaDainian Tomlinson,SDG,22,RB,16,16,339,1236,10,54,3.6,77.3,8
4,Curtis Martin,NYJ,28,RB,16,16,333,1513,10,47,4.5,94.6,2
5,Priest Holmes,KAN,28,RB,16,16,327,1555,8,41,4.8,97.2,4
6,Eddie George,TEN,28,RB,16,16,315,939,5,27,3.0,58.7,8
7,Lamar Smith,MIA,31,fb/RB,16,16,313,968,6,25,3.1,60.5,6
8,Ricky Williams,NOR,24,fb/RB,16,16,313,1245,6,46,4.0,77.8,8
9,Shaun Alexander,SEA,24,RB,16,12,309,1318,14,88,4.3,82.4,4
10,Ahman Green,GNB,24,RB,16,16,304,1387,9,83,4.6,86.7,5
11,Antowain Smith,NWE,29,RB,16,15,287,1157,12,44,4.0,72.3,4
12,Anthony Thomas,CHI,24,fb/RB,14,10,278,1183,7,46,4.3,84.5,0
13,Emmitt Smith,DAL,32,RB,14,14,261,1021,3,44,3.9,72.9,1
14,Marshall Faulk,STL,28,RB,14,14,260,1382,12,71,5.3,98.7,3
15,Garrison Hearst,SFO,30,fb/RB,16,16,252,1206,4,43,4.8,75.4,1
16,Michael Pittman,ARI,26,RB,15,14,241,846,5,42,3.5,56.4,5
17,Maurice Smith,ATL,25,RB,16,12,237,760,5,58,3.2,47.5,1
18,Dominic Rhodes,IND,22,RB,15,10,233,1104,9,77,4.7,73.6,6
19,Jerome Bettis,PIT,29,RB,11,11,225,1072,4,48,4.8,97.5,3
20,Travis Henry,BUF,23,RB,13,12,213,729,4,25,3.4,56.1,5
21,Stacey Mack,JAX,26,RB,16,11,213,877,9,54,4.1,54.8,3
22,Charlie Garner,OAK,29,RB,16,16,211,839,1,38,4.0,52.4,2
23,James Jackson,CLE,25,RB,11,10,195,554,2,22,2.8,50.4,1
24,Ron Dayne,NYG,23,rb,16,7,180,690,7,61,3.8,43.1,2
25,Mike Anderson,DEN,28,rb,16,7,175,678,4,62,3.9,42.4,1
