Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
A.J. Ellis;2500000;4500000;4250000;3550000;2000000;490000;421000;400000;400000;;;;;;2500;;;
A.J. Jimenez;535000;;;;;;;;;150000;;;;;;;;
A.J. Pierzynski;;3050000;2400000;167539;7500000;6000000;2000000;6750000;6250000;5850000;5500000;4000000;2250000;3500000;365000;250000;210000;
Adam Moore;;507500;507500;500000;490000;483600;417500;401000;;;;140000;;;;;;
Adrian Nieto;;;;500000;;;;;;;;;;;;;;
Alan Marrero;;160000;;;;;;;;;;;;;;;;
Alberto Rosario;535000;507500;;;;;;;;;;;;;;;;
Alex Avila;2000000;2500000;5400000;4150000;2950000;510000;425000;404900;400000;169000;;;;;;;;
Alfredo Gonzalez;;507500;;;;;;;;;;;;;;;;
Ali Sanchez;;;;;690000;;;;;;;;;;;;;
Alison Quintero;;830000;;;;;;;;;;;;;;;;
Andrew Knapp;535000;;;;1033100;;;;;;;;;;;;;
Andrew Knizner;;185300;;;;;;;;;;;;;;;;
Andrew Susac;537400;507500;507500;500000;;;;;;;;;;;;;;
Andrew Yerzy;;1214100;;;;;;;;;;;;;;;;
Anthony Recker;800000;507500;517880;505340;490840;480000;414000;;;;;;;;;;;
Aramis Garcia;;;;1100000;;;;;;;;;;;;;;
Audry Perez;;;;;490000;;;;;;;;;;;;;
Austin Barnes;540000;512500;507500;;;;95000;;;;;;;;;;;
Austin Bernard;72000;;;;;;;;;;;;;;;;;
Austin Hedges;537100;509500;507500;;;;3000000;;;;;;;;;;;
Austin Rei;;;742400;;;;;;;;;;;;;;;
Austin Romine;805000;556000;554100;524800;490000;482000;414000;;;;500000;;;;;;;
Austin Wynns;;;;;10000;;;;;;;;;;;;;
Beau Hanna;125000;;;;;;;;;;;;;;;;;
Ben Breazeale;10000;;;;;;;;;;;;;;;;;
Ben Rortvedt;;900000;;;;;;;;;;;;;;;;
Blake Hunt;1600000;;;;;;;;;;;;;;;;;
Blake Lalli;;507500;;;490000;;;;;;;;;;;;;
Blake Swihart;535000;518500;;;;;;;;;;;;;;;;
Blake Tekotte;;;;;490000;;;;;;;;;;;;;
Bobby Wilson;;507500;700000;500000;;487500;416000;402000;400000;;;;;;;;;
Brady Cox;1000;;;;;;;;;;;;;;;;;
Brayan Pena;;2500000;1400000;875000;875000;875000;660000;428000;405000;390000;380000;327000;315000;;;;;
Brent Gibbs;;150000;;;;;;;;;;;;;;;;
Brett Cumberland;;1500000;;;;;;;;;;;;;;;;
Brett Hayes;;;507500;630000;600000;480000;415000;;400000;;;;450000;;;;;
Brett Nicholas;537000;507500;;;;;;125000;;;;;;;;;;
Brian McCann;17000000;17000000;17000000;17000000;12000000;11666666;6666666;5666666;3666666;966666;666666;333500;316000;;;750000;;
Brian Schneider;;;;;;800000;1625000;1125000;4900000;4900000;3500000;2700000;2000000;350000;310000;212000;;
Brian Serven;;400000;;;;;;;;;;;;;;;;
Bruce Maxwell;535000;507500;;;;700000;;;;;;;;;;;;
Bryan Anderson;;;507500;;490000;480000;414000;400000;;;;;;;;;;
Bryan Holaday;535000;519000;507500;502000;490000;;;115000;;;;;;;;;;
Buster Posey;22177777;20852777;17352777;11327777;3802777;790000;575000;;;6200000;;;;;;;;
Caleb Joseph;700000;523500;515000;500000;;;;;;125000;;;;;;;;
Cameron Gallagher;535000;;;;;;750000;;;;;;;;;;;
Cameron Rupp;565000;518000;508000;500000;490000;;;287000;;;;;;;;;;
Carlos Corporan;;;975000;505300;495000;480000;414000;;;;;;;;;;;
Carlos Maldonado ;;;;;;;;;420000;;;;;;;;;
Carlos Perez;547500;513000;507500;;;;;;;;;;;;;;;
Carlos Ruiz;4500000;8500000;8500000;8500000;5000000;3700000;2950000;2000000;475000;425000;380000;;;;;;;
Carson Blair;;;507500;;;;;;;;;;;;;;;
Carson Kelly;535000;507500;;;;1600000;;;;;;;;;;;;
Chad Wallach;535000;;;;;;;;;;;;;;;;;
Chance Sisco;535000;;;;785000;;;;;;;;;;;;;
Chase Vallot;;;;1350000;;;;;;;;;;;;;;
Chris Betts;;;1485000;;;;;;;;;;;;;;;
Chris Gimenez;950000;975000;507500;510000;;;414000;;;;;;;;;;;
Chris Herrmann;937500;515900;510000;500000;490000;480000;;;135000;;;;;;;;;
Chris Iannetta;1500000;4550000;5525000;4975000;5050000;3633334;2633333;1833333;415000;396000;381000;327000;;305000;;;;
Chris Okey;;2000000;;;;;;;;;;;;;;;;
Chris Robinson;;;;;490000;;;;;;;;;;;;;
Chris Snyder;;;;;;750000;4750000;5250000;2000000;1850000;400000;341000;318000;;;;;
Chris Stewart;1400000;1350000;1225000;1000000;515100;482500;414000;;;;381000;;;;;;;
Christian Bethancourt;541800;511200;507500;500000;490000;;;;;;;;;;;;;
Christian Vazquez;561000;513000;512500;500000;;;;;80000;;;;;;;;;
Christopher Hudgins;125000;;;;;;;;;;;;;;;;;
Cody Stanley;;;507500;;;;;;;;;;;;;;;
Colby Fitch;200000;;;;;;;;;;;;;;;;;
Cole De Vries;;;;;;480000;;;;;;;;;;;;
Connor Wong;550000;;;;;;;;;;;;;;;;;
Corky Miller;;;;;490000;;;;450000;;;;;;;;;
Craig Tatum;;;;;;;414000;400000;400000;;;;;;;;;
Curt Casali;535000;513600;509000;500000;;;40000;;;;;;;;;;;
Dan Butler;;;;500000;;;;;;;;;;;;;;
Daniel Flores;3100000;;;;;;;;;;;;;;;;;
Danny Jansen;;;;;100000;;;;;;;;;;;;;
Daulton Varsho;880100;;;;;;;;;;;;;;;;;
David Banuelos;300000;;;;;;;;;;;;;;;;;
David Freitas;535000;;;;;;;;;;;;;;;;;
David Ross;;2500000;2500000;3100000;3100000;1725000;1675000;1600000;1400000;2525000;1600000;525000;338500;310000;;;;
Deon Stafford;315000;;;;;;;;;;;;;;;;;
Derek Norris;;2925000;545000;505000;492500;480000;;;;;210000;;;;;;;
Devin Mesoraco;7325000;5025000;2525000;525000;497500;480000;414000;;;;1400000;;;;;;;
Dioner Navarro;;4000000;5000000;3000000;1750000;800000;1000000;2100000;2100000;;399800;322000;;;;;;
Dionis Rodriguez;;;;;;185000;;;;;;;;;;;;
Donny Lucy;;;;;;;414000;400000;;;;;;;;;;
Drew Butera;1500000;1175000;809426;700000;700000;480000;429000;400000;390000;;;;175000;;;;;
Drew Lugbauer;125100;;;;;;;;;;;;;;;;;
Dustin Garneau;537000;507500;507500;;;;;;;;;;;;;;;
Ed Easley;;;507500;;;;;;;;;;;;;;;
Eli Whiteside;;;;;;;425000;405000;400000;;;;;;;;;
Elias Diaz;535000;510000;507500;;;;;;;20000;;;;;;;;
Eric Fryer;675000;507500;507500;515000;490000;;;;;;67500;;;;;;;
Erik Kratz;535000;;507500;510200;496000;480000;414000;;;;;;;;;;;
Evan Gattis;5200000;3300000;;;;;;;;;;;;;;;;
Evan Skoug;300000;;;;;;;;;;;;;;;;;
Francisco Cervelli;9000000;3500000;987500;700000;515350;513700;455700;410800;400700;;;;;;65000;;;
Francisco Mejia;535000;;;;;350000;;;;;;;;;;;;
Francisco Pena;535000;509000;508700;;;;;;;;;750000;;;;;;
Franklin Turbi;250000;;;;;;;;;;;;;;;;;
Gabriel Garcia;;150000;;;;;;;;;;;;;;;;
Gary Sanchez;557900;507500;507500;;;;;;3000000;;;;;;;;;
George Kottaras;;;;500000;1000000;700000;440000;408500;400000;;;;;;;;;
Geovany Soto;2000000;2800000;1500000;3050000;2750000;4300000;3000000;575000;575000;401000;380000;;;;;;;
Gerald Laird;;;;1500000;1500000;1000000;1100000;3950000;2900000;1600000;400322;332000;325000;300000;;;;
Grayson Greiner;;;;529400;;;;;;;;;;;;;;
Guillermo Quiroz;;;;;575000;;;;;;;;;;;;;
Gustavo Molina;;;;;;;455000;;;;;;;;;;;
Hagen Danner;1500000;;;;;;;;;;;;;;;;;
Hagen Owenby;125000;;;;;;;;;;;;;;;;;
Hank Conger;;1500000;1075000;517500;495000;480000;414000;;;;;1350000;;;;;;
Hector Gimenez;;;;;493000;;425000;;;;380000;327000;316000;;;;;
Hector Sanchez;750000;507500;800000;512000;502500;480000;414000;;;;;;;;;;;
Henri Lartigue;;220000;;;;;;;;;;;;;;;;
Henry Blanco;;;;;490000;1250000;1000000;750000;750000;3175000;2175000;1500000;1200000;750000;1300000;1400000;712500;
Humberto Quintero;;;;;900000;1000000;1000000;750000;610000;405000;385000;335000;;;;;;
Ivan Rodriguez;;;;;;;3000000;3000000;1500000;13000000;11000000;11000000;8000000;7000000;10000000;;;
J.C. Boscan;;;;;490000;480000;414000;400000;;;;;;;;;;
J.R. Towles;;;;;;;424000;406500;401500;396000;;;;;;;;
J.T. Realmuto;562500;532500;507500;;;;;600000;;;;;;;;;;
Jackson Williams;;;507500;500000;;;;;;;;;;;;;;
Jacob Pearson;1000000;;;;;;;;;;;;;;;;;
Jacob Stallings;535000;507500;;;;;;;;;;;;;;;;
Jake Rogers;;614000;;;;;;;;;;;;;;;;
James Lovett;;507500;;;;;;;;;;;;;;;;
James McCann;552100;519500;507500;500000;;;577900;;;;;;;;;;;
Jared Barnes;159700;;;;;;;;;;;;;;;;;
Jarett Rindfleisch;;125000;;;;;;;;;;;;;;;;
Jarrod Saltalamacchia;;507500;507500;6000000;4500000;2500000;750000;418580;410890;396710;;;;;;;;
Jason Castro;8500000;5000000;4000000;2450000;496600;486000;421500;400000;;2070000;;;;;;;;
Jason Delay;100000;;;;;;;;;;;;;;;;;
Jason Goldstein;;25000;;;;;;;;;;;;;;;;
Jason Jaramillo;;;;;;;422500;;;;;;;;;;;
Jason Kendall;;;;;;;3750000;2250000;5000000;4250000;13666666;11666666;10666666;8666666;8666666;6666666;5100000;2250000
Jason Varitek;;;;;;;2000000;3000000;5000000;10000000;10000000;10000000;10000000;6700000;4700000;3500000;1800000;375000
Jeff Mathis;2000000;1500000;1500000;1500000;1500000;1500000;1700000;1300000;450000;415000;;327000;316000;;;;850000;
Jeremy Martinez;;600000;;;;;;;;;;;;;;;;
Jesus Flores;;;;;;815000;750000;750000;411500;400000;380000;;;;;;;
Jesus Montero;;;507500;;503300;486900;414000;;;;;1600000;;;;;;
Jesus Sucre;630000;512000;509300;500000;490000;;;;;;;;;;;;;
Jett Bandy;539800;507500;507500;;;;;;;;;;;;;;;
Jhonatan Solano;;;507500;;490000;;;;;;;;;;;;;
Joey Harris;;10000;;;;;;;;;;;;;;;;
Joey Morgan;564000;;;;;;;;;;;;;;;;;
