Team;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
arizona diamondbacks;6002600;7027700;2952450;11002000;11290000;8430000;4849000;7650000;2425000;2250500;780000;668000;636000;0;300000;0;13000;0
atlanta braves;6645100;7965000;4547700;5500000;14790000;13871666;8755666;7666666;5066666;1356666;2646666;660500;631000;0;1300000;2150000;712500;0
baltimore orioles;7780000;16832500;9329000;11205000;7441000;2469500;866250;800000;1276967;7625000;12500000;4500000;0;0;0;0;0;0
boston red sox;5621000;5944500;5265300;4610000;8095000;2980000;3578000;3000000;5900000;12675000;10000000;10000000;10000000;6700000;4700000;3500000;1800000;375000
chicago cubs;5364500;17590000;15007500;1905000;2743000;5260500;4678000;1275000;1900000;3576000;2935000;1500000;1200000;22000;0;0;0;0
chicago white sox;3910000;7573100;4682500;1950000;2963000;6483000;4088000;8350000;7108600;11700000;5500000;4000000;2250000;320000;300000;0;0;0
cincinnati reds;9117500;8558000;8589100;1900000;3137500;2580000;4658818;4562500;2300000;0;1400000;525000;0;0;0;0;0;0
cleveland indians;5993333;5606633;2606933;1643333;1490000;1801700;424300;1751200;1950000;429100;383400;327000;0;0;0;0;0;0
colorado rockies;7649000;5072500;5202600;1750000;1000000;3654000;3053333;3833333;4165000;3396000;1456000;1177000;0;305000;0;0;0;0
detroit tigers;3186100;1534500;6415000;5681400;4315000;1510000;1042900;4469900;4450000;169000;11000000;11000000;8000000;7000000;0;0;0;0
florida marlins;0;0;0;0;0;0;5927000;4115000;1240000;880396;2380000;1027000;766000;0;10300000;0;0;0
houston astros;23641600;9872200;5582500;3455300;1481600;1716000;2259500;1556500;2511500;2871000;385000;335000;0;0;0;0;0;0
kansas city royals;8536000;4150000;3168126;4090200;3140000;3105425;6424000;2678000;6005000;4250000;440000;414000;318500;300000;0;0;0;0
los angeles angels;3807500;6498000;8210000;5992500;6040000;4600834;2530000;1702000;850000;415000;1250000;2527000;1041000;370000;320000;0;850000;0
los angeles dodgers;7125000;14095000;5450500;4250000;6431000;1820000;5510000;5450000;4300000;500000;387500;322000;0;310000;302500;40000;0;0
miami marlins;3222200;2665000;2515000;7500000;3770000;7460000;0;0;0;0;0;0;0;400000;300000;0;0;0
milwaukee brewers;5247000;4147500;5240000;2927000;2984000;1560000;2053000;808500;5000000;4250000;407500;0;0;0;0;0;0;0
minnesota twins;10785000;8026200;7017500;4815000;5560000;4440000;429000;1212500;925000;0;0;0;0;777000;365000;250000;210000;0
montreal expos;0;0;0;0;0;0;0;0;0;0;0;0;0;350000;310000;212000;0;0
new york mets;2945000;1561464;2058304;1731900;2160840;5194800;2184000;1650000;7933000;6875000;855000;1550000;675000;0;0;0;0;0
new york yankees;2432900;18373500;18580300;18727500;2010450;10278200;18913700;13510800;19875700;27975000;882150;1928600;316000;0;65000;0;0;0
oakland athletics;2602000;2808100;2037500;4057500;7470000;2360000;4271500;637500;2310000;395000;13666666;11666666;10666666;550000;1853750;463750;245000;211000
philadelphia phillies;1835000;5745500;9515500;10125000;7919100;5460000;4989000;3412000;875000;425000;2880000;30000;0;0;0;0;0;0
pittsburgh pirates;12420000;6525000;3238000;11007000;17364000;4485000;10786500;3650000;4650000;855500;1171000;987000;948000;8666666;8666666;6666666;5100000;2250000
san diego padres;5798900;5383200;1560000;1798400;5217500;3497500;3861600;1167500;1150000;172349;0;0;4947250;2903750;0;70000;0;0
san francisco giants;24845277;21868277;19675277;13439777;5370277;1395000;1828000;405000;400000;6200000;0;0;0;3834000;312000;200000;0;0
seattle mariners;6540000;6111000;2047800;1004100;1973300;8720500;3331500;401000;0;0;0;140000;1115000;0;0;0;688000;0
st. louis cardinals;16345000;18500300;17597500;15988539;15783000;10141000;7340500;4812500;3412500;2337500;525000;400000;323500;0;0;0;0;325000
tampa bay rays;5165000;3028600;3701500;5000000;2786500;3555400;3828000;5775000;2100000;0;399800;0;0;0;0;0;0;0
texas rangers;3514100;6657500;2700790;702232;10740000;0;3416790;2250590;811890;1996710;781322;3532000;2175000;800000;0;0;0;0
toronto blue jays;37647400;19507500;13750000;7638300;2590000;1980000;1200000;800000;2585000;1350000;832500;0;0;0;0;0;0;0
washington nationals;13395000;6957500;5257500;3546000;1481250;7023750;4165000;4505000;856500;800000;4090000;2700000;2000000;0;0;0;0;0
