Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
 Abel De Los Santos;;507500;507500;;;;;;;;;;;;;;;
A.J. Achter;;507500;507500;500000;;;;;;;;;;;;;;
A.J. Burnett;;;8500000;11250000;16500000;16500000;16500000;16500000;16500000;13200000;13200000;2200000;3750000;2500000;2500000;367500;;
A.J. Cole;535000;507500;507500;;;;;2000000;;;;;;;;;;
A.J. Griffin;2000000;507500;517500;505000;492500;480000;;;;;;;;;;;;
A.J. Minter;535000;;814300;;;;;;;;;;;;;;;
A.J. Morris;;507500;;;;;;;;;;;;;;;;
A.J. Ramos;6550000;3400000;530000;510000;490000;480000;;;;;;;;;;;;
A.J. Schugel;535000;507500;507500;;;;;;;;;;;;;;;
Aaron Barrett;;519400;514200;500000;;;;;;;;;;;;;;
Aaron Blair;535000;507500;;;1435000;;;;;;;;;;;;;
Aaron Brooks;;510000;507500;;;;;;;;;;;;;;;
Aaron Bummer;535000;;;100000;;;;;;;;;;;;;;
Aaron Cook;;;;;;1500000;10708334;9833333;9583333;4500000;3100000;1250000;326000;300000;300000;;;
Aaron Crow;;;1975000;1475000;1280000;1600000;1400000;900000;;;;;;;;;;
Aaron Harang;;;5000000;1000000;5500000;3000000;3500000;12500000;11000000;6750000;4250000;2350000;440000;360000;;;;
Aaron Heilman;;;;;;;2000000;2150000;1625000;1200000;453000;359000;316000;;;;;
Aaron Laffey;;;507500;;;800000;;421900;408700;393000;;;;;363000;;;
Aaron Loup;1125000;1050000;527500;512400;494200;;;;100000;;;;;;;;;
Aaron Nola;544000;517500;507500;3300900;;;;;;;;;;;;;;
Aaron Sanchez;535000;517800;510800;500000;;;;775000;;;;;;;;;;
Aaron Slegers;;;;;380000;;;;;;;;;;;;;
Aaron Thompson;;;520000;;;;;;;;;;;;;;;
Aaron Wilkerson;535000;;;;;;;;;;;;;;;;;
Adalberto Mejia;535000;507500;;;;;350000;;;;;;;;;;;
Adam Cimber;;;;;5000;;;;;;;;;;;;;
Adam Conley;537500;512500;507500;;;;625000;;;;;;;;;;;
Adam Liberatore;535000;507500;507500;;;;;;;;;;;;;;;
Adam Loewen;;507500;507500;;;;;;;816000;1020000;;;;3200000;;;
Adam Morgan;539000;507500;507500;;;;250000;;;;;;;;;;;
Adam Ottavino;2100000;1300000;1300000;502000;491000;480000;414000;400000;;;;950000;;;;;;
Adam Plutko;;;;;300000;;;;;;;;;;;;;
Adam Reifer;;;;;;480000;;;;;;;;;;;;
Adam Russell;;;;;;480000;;;;;;;;;;;;
Adam Wainwright;19500000;19550000;19500000;19550000;12150000;9000000;6687500;4987500;2887500;687500;410000;327000;316000;300000;;;;1250000
Adam Warren;2290000;1700000;572600;527400;490525;480000;;;195000;;;;;;;;;
Adam Wilk;;;507500;;;480000;414000;;;;;;;;;;;
Addison Reed;7750000;5300000;932377;538500;520000;480000;414000;358200;;;;;;;;;;
Adrian Houser;;;507500;;;;;;;;;;;;;;;
Adrian Sampson;;507500;;;;250000;;;;;;;;;;;;
Akeel Morris;535000;507500;507500;;;;;120000;;;;;;;;;;
Alan Farina;;;;;;480000;;;;;;;;;;;;
Albert Suarez;535000;507500;;;;;;;;;;;;;;;;
Alberto Alburquerque;535000;507500;1725000;837500;500000;495000;414000;;;;;;;;;;;
Alberto Arias;;;;;;;439500;415500;401500;;;;;;;;;
Alberto Cabrera;;;;;490000;480000;;;;;;;;;;;;
Alec Asher;535000;507500;507500;;;;;;;;;;;;;;;
Alec Mills;;507500;;;;;;;;;;;;;;;;
Alejandro Chacin;535000;;;;;;;;;;;;;;;;;
Alex Burnett;;;;;510000;490000;;;;;;;;;;;;
Alex Castellanos;;;;502000;490500;480000;;;;;;;;;;;;
Alex Meyer;535000;507500;507500;;;;2000000;;;;;;;;;;;
Alex Sanabia;;;;;490000;480000;414000;;;;;;;;;;;
Alex Torres;;;522900;509000;;;;;;;;;;;;;;
Alex White;;;;502000;497100;480000;;;;;;;;;;;;
Alex Wilson;1175000;522500;507500;500000;490000;;;;470700;;;;;;;;;
Alex Wood;2800000;530000;520000;506250;490000;700000;;;;;;;;;;;;
Alex Young;;;1431400;;;;;;;;;;;;;;;
Alexander Claudio;545050;510250;508500;500000;;;;60000;;;;;;;;;;
Alexander Reyes;535000;507500;;;950000;;;;;;;;;;;;;
Alexi Ogando;;;1500000;2625000;506600;497600;430150;400000;;390000;380000;;;;;15000;;
Alfredo Aceves;;;;;2650000;1200000;650000;435650;406750;;;;;;;;;
Alfredo Figaro;;;;;575000;;;;;;;;;;;;;
Alfredo Simon;;2000000;5500000;1500000;890000;487500;414000;400000;400000;;;;;;;;;
Allen Webster;;;507500;500000;490000;;;;;;;;;;;;;
Amir Garrett;535000;;;;;;1000000;;;;;;;;;;;
Andre Rienzo;;;507500;500000;490000;;;;;;;;;;;;;
Andrew Albers;535000;507500;507500;;490000;;;;;;;;;;;;;
Andrew Bailey;1000000;507500;507500;;4100000;3900000;465000;435000;400000;;;135000;;;;;;
