Team;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
arizona diamondbacks;60642100;55867700;33724100;41751200;43205000;31066233;30989500;26500000;39338500;43907046;37098546;15533000;3172000;16980750;18375000;25475000;19850000;19300000
atlanta braves;33794416;25316166;28483215;49950416;39133450;31428000;46065000;51149171;68218666;32236000;14631750;7514500;6632000;370000;15090000;22138700;22600000;22188237
baltimore orioles;83876168;59948166;45524000;44126458;45688433;30184333;32424060;22432445;22863116;9496666;15986666;14555000;4037000;665000;3825000;0;400000;0
boston red sox;106219750;104227500;53392737;44496000;98459500;81468834;86269533;63399833;42356700;40797750;35456616;22314400;20125000;51012500;33764500;27825000;16325000;16625000
chicago cubs;100419500;104414000;65397402;40008500;52600500;43812322;67511500;67375780;56907000;52408334;37348333;36059833;33018000;19855000;8645000;5247000;2275000;200000
chicago white sox;34065000;59387500;61661100;42898100;35879800;59827300;68072000;54001068;48430000;61516000;36037200;29034000;9571000;11078000;7150000;1052500;225000;200000
cincinnati reds;41238285;41509560;42803404;58957557;52855833;44255833;36523333;48188833;43232500;27552833;14750000;6032500;5236000;2695000;3950000;0;625000;200000
cleveland indians;62615200;37992600;25584677;11480600;45534500;30863000;20715733;24573800;34319145;23791800;20383500;18001300;12308600;5789400;8319400;5042000;5750000;2250000
colorado rockies;42899000;43457000;46468500;50717600;44562000;36603000;43459568;44747333;33366533;21706000;21062000;3929000;2633000;937500;1250000;5150000;2380000;0
detroit tigers;45538600;93755500;75917082;90995161;61355000;62445668;38388666;49115166;40840000;25707500;8797500;3072000;3615500;305000;0;0;0;0
florida marlins;0;0;0;0;0;0;0;15592719;9887000;10489000;9497500;7136000;12460500;5637875;5241000;4998750;400000;268000
houston astros;93553668;43683500;42219102;31873700;9819200;16034700;31612000;21276830;32806433;25018000;21964000;48515294;34164000;16910000;2400000;1270000;240000;415000
kansas city royals;61136700;74803250;69238031;60854700;50781200;36451250;22134600;21540000;17140000;7634500;9194500;4398500;1600000;2220500;914000;4475000;0;0
los angeles angels;54282500;81457500;66462750;64817084;61609250;63628800;66599000;41387803;40768800;31836333;50648333;31585833;18122000;25068168;2894166;741666;0;700000
los angeles dodgers;138527426;143428927;125129695;114296945;107197933;52510466;52156711;32476833;26828083;44496833;29403500;39282000;21246000;10200000;3220000;677500;220000;0
miami marlins;49831100;47768500;20142500;14201787;14688800;56044700;38099000;285000;0;0;0;0;0;0;0;0;0;0
milwaukee brewers;34494200;28927700;40777000;62974600;28562000;58211500;60341317;36236415;20541500;53207000;28261500;14891000;7373000;3904000;428000;290000;0;0
minnesota twins;56467500;46774500;57818009;43287200;28902500;47264100;47447500;36577500;20527000;29992500;25292500;18313500;13696500;5620000;3990000;2647500;1450000;0
montreal expos;0;0;0;0;0;0;0;0;0;390000;380000;0;0;7117500;10125000;9350000;2200000;605000
new york mets;37794150;45413375;46656990;31575225;53123300;57896500;43045000;61758667;55381417;47557851;30422234;29694140;24161608;10765608;11000000;2450000;20000;0
new york yankees;110935900;74638250;84010139;94444964;85091439;84321314;90481778;106460489;78551314;51919650;58526515;47328260;44535000;26970000;36175000;29710500;26650000;22751000
oakland athletics;18106200;31310066;20658344;48630900;27224500;29345000;28650000;19797000;11155300;2161133647;10020000;13383125;13031500;11083500;4110000;2790000;1290000;250000
philadelphia phillies;25589000;49585668;54093267;102456066;101165500;91250758;97250333;60776033;50721667;27362833;13843333;22102000;7736000;5457500;3285000;2650000;665000;447500
pittsburgh pirates;34701666;37786600;54027288;36159000;44452000;51388500;34169500;25339500;14991000;3854925;5727500;7342750;1691000;932500;1205000;1912500;225000;0
san diego padres;23786000;23523800;69446578;41414320;30838053;31033300;25212631;24194400;22428700;13834000;17512500;5998000;3669500;4130000;905000;200000;0;1650000
san francisco giants;112266334;109518333;104926058;101471533;94138983;86660516;67568833;45397833;35086700;26455000;14587000;3510000;1520500;2637000;1725000;4950000;2875000;1550000
seattle mariners;101333542;63866342;48368242;53074142;44501842;44838100;32061500;22878000;39017300;38661000;17405000;15588000;9939000;11705000;12165000;4710000;3952500;2750000
st. louis cardinals;66977000;79173500;60689953;75086500;62713000;58396900;54212000;49254700;43267000;25405500;10292000;10554000;4716000;2905000;300000;215000;0;0
texas rangers;60862760;67558310;63158815;46176960;56728900;65103500;34187950;46484780;44945716;20238552;21825079;7551270;5482500;875000;3730000;510000;6527000;4500000
toronto blue jays;51567000;78662466;57396334;72796800;71665700;43964700;27662700;37851800;28279900;29726300;30348500;20966500;19967500;12500000;8030000;8250000;4650000;2400000
washington nationals;91658856;74463457;99274266;67480400;59226000;50135250;31974500;28224900;13363016;4622377;6280000;11845000;9579000;0;300000;225000;0;0
