Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
A.C. Green;;;;;;;;;;;;;;;;;2250000;1700000;5125088;5095088;4851000;6473000;6472600;1885000;1750000;1750000;1750000
A.J. Bramlett;;;;;;;;;;;;;;;;;;118974;;;;;;;;;
A.J. English;;;;;;;;;;;;;;;;;;;;;;;;150000;406000;325000;275000
A.J. Guyton;;;;;;;;;;;;;;;18748;465850;316969;;;;;;;;;;
A.J. Price;;;281484;947907;885120;854389;762195;457588;;;;;;;;;;;;;;;;;;;
A.J. Wynder;;;;;;;;;;;;;;;;;;;;;;;;;140000;130000;30000
Aaron Brooks;2700000;2250000;915243;947907;3250000;;2016692;1118520;1045560;972720;;;;;;;;;;;;;;;;;
Aaron Gordon;4351320;4171680;3992040;;;;;;;;;;;;;;;;;;;;;;;;
Aaron Gray;;1356146;1227985;2690875;2575000;2500000;1028840;1000497;711517;427163;;;;;;;;;;;;;;;;;
Aaron Harrison;874636;525093;;;;;;;;;;;;;;;;;;;;;;;;;
Aaron McKie;;;;;;;;;;750000;2500000;2500000;5500000;5000000;4500000;4000000;1818000;1624000;1430000;1235000;1040000;845000;650000;;;;
Aaron Miles;;;;;;;;;;;;155614;;;;;;;;;;;;;;;
Aaron Swinson;;;;;;;;;;;;;;;;;;;;;;;102424;;;;
Aaron Williams;;;;;;;;;;1890000;1750000;3375000;3790257;2925000;2700000;2475000;2250000;1100000;575000;500000;169000;;150000;;;;
Acie Earl;;;;;;;;;;;;;;;;;;;;1430000;1235000;1040000;845000;650000;;;
Acie Law;;;;;;;656030;2216160;2071680;1927080;;;;;;;;;;;;;;;;;
Adam Haluska;;;;;;;;;;427163;;;;;;;;;;;;;;;;;
Adam Harrington;;;;;;;;;;;;;;;140636;;;;;;;;;;;;
Adam Keefe;;;;;;;;;;;;;;;;;3390000;3000000;2650000;2300000;1950000;1650000;1500000;1200000;1000000;;
Adam Morrison;;;;;;;;5257229;4159200;3887880;3616680;;;;;;;;;;;;;;;;
Ademola Okulaja;;;;;;;;;;;;;;;;;316969;;;;;;;;;;
Adonal Foyle;;;;;;;;1306455;6800000;8937500;8125000;7312500;6500000;4400000;4400000;4400000;3580000;1922520;1701000;1495000;;;;;;;
Adonis Jordan;;;;;;;;;;;;;;;;;;;350000;;;;;;;;
Adonis Thomas;;;;57668;;;;;;;;;;;;;;;;;;;;;;;
Adreian Payne;2022240;1938840;1855320;;;;;;;;;;;;;;;;;;;;;;;;
Adrian Caldwell;;;;;;;;;;;;;;;;;;50000;;20000;;225000;150000;;;;275000
Adrian Custis;;;;;;;;;;;;;;;;;;;;242000;;;;;;;
Adrian Dantley;;;;;;;;;;;;;;;;;;;;;;;;;;;400000
Adrian Griffin;;;;;;;;;1711000;1593000;1475000;768718;870046;751179;637435;565850;498500;385000;;;;;;;;;
Al Harrington;;;7609800;7148600;6687400;6226200;5765000;10026875;9226250;8425625;7625000;6957500;6325000;5692500;5060000;1436982;797880;745800;543000;;;;;;;;
Al Horford;26540100;12000000;12000000;12000000;12000000;12000000;5444857;4307640;4026720;3745800;;;;;;;;;;;;;;;;;
Al Jefferson;10230179;13500000;13500000;13500000;15000000;14000000;13000000;12000000;11000000;2480885;1618320;1512840;1407240;;;;;;;;;;;;;;
Al Thornton;;;;;;;2814196;1900200;1776240;1652280;;;;;;;;;;;;;;;;;
Alaa Abdelnaby;;;;;;;;;;;;;;;;;;;;;;;650000;805000;500000;494000;395000
Alan Anderson;1315448;4000000;1276061;947907;885120;;;;;;102131;398762;;;;;;;;;;;;;;;
Alan Bannister;;;;;;;;;;;;;;;;;;;;;;;;;;;50000
Alan Henderson;;;;;;;;;;;1178348;1138500;8273125;7682188;7091250;6500312;5910000;5318437;4725000;1028400;910000;791000;;;;;
Alan Ogg;;;;;;;;;;;;;;;;;;;;;;;;;;202000;130000
