Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
A.J.  Jenkins;;;;1.021.594;705.797;1.263.188;;;;;;;;;;;;;;;;;;;;;
A.J. Bouye;5.468.750;1.671.000;586.668;496.666;406.666;;;;;;;;;;;;;;;;;;;;;;
A.J. Cann;921.399;785.399;635.399;;;;;;;;;;;;;;;;;;;;;;;;
A.J. Derby;180.880;264.700;346.013;;;;;;;;;;;;;;;;;;;;;;;;
A.J. Edds;;;;116.471;;465.000;375.000;439.250;;;;;;;;;;;;;;;;;;;
A.J. Feeley;;;;;;;3.250.000;2.750.000;;5.600.000;1.750.000;3.500.000;540.000;455.000;424.833;355.158;244.833;;;;;;;;;;
A.J. Francis;217.058;;150.000;318.000;119.117;;;;;;;;;;;;;;;;;;;;;;
A.J. Green;13.500.000;13.000.000;14.750.000;6.264.394;5.369.481;4.474.568;3.579.655;;;;;;;;;;;;;;;;;;;;
A.J. Hawk;;;1.850.000;5.100.000;5.200.000;6.550.000;6.921.250;6.995.000;5.896.250;4.821.250;2.731.250;2.185.000;;;;;;;;;;;;;;;
A.J. Hendy;;26.470;;;;;;;;;;;;;;;;;;;;;;;;;
A.J. Jefferson;;;;;;540.000;410.000;325.000;;;;;;;;;;;;;;;;;;;
A.J. Klein;2.800.000;722.825;632.825;542.825;452.825;;;;;;;;;;;;;;;;;;;;;;
A.J. McCarron;735.413;645.413;555.413;369.060;;;;;;;;;;;;;;;;;;;;;;;
A.J. Nicholson;;;;;;;;;;;;314.750;;;;;;;;;;;;;;;
A.J. Tarpley;;;102.352;;;;;;;;;;;;;;;;;;;;;;;;
A.Q. Shipley;1.637.500;835.000;735.000;570.000;480.000;390.000;;;;;;;;;;;;;;;;;;;;;
Aaron Adams;;;;303.000;;;;;;;;;;;;;;;;;;;;;;;
Aaron Bates;;;;;;;375.333;;;;;;;;;;;;;;;;;;;;
Aaron Berry;;;;;700.000;515.000;375.500;298.500;;;;;;;;;;;;;;;;;;;
Aaron Brewer;540.647;555.882;845.000;571.333;481.333;391.333;;;;;;;;;;;;;;;;;;;;;
Aaron Burbridge;388.089;475.089;;;;;;;;;;;;;;;;;;;;;;;;;
