Team;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
arizona cardinals;161695128;142050412;131898567;117186279;101554783;118319856;112570561;87447659;102466299;94217100;76306962;83249860;49058666;40569982;33789266;29939642;21588248;17193499;0;15611366;0;4143666;4328834;6224665;6185002;0;2583332
atlanta falcons;157854648;127773922;113766524;121320590;104962454;124269245;123051711;115671068;90402045;72606075;64337371;58408211;45058206;33934684;24621094;24297058;12670667;8605416;0;3208333;0;5086000;2910500;5027089;7208750;0;3942083
baltimore ravens;136870254;135617906;117207709;109515752;110323504;121621563;115894675;110785006;91828447;73471148;68375491;55210261;41415314;26575947;26129605;15260696;13718566;12995750;0;3716140;0;6564901;0;0;0;0;0
buffalo bills;126167732;133546829;124698408;119736639;96676241;110891698;94786799;94608232;90019378;86591469;59617298;55630541;46148864;48874348;35540868;33369192;32289149;28925070;0;20909394;0;16812930;14154667;11686999;18795416;0;7032166
carolina panthers;163318040;126045316;129789582;105757589;91297223;121280383;120892742;77740912;98595879;81778277;55487773;48042517;31659333;23261925;22488941;14762483;7604025;8713900;0;9090000;0;7840000;5632000;0;115312370;0;0
chicago bears;154476070;135526202;112627422;112729839;119322918;122517953;108411620;104374765;92501378;70158839;57460982;40014040;34068061;26235867;18697473;12543832;9364666;5647000;0;3804000;0;3396000;3720000;1450000;800000;0;650000
cincinnati bengals;157544126;152427609;139065446;125832221;118918823;109208309;102545696;94130991;89552825;68416558;75999828;64862114;44982000;38678991;27469871;25872748;18865998;9408333;0;8245375;0;4052500;40102750;1482000;670000;0;570000
cleveland browns;110384755;95018123;132592816;114353654;99505575;119986815;93500474;85704967;86610750;93944046;57126049;44469666;27392184;34222512;25015385;13669761;8615761;4773928;0;0;0;0;2919666;2787500;1487500;0;1337500
dallas cowboys;133069371;149501436;118597584;101445694;99848104;107545389;92617366;141461110;80851105;81066700;72741785;47414612;29756247;22649003;21865495;24661279;27984120;19114043;0;25039022;0;14246934;12227090;11596084;12239252;0;5937499
denver broncos;150946404;132067879;138950611;124871397;121126997;124739765;99422410;101630172;76447563;46425083;35296293;52515568;26081058;21004650;14599469;13551903;8516690;13720856;0;10510999;0;9299332;10616666;9765850;6914116;0;2760000
detroit lions;150166204;125064000;121979108;122288135;105016088;130691171;124507700;110817733;84430011;55730508;62591263;44310048;53860871;22349188;18312869;11174621;8446250;11623896;0;7471391;0;5736500;4431000;4280000;7995000;0;3132500
green bay packers;156422381;149343496;136393240;127898002;117619565;114295308;112459454;132855390;103864232;78452911;64672516;59336662;47376324;33472707;26520083;19551532;18218999;13317667;0;8197166;0;7282265;3658000;2917500;2123666;0;1844999
houston oilers;0;0;0;114396057;0;0;0;0;0;0;0;517647;700000;0;0;0;0;0;0;0;0;0;0;600000;600000;0;600000
houston texans;146021450;143333783;125096271;110410018;116930365;108513297;117985071;115014830;85951276;59193425;37253554;37749524;19546439;10432093;6285330;4502460;0;297181814;0;0;0;0;0;0;0;0;0
indianapolis colts;128699897;135175690;129139024;117363190;117395384;85498133;115417068;122063795;112606029;97758546;69759506;63377784;41622332;40293675;41660495;33409629;27639308;23522309;1882142;10942993;0;6297688;5068071;4664571;2583333;0;2617333
jacksonville jaguars;159997837;145350574;126664939;106895567;84032882;120544113;90326910;82211796;81217488;92247247;65443634;64522561;39412496;22232519;20393216;9725957;6476019;3964208;0;2198333;0;826500;2931500;0;0;0;0
kansas city chiefs;153524455;138321520;119341348;122888107;116268524;138496632;103654859;84412220;57058510;57814245;39412892;27310295;23808445;22317558;12673084;9655182;8682404;4526237;0;3852166;0;616666;1133333;1498333;2948333;0;1250000
los angeles chargers;138821998;142084296;123819123;117210315;107923495;116127625;121671303;104646470;104975492;88760462;76204040;50936830;38234458;31506910;16598446;18394832;17483166;8753666;0;6605000;0;4225000;3494000;3715000;2923334;0;2438333
los angeles rams;146884984;128292344;129208844;122082378;109130600;0;106885194;0;80363285;0;0;49706837;0;0;0;0;23076547;21382213;0;0;0;0;0;0;0;0;0
