Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
A.J. Edds; ; ; ;116471; ;465000;375000;439250; ; ; ; ; ; ; ; ; ; 
A.J. Hawk; ; ;1850000;5100000;5200000;6550000;6921250;6995000;5896250;4821250;2731250;2185000; ; ; ; ; ; 
A.J. Klein;2800000;722825;632825;542825;452825; ; ; ; ; ; ; ; ; ; ; ; ; 
A.J. Nicholson; ; ; ; ; ; ; ; ; ; ; ;314750; ; ; ; ; ; 
A.J. Tarpley; ; ;102352; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aaron Curry; ; ; ; ; ;992000;525000;8406250;2725000; ; ; ; ; ; ; ; ; 
Aaron Maybin; ; ; ; ; ;1015000;525000;2212500;1850000; ; ; ; ; ; ; ; ; 
Aaron Wallace;405865;472041; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Abdul Hodge; ; ; ; ; ; ; ; ;460000;370000;562000;477000; ; ; ; ; ; 
Adam Hayward; ; ;990625;955000;1257000;1105700;1100570;575500;485500;395500;310500; ; ; ; ; ; ; 
Adam Seward; ; ; ; ; ; ; ; ;460000;927000;477513;392513;272513; ; ; ; ; 
Adarius Glanton;690000;600000;150000;271764; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Adrian Hamilton; ; ; ; ;303000;390000; ; ; ; ; ; ; ; ; ; ; ; 
Adrian Moten; ; ; ; ; ;465000; ; ; ; ; ; ; ; ; ; ; ; 
Adrian Robinson; ; ; ; ;480000;391667; ; ; ; ; ; ; ; ; ; ; ; 
Ahmad Brooks;3500000;8005000;7055000;4503750;5050000;2850000;2425000;1825000;535000;445000;520187;435187; ; ; ; ; ; 
Akeem Ayers;319117;2600000;2921875;615762;1343595;1119663;895731; ; ; ; ; ; ; ; ; ; ; 
Akeem Dent; ;2625000;1709375;725000;760725;635725;510725; ; ; ; ; ; ; ; ; ; ; 
Akeem Jordan; ; ; ; ;575000;540000;575000;1684000;461166;1471166;2786166; ; ; ; ; ; ; 
Alani Fua; ;384900;440666; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Albert McClellan;1200000;1100000;1200000;1000000;555000;465000;375000; ; ; ; ; ; ; ; ; ; ; 
Aldon Smith; ;4000000;3000000;3339781;3922909;3269091;2615273; ; ; ; ; ; ; ; ; ; ; 
Alec Ogletree;5719000;2236829;1917282;1597735;1278188; ; ; ; ; ; ; ; ; ; ; ; ; 
Alex Albright; ; ; ; ; ;465500;375500; ; ; ; ; ; ; ; ; ; ; 
Alex Anzalone;591677; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Alex Hall; ; ; ; ; ; ; ;555000;470000;396716;306716; ; ; ; ; ; ; 
Alfred Fincher; ; ; ; ; ; ; ; ; ;520000;609000;524000;404000; ; ; ; ; 
Allen Bradford; ; ; ; ;480000;465000;375000; ; ; ; ; ; ; ; ; ; ; 
Alvin Bowen; ; ; ; ; ; ;600250;515250;355250;340250; ; ; ; ; ; ; ; 
Alvin Scioneaux; ; ; ;304000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Amarlo Herrera; ; ;25588; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Andra Davis; ; ; ; ; ; ;2400000;2000000;1470000;4225000;2500000;5405000;2130000;421000;341000;261000; ; 
Andrew Gachkar;397941;1900000;1600000;656475;566475;476475;386475; ; ; ; ; ; ; ; ; ; ; 
Andrew Jackson; ; ; ;370588; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Andy Mulumba; ; ;586667;340490;406666; ; ; ; ; ; ; ; ; ; ; ; ; 
Andy Studebaker; ; ;103235;730000;504706;1530000;1000000;1305000;385000;258125; ; ; ; ; ; ; ; 
Anthony Barr;4054750;3475500;2896250;2317000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Anthony Cannon; ; ; ; ; ; ; ; ; ;454233;369233;284233; ; ; ; ; ; 
Anthony Chickillo;615000;525000;358235; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Anthony Hitchens;1905716;708716;618716;528716; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Anthony Levine;1033333;1200000;1000000;495000;480000;273000; ; ; ; ; ; ; ; ; ; ; ; 
Anthony Schlegel; ; ; ; ; ; ; ; ; ; ;360000;458500; ; ; ; ; ; 
Anthony Simmons; ; ; ; ; ; ; ; ; ; ;1500000;1500000; ;4000000;3100000;1339721;1247256;1154791
Anthony Spencer; ; ;665000;1296875;10627200;8856000;2196000;1936000;1676000;1565000;1480000; ; ; ; ; ; ; 
Anthony Walker Jr.;531353; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Anthony Waters; ; ; ; ; ; ; ;550000;460000;519500;434500; ; ; ; ; ; ; 
Antonio Morrison;669976;579976; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Antwan Barnes; ; ; ; ;1050000;1900000;1300000;1101000;555667;465667;380667; ; ; ; ; ; ; 
Antwione Williams; ;501115; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arthur Brown; ; ;969335;807780;646224; ; ; ; ; ; ; ; ; ; ; ; ; 
Arthur Moats;2883334;3133333;1483333;635000;1351000;568000;433000;348000; ; ; ; ; ; ; ; ; ; 
Ashlee Palmer; ; ; ;1583334;1333333;948333;525000; ; ; ; ; ; ; ; ; ; ; 
Atiyyah Ellison; ; ; ; ; ; ; ; ; ; ; ; ;230000; ; ; ; ; 
Audie Cole; ;680000;660000;570000;197647;406875; ; ; ; ; ; ; ; ; ; ; ; 
Austin Spitler; ; ; ; ;481765;540000;450000;263529; ; ; ; ; ; ; ; ; ; 
Avery Williamson;1845613;648613;558613;468613; ; ; ; ; ; ; ; ; ; ; ; ; ; 
B.J. Bello;465000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
B.J. Goodson;685551;595551; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bam Bradley;362422; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Baraka Atkins; ; ; ; ; ; ;525000; ; ;478125;393125; ; ; ; ; ; ; 
Barkevious Mingo;2000000;675000;4458273;3715228;2972182; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrett Ruud; ; ; ; ; ;540000;4000000;3268000;2115750;1035750;950750;865750;743000; ; ; ; ; 
Bart Scott; ; ; ; ; ;5950000;5650000;8350000;9000000;5566667;4766667;3166667;656000;380000;300000;225500; ; 
Beau Bell; ; ; ; ; ; ; ; ; ;418300; ; ; ; ; ; ; ; 
Ben Gedeon;623286; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ben Heeney;470294;450326;495681; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ben Jacobs;825000;158824;585000;504000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Benardrick McKinney;1457761;1214801;971840; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bjoern Werner; ; ;2153562;1794635;1435708; ; ; ; ; ; ; ; ; ; ; ; ; 
Blair Brown;538678; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Blake Costanzo; ; ; ; ;940000;1000000;750000;545000; ; ; ; ; ; ; ; ; ; 
Blake Martinez;635848;545848; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bo Ruud; ; ; ; ; ; ; ; ;310000;221225; ; ; ; ; ; ; ; 
Bobby Carpenter; ; ; ; ; ; ;525000;60000;2050000;1755000;1525000;1220000; ; ; ; ; ; 
