Team;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
arizona cardinals;20543116;17478436;13706029;14835082;11530402;13338649;10567068;5726847;10641030;10920000;5263347;4233277;3376249;2415000;1275000;412166;335166;258166
atlanta falcons;4753684;8219375;7474613;15725656;15094845;13808783;22401982;16976282;12543282;20857852;16152167;11080410;6772077;4765057;3222619;1733333;1595833;1458333
baltimore ravens;17619253;23228661;21521043;18652738;22688364;28733952;28086640;24524366;20346032;29914128;24448779;16144071;12433698;9727404;9723239;5895739;4216666;3050000
buffalo bills;7070767;6180817;8726302;13115242;5413129;8809148;15515868;14360460;5334750;2977334;3532583;12251750;9680000;8128832;5136916;1325000;0;0
carolina panthers;27609053;17863527;17642992;9286469;12335910;18496572;15287880;12172878;11707028;8302471;6108388;3508663;3877513;4451533;4503333;2698333;0;0
chicago bears;30669320;35223623;21899436;20627870;14352960;21567231;19779796;19240667;18147984;12962558;14896855;7706462;6709642;7756142;5642142;2687500;1475000;1450000
cincinnati bengals;18136126;15238245;20551658;13670865;7989422;8525333;13547061;9455105;6871916;3684166;3090187;6644937;5780000;2900000;2700000;4608000;2625500;2609000
cleveland browns;22308796;8113292;23383953;20827536;21764668;20152147;12702125;8773125;4501258;12540434;12047132;11924166;2387500;421000;341000;261000;0;0
dallas cowboys;13855576;16191273;13062545;11184390;27662497;23850546;17951789;22865635;20774435;15393832;13398625;10113625;7204167;3801667;5018397;2623318;1789318;1503485
denver broncos;32087059;29108335;24214482;20262169;12951884;34555366;31583584;8405000;9029750;5156417;2407691;1917750;1400000;1200000;0;0;0;0
detroit lions;12346382;13315554;13532361;12991134;11979067;10404126;8735959;8851432;13050432;5079233;5834233;5809233;920000;840000;760000;0;0;0
green bay packers;28159901;21666079;22351365;29396955;19688800;18416595;16549267;24597029;18628045;17226883;12200550;4597125;4866458;2920333;2050333;933333;631333;526333
houston texans;24185503;28383709;20777164;14475434;9866646;8884183;7490902;15282522;5282103;3781603;4070978;3114918;2136666;246666;0;0;0;0
indianapolis colts;22243514;24024894;32401347;23332710;20856072;30299648;28444809;26218092;23640269;19534154;15536537;12690847;3297181;4195631;3079631;3380071;1781500;1552500
jacksonville jaguars;12755577;11227761;13270874;13790331;13640293;15997500;12120792;10307800;6513875;11246314;13033645;5206750;4433000;2345333;2863333;0;0;0
kansas city chiefs;41841771;28440181;21681882;24150668;22543136;24697351;13312797;20300234;9186667;9953125;7673201;3906799;2610000;1745500;1190667;1026667;310667;0
los angeles chargers;23054742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
los angeles rams;33636522;21114048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
miami dolphins;13549305;8266716;9727089;19895599;9006508;20047791;18282500;14010029;18203333;13184958;5695408;1327350;7737350;6740725;3750000;0;0;0
minnesota vikings;10250365;11877548;11524062;13035615;13088356;11823375;15321500;14000666;12635666;7981166;5300687;3597500;980994;742500;662500;0;0;0
new england patriots;16080550;24325070;24134525;17898540;16975452;17003489;11103000;8374705;8010542;4219850;1875250;1553750;4848499;3665499;1975499;6282165;4359165;3751666
new orleans saints;11112354;11885800;11327571;13833920;22400832;21894914;21060556;24427084;23336917;15491667;9041941;5588693;2592616;818616;0;0;0;0
new york giants;12590992;12387201;10760089;9516358;9898207;13371350;11510064;14661660;12406683;6707712;6245875;6854293;2223416;1551916;516250;0;0;0
new york jets;10169539;13959491;14097440;13539134;18811596;30843249;22153392;27450568;24097529;9965333;7701050;6962050;11355092;5358092;3969500;2700500;873500;1140000
oakland raiders;10513688;23229125;16064736;10451794;7688981;8920746;11706287;8871287;8865933;3772600;2242600;2350560;1695266;1053166;935666;970000;0;0
philadelphia eagles;14871511;20354217;16307387;22709719;16642817;12899986;9101431;14424551;13463832;7450175;12165791;4282125;753250;0;0;0;0;0
pittsburgh steelers;14867165;30557971;20930370;28511997;21979115;25528815;24820440;16099603;13779750;9857269;15141917;17256666;13360416;5691750;4130000;1825000;524000;410000
san diego chargers;0;15559380;15133828;18104822;18315167;14776915;9914940;14303142;11213312;8040812;3596400;2172148;1518000;0;0;5583333;5583333;4623333
san francisco 49ers;14915178;24893772;17465398;23214157;17612219;29733185;14401148;10139124;7699937;8933840;5782500;1535000;7289000;6827333;1310583;1225833;1147083;1068333
seattle seahawks;18628783;16026373;13774122;11323329;7377215;7241460;4997975;19544428;12208941;12143816;9980150;8091250;1242750;4000000;3100000;1339721;1247256;1154791
st. louis rams;0;0;29694673;17152421;18807996;7545143;5896494;4757587;1727033;6787033;7220000;4773001;394666;319666;0;0;1115000;485500
tampa bay buccaneers;8704093;16153986;13865726;6119320;9091661;12777189;8719922;7474273;4877500;10044167;7884167;8047833;10400083;4907083;3812083;3933333;2633333;3270000
tennessee titans;32106354;24409408;15342981;15419780;14062503;17752775;16802780;9017073;10648847;8802316;8076041;8473008;3148666;2036041;1284375;1112500;991250;870000
washington redskins;24845061;15534859;16741336;20274665;19815079;11118412;18050008;19509756;8695256;6551972;4421625;730000;6408734;6403734;4515401;3755714;2335714;1728714
