Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
A.J. Feeley; ; ; ; ; ; ;3250000;2750000; ;1400000;1750000;1047500;540000;455000;424833;355158;244833; 
A.J. McCarron;735413;645413;555413;369060; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aaron Murray; ; ;563606;465606; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aaron Rodgers;20300000;19250000;18250000;17550000;11650000;8500000;7750000;6500000;10404500;13952500;1557500;1402500;1150000; ; ; ; ; 
Adrian McPherson; ; ; ; ; ; ; ; ; ; ; ; ;271918; ; ; ; ; 
Alex Smith;16900000;17800000;15600000;4600000;8500000;9250000;4900000;8826666;7526666;4160000;3535000;6910000;2700000; ; ; ; ; 
Alex Tanney;363000;30882;51176; ;119117;390000; ; ; ; ; ; ; ; ; ; ; ; 
Alex Van Pelt; ; ; ; ; ; ; ; ; ; ; ; ; ;600000;250000;250000;477000;440000
Andre Woodson; ; ; ; ; ; ; ; ; ;88400; ; ; ; ; ; ; ; 
Andrew Luck;19400000;18400000;7034363;6029454;5024545;4019636; ; ; ; ; ; ; ; ; ; ; ; 
Andrew Walter; ; ; ; ; ; ; ; ; ;1157000;682000;547000;427000; ; ; ; ; 
Andy Dalton;15700000;13100000;9600000;9059063;1422054;1185045;948036; ; ; ; ; ; ; ; ; ; ; 
Austin Davis;695000; ;966666;570000; ;390000; ; ; ; ; ; ; ; ; ; ; ; 
B.J. Symons; ; ; ; ; ; ; ; ; ; ; ; ; ;143019; ; ; ; 
Ben Roethlisberger;18200000;23950000;17245000;18895000;13595000;8895000;11320000;10355882;13497500;8247500;3127000;4545750;4220250;1785500; ; ; ; 
Billy Joe  Hobert; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;100000; ;440000
Billy Volek; ; ; ; ; ; ;2740000;3083333;2833333;1083333;2750000;1555000;1405000;1090000;605980;375980;298980;193980
Blaine Gabbert;895000;2300000;1750000;2011587;3273176;2727647;2182118; ; ; ; ; ; ; ; ; ; ; 
Blake Bortles;6571985;5633130;4694275;3755420; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brad Johnson; ; ; ; ; ; ; ; ; ;2833333;1833333;1500000;1310000;6800000;5300000;6800000;2050000;1239999
Brad Kaaya;27353; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brad Sorensen; ; ; ; ;419850; ; ; ; ; ; ; ; ; ; ; ; ; 
Bradlee Van Pelt; ; ; ; ; ; ; ; ; ; ; ;385000;255000;230000; ; ; ; 
Brady Quinn; ; ; ; ;242823;1500000;700000;700000;1718750;1433750;1147000; ; ; ; ; ; ; 
Brandon Allen;540000;481068; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brandon Weeden;470294;1737500;271764;570000;1837181;1469745; ; ; ; ; ; ; ; ; ; ; ; 
Brett Favre; ; ; ; ; ; ; ;16000000;12000000;12000000;11800000;12633333;10133333;9533333;9158333;6008333;5535333;3675000
Brett Hundley;670908;580908;490908; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brian Brohm; ; ; ; ; ; ; ;470000;158529;1080000; ; ; ; ; ; ; ; 
Brian Hoyer;476470;2000000;5218750;1250000;715000;153750;529166;399166;314166; ; ; ; ; ; ; ; ; 
Brian St. Pierre; ; ; ; ; ; ; ; ;1000000;445000;850000;500000;380000;179411;261167; ; ; 
Brock Huard; ; ; ; ; ; ; ; ; ; ; ; ; ;265882;684117;550000;461668;386666
Brock Osweiler;775000;12000000;1118944;959096;799244;639396; ; ; ; ; ; ; ; ; ; ; ; 
Brodie Croyle; ; ; ; ; ; ; ;1759000;706667;616667;531667;430000; ; ; ; ; ; 
Bruce Gradkowski; ;443000;1833334;1833333;1283333;2000000;2000000;1684000;530000;445000;381875;296875; ; ; ; ; ; 
Bryce Petty;753424;663424;573424; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Byron Leftwich; ; ; ; ; ;540000;2000000;1800000;2000000;445000;2350000;6458666;2178666;2103666;1790000; ; ; 
C.J. Beathard;641572; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Caleb Hanie; ; ; ; ; ;1125000;1200000;471666;386666;296666; ; ; ; ; ; ; ; 
Cam Newton;20166666;19500000;13000000;7008113;6006954;5005795;4004636; ; ; ; ; ; ; ; ; ; ; 
Cardale Jones;540000;545848; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Carson Palmer;24125000;18375000;7375000;13000000;4000000;3160000;2500000;12300000;14300000;13980000;13480000;12980000;8180000;5477242;2500000; ; ; 
Carson Wentz;6062804;4850243; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Case Keenum;1906250;3635000;585000;58235;405000; ; ; ; ; ; ; ; ; ; ; ; ; 
Casey Bramlet; ; ; ; ; ; ; ; ; ; ; ; ; ;241667; ; ; ; 
Chad Henne;3500000;4750000;3500000;5750000;4650000;2600000;771500;1245600;601500;511500; ; ; ; ; ; ; ; 
Chad Kelly;364067; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chad Pennington; ; ; ; ; ; ; ; ;5750000;4000000;7000000;6000000;6000000;4826202;6732532;1857532;1780532;1019202
Charlie Batch; ; ; ; ; ;540000;935000;980000;460000;1621667;1621667;976667;455000;1235000;765000;450000; ; 
Charlie Frye; ; ; ; ; ; ; ;1226000;460000; ; ;550000;430000; ; ; ; ; 
Charlie Whitehurst; ; ;941176;1500000;1800000;1250000;4000000;4000000;712000;622000;537000;452000; ; ; ; ; ; 
Chase Daniel;900000;5000000;4800000;3400000;1800000;1000000;480000;395000;164117; ; ; ; ; ; ; ; ; 
Chris Chandler; ; ; ; ; ; ; ; ; ; ; ; ; ;416668;1516666;6000000; ; 
Chris Dieker; ; ; ; ; ; ;375333; ; ; ; ; ; ; ; ; ; ; 
Chris Redman; ; ; ; ; ; ;3050000;2550000;3125000;2375000;435000; ; ; ;1318000;530000;453000;348000
Chris Weinke; ; ; ; ; ; ; ; ; ; ;76764;1200000;1521176;1128823;3500000;850000;309000; 
Christian Hackenberg;1059159;847327; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Christian Ponder; ;800000; ;3232313;2770554;2308795;1847036; ; ; ; ; ; ; ; ; ; ; 
