Team;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
arizona cardinals;29389117;20967646;11834168;15901372;6172994;11655489;10862912;2783353;15125000;8695000;9291176;6939833;5749833;1785833;2961000;9123500;7037500;6880000
atlanta falcons;27250000;25500000;20096474;18576474;9899474;14040000;16300000;15203750;13343750;9433437;5128437;12634627;12346190;7971190;4842857;8242857;2200000;0
baltimore ravens;26550000;24050000;16944411;15471327;7381327;8491327;6126327;7700000;7875000;4955000;7822500;5786250;2422500;1353366;3163000;980000;453000;1348000
buffalo bills;10853208;10292562;3719538;6019386;4913939;9450000;8110000;3488529;3806279;4494750;3474750;3482000;2512500;6094666;5750000;10325250;10735917;6987083
carolina panthers;22711299;22310000;15429000;8743113;7514454;6373295;5947136;4025786;10785000;12760000;9985000;5351667;6138843;4430490;5280000;1413000;727000;2108000
chicago bears;21184872;20140352;16680000;19219117;11276471;13640000;11117215;10371666;11921665;5011166;3489500;1994500;2169500;2395168;2566666;1166666;448000;0
cincinnati bengals;16798413;14195413;10232177;10928123;2760833;3185045;2948036;13090000;14685000;15202000;14625375;13551875;8485000;9093909;6458333;2833333;1833333;0
cleveland browns;2209958;11209878;7110424;2807979;4171298;4021318;3254417;8327750;10552083;5229435;3082000;2400000;2471250;5220367;9025000;2950000;2799000;2025000
dallas cowboys;1717514;24140848;17021822;12343000;13818980;9960499;10223499;15590499;5025499;7400832;10749999;6996666;3216666;310000;230000;0;10481210;5915892
denver broncos;3920966;2261158;19067139;18459096;18716294;19764396;2811875;5079500;1446333;2325000;1937500;8904800;3475475;2407232;2784800;1225000;0;4493666
detroit lions;17040000;23338820;18386250;17031668;21556666;11581666;9046975;15617000;11315000;6267000;3945700;5718800;10817550;3443750;2625000;2300000;0;0
green bay packers;21089144;19910318;19940908;19273750;12663000;9040000;8816043;6986043;10805543;15343543;13357500;14353833;11283333;10158333;9158333;6008333;5535333;4090000
houston texans;3793924;14412646;6242777;4895062;11756250;11836250;12325662;10480000;13210000;7600000;5850000;9193333;7573333;2876352;2623333;2600000;0;0
indianapolis colts;22007391;19900000;11109361;9779454;8524545;4409636;19822750;20079416;24854416;22106666;11691666;8950400;6740400;7384615;16059450;10981333;9062333;7624333
jacksonville jaguars;10071985;10864198;8194275;9554831;8347587;5942647;4447118;11858823;8500000;13305000;1600000;7958666;3239666;2589666;2196000;331000;0;0
kansas city chiefs;21205256;20170000;21476940;8786939;10708333;9982763;16381763;14509000;16366667;986667;816667;430000;1165000;1065000;770000;1416668;1016666;656666
los angeles chargers;19540000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
los angeles rams;7775957;9453311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
miami dolphins;32855880;13174117;7473364;8955046;5859205;6218364;4590617;2153318;7077675;5356500;2416500;4358333;935000;628000;491000;402000;0;3393332
minnesota vikings;22523284;12583908;5245038;10227677;9123684;3264423;8030164;17895598;15295067;996500;2050000;2215000;11108857;1567857;1882857;2202500;1405000;2577499
new england patriots;14476470;15245534;14791795;15433436;14603953;9059961;14015135;20719166;15969291;15639945;7793660;14192090;9461430;5058750;8652084;2421166;5044166;8843690
new orleans saints;20365000;18500000;25358585;19035000;18193235;11400000;13054700;12744400;10512017;9645000;7000000;6000000;271918;0;0;1333334;0;1690000
new york giants;21444105;25588400;15148400;21008400;21998400;10140000;18091667;15711667;18156787;16305066;11716666;11321000;2605000;6194000;5950000;6380000;3760000;2210000
new york jets;8312583;10107897;5192407;5402877;15270780;11584413;18144413;10154449;11037500;13181324;7762500;6677500;6000000;4826202;6732532;1857532;1780532;1019202
oakland raiders;17066663;4623009;1805864;9471691;405000;3700000;8350000;7050000;14563830;5508000;8858320;547000;3840666;7754284;3997618;3714285;4414285;5814285
philadelphia eagles;7948686;9850243;17251176;3665137;13405137;14965880;18921696;14067321;18670791;12330862;11723737;10942737;8709522;8709522;7967689;5786249;2248118;1889285
pittsburgh steelers;21014781;25777805;20358139;21333138;15393138;9975000;15830333;13649215;14385833;10652500;5598667;6022417;5055250;3835578;1026167;450000;0;0
san diego chargers;0;17180000;22989168;17844166;15996516;16560000;16250000;14793333;17680333;11380333;9212000;7802000;12933000;6432500;3547500;4467500;7252500;2733000
san francisco 49ers;1075730;20228753;17194870;6114325;2027535;10879613;7016691;15586966;9924241;5810000;4206764;6910000;3017500;10581775;6384521;2209522;566666;325000
seattle seahawks;15321666;18997000;8554868;2067302;1521085;4544868;7250000;11380000;11938562;11325000;10195000;8458750;7472083;6763333;5728333;4200000;2411668;2032666
st. louis rams;0;0;5218449;19930000;13392823;16525000;16165000;5950000;12334500;14100000;17350000;11192416;3879416;7697856;9206523;4373523;2560523;2000857
tampa bay buccaneers;11738985;8192029;5965886;5455469;1184375;8915000;2901375;5376375;7546375;5401375;9513800;425000;0;9050000;7050000;7250000;2612500;562500
tennessee titans;10187105;7534058;4994996;6022974;6336957;10929011;7766920;17808556;11120000;6835000;8425000;10295000;9696158;7929168;7721814;6890814;3872789;7262872
washington redskins;27543600;22237333;8872885;7082926;5972967;5648008;2562500;17861250;6114444;4084700;3078000;2415500;1078000;0;591765;4232000;1902000;5350000
