Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Aaron Jones;515484;;;;;;;;;;;;;;;;;
Aaron Stecker;;;;;;;;;460000;1300000;1437500;1187500;862500;722500;610600;375000;302800;197800
Adimchinobi Echemandu;;;;;;;;;;;;425000;305000;149000;;;;
Adrian Peterson;705882;12000000;15400000;14400000;13900000;12705000;12955000;5695000;2810000;2425000;4490000;;;;;;;
Ahmad Bradshaw;;;378529;486353;1918750;4500000;2750000;1010181;469181;379181;294181;;;;;;;
Ahman Green;;;;;;;;;845001;4650000;4250000;2350000;5625000;4882000;4050000;2400000;1418000;358000
Akeem Hunt;578823;247056;179117;;;;;;;;;;;;;;;
Akeem Judd;82059;;;;;;;;;;;;;;;;;
Alex Collins;508235;496096;;;;;;;;;;;;;;;;
Alexander Green;;;;;555000;601250;503750;;;;;;;;;;;
Alfonso Smith;;;;265588;555000;465000;380000;;;;;;;;;;;
Alfred Blue;719483;629483;539483;449483;;;;;;;;;;;;;;
Alfred Morris;2137500;1300000;1572775;600775;510775;420775;;;;;;;;;;;;
Allen Patrick;;;;;;;;;;605667;;;;;;;;
Alvin Kamara;708193;;;;;;;;;;;;;;;;;
Alvin Pearman;;;;;;;;;620000;520000;435000;451166;331166;;;;;
Ameer Abdullah;1133489;944574;755659;;;;;;;;;;;;;;;
Andre Brown;;;;;2023000;355588;450000;320000;417500;;;;;;;;;
Andre Ellington;273529;1696966;610966;520966;430966;;;;;;;;;;;;;
Andre Williams;527644;35294;623400;533400;;;;;;;;;;;;;;
Anthony Allen;;;;;;465000;387625;;;;;;;;;;;
Anthony Alridge;;;;;;;;;116250;206667;;;;;;;;
Anthony Dixon;;;1266666;1016666;660150;520150;435150;350150;;;;;;;;;;
Antone Smith;;388235;;762500;662500;540000;405000;320000;88400;;;;;;;;;
Antonio Andrews;;600000;510000;247058;;;;;;;;;;;;;;
Antonio Pittman;;;;;;;;;;370000;285000;;;;;;;
Arian Foster;;;8706250;8300000;8250000;8000000;525000;420000;335000;;;;;;;;;
Armando Allen;;;;;;390000;375000;;;;;;;;;;;
Armond Smith;;;;;;465000;;;;;;;;;;;;
Austin Ekeler;466666;;;;;;;;;;;;;;;;;
Baron Batch;;;;;;465000;386628;;;;;;;;;;;
Barry Sanders;;;;;;;;;;;;;;;;;;5499999
Beanie Wells;;;;;;3017500;1585000;1387500;1190000;;;;;;;;;
Ben Tate;;;;;899250;759250;674250;1159250;;;;;;;;;;
BenJarvus Green-Ellis;;;;;3250000;3000000;1835000;477280;392280;302280;;;;;;;;
Benny Cunningham;695000;1671000;588334;498333;408333;;;;;;;;;;;;;
Bernard Pierce;;;660000;708986;618986;528986;;;;;;;;;;;;
Bernard Scott;;;;;97491;634377;544377;414377;329377;;;;;;;;;
Bilal Powell;4633333;1733333;2000000;1531125;655125;565125;475125;;;;;;;;;;;
Bishop Sankey;418000;;873522;698818;;;;;;;;;;;;;;
Bobby Rainey;;680000;1542000;570000;282353;273000;;;;;;;;;;;;
Branden Oliver;800000;600000;451588;420000;;;;;;;;;;;;;;
Brandon Bolden;615000;1272500;1035000;574584;484584;394584;;;;;;;;;;;;
Brandon Burks;;26470;;;;;;;;;;;;;;;;
Brandon Cottom;;333000;;;;;;;;;;;;;;;;
Brandon Jackson;;;;;;2250000;2250000;1120000;650000;560000;475000;;;;;;;
Brandon Jacobs;;;;;480530;1407000;6750000;5750000;5500000;1080750;548750;463750;343750;;;;;
Brandon Saine;;;;;;174375;375000;;;;;;;;;;;
Brandon Wegher;;;435833;;;;;;;;;;;;;;;
Brandon Wilds;;105880;;;;;;;;;;;;;;;;
Brandon Wilson;218823;;;;;;;;;;;;;;;;;
Brian Calhoun;;;;;;;;;;633250;548250;463250;;;;;;
Brian Hill;191471;;;;;;;;;;;;;;;;;
Brit Miller;;;;;;615000;525000;240000;;;;;;;;;;
Brock Bolen;;;;;;615000;525000;395000;310000;;;;;;;;;
Bronson Hill;63529;105880;;;;;;;;;;;;;;;;
Bruce Hall;;;;;;;375000;;;;;;;;;;;
Bruce Perry;;;;;;;;;;;;;;238375;;;;
Bryce Brown;;;116470;570000;492720;402720;;;;;;;;;;;;
Byron Marshall;222352;79410;;;;;;;;;;;;;;;;
C.J. Anderson;3000000;6000000;589167;499166;409166;;;;;;;;;;;;;
C.J. Ham;465000;52940;;;;;;;;;;;;;;;;
C.J. Prosise;738116;623116;;;;;;;;;;;;;;;;
C.J. Spiller;;;2000000;5916666;3718750;3270833;2822916;2123333;;;;;;;;;;
Caleb King;;;;;;;375000;;;;;;;;;;;
Cameron Artis-Payne;656563;566563;476563;;;;;;;;;;;;;;;
Carlos Hyde;1171443;1004094;836745;669396;;;;;;;;;;;;;;
Carnell Williams;;;;;;;525000;2303400;4074000;4137250;3350500;2913750;2327000;;;;;
Casey Cramer;;;;;;;;;620000;605000;510000;425000;305000;230000;;;;
Cedric Benson;;;;;;540000;4323353;3500000;3000000;525000;3195000;2925000;2470000;;;;;
Cedric Houston;;;;;;;;;;;408687;333687;253687;;;;;
Cedric Peerman;1087500;1210000;920000;1050000;1115000;540000;;385000;570000;;;;;;;;;
Chad Spann;;;;;23823;;;;;;;;;;;;;
Charcandrick West;1152083;958333;510000;172941;;;;;;;;;;;;;;
Charles Ali;;;;;;;;;460000;370000;287000;;;;;;;
Charles Sims;950023;836023;726023;535964;;;;;;;;;;;;;;
Chase Reynolds;;862500;585000;495000;405000;;;;;;;;;;;;;
