Team;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
arizona cardinals;3122738;5054463;2575934;2640796;5306754;7946203;4587942;4350166;3837666;8441041;8180875;10309375;689375;4060000;4268000;1373000;745500;669000
atlanta falcons;5899417;1775740;1687750;6973727;5945249;9111083;13077750;11763000;8757214;7323292;10636850;6165332;5091822;5157154;5533333;4253333;5830000;3600000
baltimore ravens;5234113;2464612;2900586;1834484;6466477;6539986;2837625;7584000;5120000;4239843;4112990;4423934;9322200;7684283;6689617;2645291;2169400;2350000
buffalo bills;11324941;10285228;7722620;11353332;7656985;7490833;6356316;3893333;3394848;2146025;3965125;1719250;2007833;7496450;2250000;953334;785333;1651333
carolina panthers;11316345;11174563;9847396;11080000;8446450;13431250;11573000;6008000;5936750;3740000;1225000;1631666;875000;230000;0;0;0;0
chicago bears;2385919;2095516;11349751;8850845;10174916;10345000;4088333;8303958;3528958;2177125;4275625;6396250;5345000;2105000;179832;0;0;1995000
cincinnati bengals;7788121;7582247;3816370;3446964;5750703;4247502;4867730;4709796;4114796;2469500;6800088;5457029;7357500;7229000;5598166;5259166;4818166;3000000
cleveland browns;4420090;2914737;1650149;1529300;2200880;7795250;3460000;1040000;7467062;8903667;4733000;1042000;1722842;1615666;1386666;1290000;0;0
dallas cowboys;8519689;8975016;3270822;2708845;2257011;3415906;2679375;10198867;3116562;4327312;2276063;1514667;1154667;2839979;3523000;12075941;5650000;4872000
denver broncos;6086511;7632024;2043041;2716563;5015552;7111091;6136514;12619215;4208831;833498;1895000;310000;565000;2355071;2874190;4149190;4353690;3346190
detroit lions;5553764;3904254;5554369;6083370;3997008;3666495;7794896;4106630;2976630;3007380;3639500;1650750;996250;845000;0;687500;489500;5499999
green bay packers;2394377;4939901;3463515;2800378;2463832;2883232;5808825;8110488;6901113;5353612;2211338;3510000;6088000;4882000;4050000;2400000;1418000;358000
houston texans;9263114;7863431;10757350;9244483;9801307;9654250;2949250;2845346;1421096;5556096;5550000;899000;419000;0;0;0;0;0
indianapolis colts;6701282;5653333;5517057;3988436;7079420;4219941;8826301;6033632;3226750;2310517;2665083;3900000;11487000;8422558;4761892;4416225;7004475;6692142
jacksonville jaguars;13893698;6248739;6203123;5608261;8961344;9723288;8242112;8017112;6919612;6514935;7200000;5971166;4121166;3576248;3877458;2277457;1733457;1336208
kansas city chiefs;4135727;7586518;9577339;11495196;6779755;9939084;9478333;8278333;2200173;6668422;8783695;4154071;6114071;3746071;2160571;2150000;1848000;0
los angeles chargers;5100679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
los angeles rams;6605348;6617507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
miami dolphins;3274080;1837186;2610310;5275690;1929852;8174435;6063435;11862989;12404506;8180550;4346854;3223534;5733485;635000;2630000;750000;500000;1557000
minnesota vikings;6019560;13631690;16848750;15981808;15441147;14643500;14728058;6856000;6945000;6470000;8248500;4337500;1052500;328500;0;0;0;0
new england patriots;11010522;4084272;3765727;3967293;2914034;3569127;3288666;5345044;5809780;3787592;3562500;3782500;2145000;1205000;0;620000;620000;1195000
new orleans saints;7114957;4961191;5395359;4996875;9159750;9128959;7870167;14795979;11046667;11021667;11299167;13297500;3522500;1902500;4898571;2292857;2611857;1977857
new york giants;6127217;9592891;6462566;5337479;5036739;6780566;11919488;7755181;7138445;2859931;2027931;7517084;4727084;7887333;5119333;3531333;2446333;1724000
new york jets;10249871;5357506;6366250;6031125;4154534;3059156;3044745;2975120;3950326;7724978;5375999;3098020;5844041;4790521;4787346;8102896;8539125;3614325
oakland raiders;3772298;2818848;3861550;6964329;11765884;11440083;14870083;6173000;5652117;5893333;3350000;1065000;520000;445000;365000;0;0;1073334
philadelphia eagles;7712145;10290554;11610000;12273334;6188112;4468303;1814750;3135882;867530;1138750;2254500;1252000;1082000;866375;478334;389333;298333;0
pittsburgh steelers;13063689;4362347;3232082;1631239;2549641;5483859;4149075;4334112;9785666;6377500;4807500;3265000;4548000;3690333;5178333;4323333;2040000;4383529
san diego chargers;0;7450731;7223075;8517686;5029250;8935300;4047712;10558762;14820795;9846462;9933000;8106333;8771333;6968333;3000000;2250000;2000000;0
san francisco 49ers;2895220;3028935;4273424;8265671;9009396;9380057;9977188;9484419;8083644;4847058;2867833;549833;429833;2005000;2700000;1150000;1527000;1050000
seattle seahawks;6515599;2553442;9754057;9451030;10137005;9379114;5126500;3125500;5165250;4461500;7745000;7400000;7065500;4902500;2022500;1872500;1073000;1109000
st. louis rams;0;0;4731638;3635133;2637944;11029674;11459000;9094000;8549000;5346500;1497500;4880357;5615357;9007857;2592857;5067857;5822500;3320000
tampa bay buccaneers;8954728;10180728;4496514;3477896;3691753;3575383;825000;2623400;7824000;7137250;4528588;2913750;2327000;10750;1146100;958334;1964468;1732551
tennessee titans;8746427;7583259;5229939;6864209;14830392;13641782;7381782;2586637;3946637;4616914;2166016;2595010;956335;2665616;6841666;5091666;3478666;3934666
washington redskins;4546309;2438941;3430588;2659357;2261058;2963338;2904463;11590600;6277183;6125933;5216833;6880009;3527166;4113166;1154833;232333;0;0
