Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
A.J. Derby;180880;264700;346013; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aaron Hernandez; ; ; ; ; ;3290000;700000;446000; ; ; ; ; ; ; ; ; ; 
Adam Bergen; ; ; ; ; ; ; ; ; ; ; ;201500;236500; ; ; ; ; 
Adam Nissley; ; ; ; ;289000;274000; ; ; ; ; ; ; ; ; ; ; ; 
Adam Shaheen;1074643; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Adrien Robinson; ; ; ;666413;576413;486413; ; ; ; ; ; ; ; ; ; ; ; 
Alan Cross;158825;397050; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Alex Bayer; ; ; ;423333; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Alex Ellis; ;158820; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Alex Smith; ; ;103235;635000;620000;850000;685000;630000;1550000;1493000;628000;543000;423000; ; ; ; ; 
Allen Reisner; ; ;333000; ;555000;300882;201029; ; ; ; ; ; ; ; ; ; ; 
Andre Smith; ; ; ;333000;141177; ;375000; ; ; ; ; ; ; ; ; ; ; 
Andrew Quarless; ; ;1750000;1250000;1368606;585606;495606;365606; ; ; ; ; ; ; ; ; ; 
Andrew Szczerba; ; ; ; ;288000; ; ; ; ; ; ; ; ; ; ; ; ; 
Anthony Becht; ; ; ; ; ; ;525000; ;460000;865000;1630000;700000;592000;1350000;1230000;1110000;990000;870000
Anthony Denham; ; ;333000;98823; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Anthony Fasano;2750000;3187500;2031250;4281250;2375000;4375000;2675000;1876000;535000;755000;647500;872500; ; ; ; ; ; 
Anthony McCoy; ; ;155294;1350000;656212;566212;476212;346212; ; ; ; ; ; ; ; ; ; 
Antonio Gates;5437500;5500000;8374264;5862500;6862500;6362500;5962500;5987500;4250000;4000000;3625000;4660000;1380000;308500;228500; ; ; 
Antony Auclair;471666; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arthur Lynch; ; ; ;350825; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Asante Cleveland; ;529410;30000;123529; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Austin Hooper;733357;643357; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Austin Seferian-Jenkins;1011690;677534;1194301;955440; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Austin Traylor;191471; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bear Pascoe; ; ;103325;570000;892500;615000;480000;395000;310000; ; ; ; ; ; ; ; ; 
Beau Gardner; ; ;319000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ben Braunecker;254120;370580; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ben Guidugli ; ; ; ; ; ; ;376000; ; ; ; ; ; ; ; ; ; ; 
Ben Hartsock; ; ; ; ;620000;1040000;960000;1200000;1275000; ; ; ; ; ; ; ; ; 
Ben Koyack;540000;450000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ben Patrick; ; ; ; ; ; ; ;1684000;345000;386645;301645; ; ; ; ; ; ; 
Ben Utecht; ; ; ; ; ; ; ; ;2250000;2666666;435000;350000;312500;237500; ; ; ; 
Benjamin Watson;2250000;3000000;1900000;1684375;1650000;4996666;4536666;2466666;1620000;1495000;1270000;1170000;1070000;950000; ; ; ; 
Billy Bajema; ; ; ; ; ;605000;1018334;833333;653333;927000;444533;359533;239533; ; ; ; ; 
Billy Miller; ; ; ; ; ; ; ; ;1045000;955000;435000;425000; ;950000;709117;467000; ;275000
Blake Annen; ;348000; ;197647; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Blake Bell;615000;651283;561283; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Blake Jarwin;282396; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bo Scaife; ; ; ; ; ; ;1000000;4908000;4462000;1417000;462833;377833;257833; ; ; ; ; 
Brad Cottam; ; ; ; ; ; ; ;664667;579667;489667; ; ; ; ; ; ; ; 
Brad Herman; ; ; ; ; ;390833; ; ; ; ; ; ; ; ; ; ; ; 
Brad Smelley; ; ; ; ;84705;48750; ; ; ; ; ; ; ; ; ; ; ; 
Braedon Bowman; ;397050; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brandon Barden; ; ; ; ; ;390000; ; ; ; ; ; ; ; ; ; ; ; 
Brandon Bostick; ;600000; ;495000;391235; ; ; ; ; ; ; ; ; ; ; ; ; 
Brandon Manumaleuna; ; ; ; ; ; ; ;4505000;1700000;1600000;1750000;1350000;1550000;1200000;474000;385000;294000; 
Brandon Myers; ;1916668;1166666;2291666;1125000;587750;502750;417750;332750; ; ; ; ; ; ; ; ; 
Brandon Pettigrew; ; ;3800000;2200000;3470000;2336250;2002500;3854750;1335000; ; ; ; ; ; ; ; ; 
Brandon Williams;615000;675000;137647;495000;405000; ; ; ; ; ; ; ; ; ; ; ; ; 
Brent Celek;4000000;2000000;4800000;4075000;4531000;3787000;3023000;2545450;3725450;415450;330450; ; ; ; ; ; ; 
Brett Brackett; ; ; ;183882; ;22941; ; ; ; ; ; ; ; ; ; ; ; 
Brian Leonhardt; ; ;120000;420000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brian Parker; ; ;435000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brody Eldridge; ; ; ; ; ;540000;490700;360700; ; ; ; ; ; ; ; ; ; 
Bryan Fletcher; ; ; ; ; ; ; ; ; ; ;450300;365300;245300;73950;300000;68000; ; 
Bubba Franks; ; ; ; ; ; ; ; ; ; ;2400000;2585000;2050000;1469000;1384000;1309000;1232000;1127000
C.J. Fiedorowicz;6397826;860826;730826;595826; ; ; ; ; ; ; ; ; ; ; ; ; ; 
C.J. Uzomah;668190;578190;488190; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cameron Brate;690000;600000;450000;123529; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cameron Morrah; ; ; ; ; ;625137;535137;405137;320137; ; ; ; ; ; ; ; ; 
Cethan Carter;468333; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Charles Clay;9000000;6000000;5000000;1459000;583000;493000;403000; ; ; ; ; ; ; ; ; ; ; 
Chase Coffman; ; ;131470;469411;630000;540000;480000;395000;465500; ; ; ; ; ; ; ; ; 
Chase Ford; ; ;240882;407647;214411; ; ; ; ; ; ; ; ; ; ; ; ; 
Chris Baker; ; ; ; ; ; ; ;2750000;2000000; ;1966500;1250000;664000;525000;445000;370000; ; 
Chris Cooley; ; ; ; ; ;464063;6133333;4758333;3053333;3028333;1173750;588750;468750;393750; ; ; ; 
Chris Gragg;418000;689793;599793;509793;419793; ; ; ; ; ; ; ; ; ; ; ; ; 
Chris Manhertz;540000;291170; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chris Pantale; ; ; ;145588;119117; ; ; ; ; ; ; ; ; ; ; ; ; 
Clay Harbor;615000;676764;1500000;1500000;630000;653225;518225;433225; ; ; ; ; ; ; ; ; ; 
Clive Walford;909272;781126;633626; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Coby Fleener;7500000;2400000;1699615;1456813;1214011;971209; ; ; ; ; ; ; ; ; ; ; ; 
Cole Hikutini;328235; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cole Wick; ;453333; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Colin Cloherty; ; ; ; ; ; ;88235; ; ; ; ; ; ; ; ; ; ; 
Colin Cochart; ; ; ; ; ; ;375000; ; ; ; ; ; ; ; ; ; ; 
Cooper Helfet; ; ;510000;420000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cornelius Ingram; ; ; ; ; ; ; ;365970;355970; ; ; ; ; ; ; ; ; 
Courtney Anderson; ; ; ; ; ; ; ; ; ;605000;1460000;884000;314000;239000; ; ; ; 
Craig Stevens; ; ;2270000;2693750;3500000;2000000;774250;644250;559250;469250; ; ; ; ; ; ; ; 
D.J. Tialavea; ;52940;25588; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
D.J. Williams; ; ; ; ;97941;514500;424500; ; ; ; ; ; ; ; ; ; ; 
Dallas Clark; ; ; ; ;620000;2700000;7723333;7823333;7366190;3026190;1137857;1190857;1151857;1050857;1507857; ; ; 
Dan Campbell; ; ; ; ; ; ; ; ;245000;2315000;2015000;1515000;1757000;1557000;1020000;563000;522334;408333
Dan Gronkowski; ; ; ; ; ;540000;405000;403667;318667; ; ; ; ; ; ; ; ; 
Daniel Brown;615000;308820;153529; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Daniel Fells; ; ;665000;570000; ;1333333; ; ;460000;310000; ;275500; ; ; ; ; ; 
Daniel Graham; ; ; ; ; ;469688;2416667;7750000;6650000;4150000;2800000;1563750;1428750;1378750;1328750;585000; ; 
Daniel Hardy; ; ; ; ; ; ;375000; ; ; ; ; ; ; ; ; ; ; 
Danny Noble; ; ; ; ;225882;390000; ; ; ; ; ; ; ; ; ; ; ; 
Dante Rosario; ; ; ;570000;620000;540000;525000;1143750;502750;412750;327750; ; ; ; ; ; ; 
Darrell Daniels;468333; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Darren Fells;975000;600000;510000;420000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Darren Waller;641183;427654;392359; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
David Ausberry; ; ; ;656475;566475;476475;386475; ; ; ; ; ; ; ; ; ; ; 
David Johnson; ;600000;860000;840000;665000;630000;536066;406066;321066; ; ; ; ; ; ; ; ; 
David Martin; ; ; ; ; ; ; ;810000; ; ; ;710000;665000;628000;404834;315833;224833; 
David Morgan;573864;483864; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
David Njoku;1731835; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
David Paulson; ; ; ; ;491474;401474; ; ; ; ; ; ; ; ; ; ; ; 
David Thomas; ; ; ; ; ;1800000;1500000; ;551018;461018;376018;291018; ; ; ; ; ; 
Davon Drew; ; ; ; ; ; ; ;37647; ; ; ; ; ; ; ; ; ; 
Dedrick Epps; ; ; ; ; ;465000;405000; ; ; ; ; ; ; ; ; ; ; 
Delanie Walker;5317708;6267708;5275000;4000000;2950000;1905000;1610000;2125000;920500;830500;385500;300500; ; ; ; ; ; 
DeMarco Cosby; ; ; ; ; ;390000; ; ; ; ; ; ; ; ; ; ; ; 
Demetrius Harris;1550000;950000;510000;371824; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dennis Pitta; ;3200000;6200000;3200000;2023000;663667;573667;443667; ; ; ; ; ; ; ; ; ; 
Derek Carrier;1000000;900000;585000;495000;166765; ; ; ; ; ; ; ; ; ; ; ; ; 
Derek Fine; ; ; ; ; ; ; ; ;484500;394500; ; ; ; ; ; ; ; 
Derek Schouman; ; ; ; ; ; ;685000;421000;57500;370000;160312; ; ; ; ; ; ; 
Dillon Gordon; ;453333; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dion Sims;5333333;1787888;701888;611888;521888; ; ; ; ; ; ; ; ; ; ; ; ; 
Dominique Jones; ;516178; ;67059;480000; ; ; ; ; ; ; ; ; ; ; ; ; 
Donald Lee; ; ; ; ; ; ;850000;2750000;2550000;2350000;595000;533250;413250;338250;258250; ; ; 
Dorin Dickerson; ; ;660000; ;195882;465000; ;333403; ; ; ; ; ; ; ; ; ; 
Dustin Keller; ; ; ; ;4250000;3989375;1864375;1956875;1499375;1190000; ; ; ; ; ; ; ; 
Dwayne Allen;4937500;8906250;1717826;835826;702826;565826; ; ; ; ; ; ; ; ; ; ; ; 
E.J. Bibbs; ; ;435000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ed Dickson;2716668;2566666;1516666;635000;1323000;760833;670833;540833; ; ; ; ; ; ; ; ; ; 
Emanuel Byrd;27353; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Emil Igwenagu; ; ; ; ; ;68823; ; ; ; ; ; ; ; ; ; ; ; 
Eric Ebron;3897455;3340676;2783898;2227118; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eric Green; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;750000
Eric Saubert;521847; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eric Tomlinson;540000;238230; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Erik Swoope;540000;450000;25588; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Evan Engram;1948782; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Evan Moore; ; ; ; ; ;700000;2800000; ; ; ; ; ; ; ; ; ; ; 
Fendi Onobun; ; ; ;333000; ; ;405000;352250; ; ; ; ; ; ; ; ; ; 
Fred Davis; ; ; ; ;2500000;5446000;945500;815500;1160500;640500; ; ; ; ; ; ; ; 
Gabe Holmes;95294;525000;204705; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gabe Miller; ; ; ;98823; ; ;424625; ; ; ; ; ; ; ; ; ; ; 
Garrett Celek;2575000;1915625;710000;572000;482000;392000; ; ; ; ; ; ; ; ; ; ; ; 
Garrett Graham; ; ;3921875;3203125;750025;660025;570025;440025; ; ; ; ; ; ; ; ; ; 
Garrett Griffin;136765; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Garrett Mills; ; ; ; ; ; ; ;630000;535000;445000;360000;390625; ; ; ; ; ; 
Gary Barnidge; ;2562500;2012500;1150000;750000;665000;605000;517312;432312;342312; ; ; ; ; ; ; ; 
Gavin Escobar; ;1339703;1148317;956930;765544; ; ; ; ; ; ; ; ; ; ; ; ; 
Geoff Swaim;628683;538683;448683; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
George Kittle;539571; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gerald Christian; ;132350;331195; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gerald Everett;1098994; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gijon Robinson; ; ; ; ; ; ; ;470000;385000;295000; ; ; ; ; ; ; ; 
Greg Olsen;12100000;5100000;6300000;7800000;3300000;2400000;1200000;1626250;1496250;1306250;1055000; ; ; ; ; ; ; 
Hakeem Valles;31765;344117; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hayden Smith; ; ; ; ; ;277537; ; ; ; ; ; ; ; ; ; ; ; 
Heath Miller; ; ;4151666;6133166;6458500;7070500;3796500;4698000;4672500;2070000;1730000;1585500;1442000; ; ; ; ; 
Henry Krieger-Coble; ;52940; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hunter Henry;1450069;1160055; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ifeanyi Momah;467120;370580;318000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Isaiah Stanback; ; ; ; ; ;615000; ; ;460000;490625;405625; ; ; ; ; ; ; 
Jace Amaro; ;810272;975680;780544; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jack Doyle;8000000;1671000;585000;495000;405000; ; ; ; ; ; ; ; ; ; ; ; ; 
Jack Tabb; ; ;319000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jacob Byrne; ; ; ; ;23824; ; ; ; ; ; ; ; ; ; ; ; ; 
Jacob Hollister;468333; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jacob Tamme; ;2584375;1387500;2200000;3125000;1500000;705393;575393;490393;400393; ; ; ; ; ; ; ; 
Jake Ballard; ; ; ; ;296470;540000;405000; ; ; ; ; ; ; ; ; ; ; 
Jake Butt;423234; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jake O'Connell; ; ; ; ; ;640000;536725;406725;321725; ; ; ; ; ; ; ; ; 
Jake Stoneburner; ; ;480000; ;405000; ; ; ; ; ; ; ; ; ; ; ; ; 
James Hanna;3000000;1750000;686213;596213;506213;416213; ; ; ; ; ; ; ; ; ; ; ; 
James O'Shaughnessy;615000;575563;428386; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jamie McCoy; ; ; ; ; ;390000; ; ; ; ; ; ; ; ; ; ; ; 
Jared Cook;5300000;2750000;8300441;6098677;4000000;790000;700000;570000;485000; ; ; ; ; ; ; ; ; 
Jason Pociask; ; ; ; ; ; ; ; ; ; ;402031;317031; ; ; ; ; ; 
Jason Rader; ; ; ; ; ; ; ; ;108235;282941; ;275000; ; ; ; ; ; 
Jason Vander Laan;164118; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jason Witten;12262000;5862000;6112000;8412000;4352000;8141000;8591000;5141000;4500000;3905000;2595000;1602000;547500;472500;392500; ; ; 
Jeff Cumberland;364705;443000;1900000;1900000;1323000;540667;405667;320667; ; ; ; ; ; ; ; ; ; 
Jeff Dugan; ; ; ; ; ; ; ;915000;865000;815000;715000;536250;316250;241250; ; ; ; 
Jeff Heuerman;785201;695201;473201; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jeff King; ; ; ; ;1883334;2333334;1333333;1759000;1545000;486006;401006;316006; ; ; ; ; ; 
Jerame Tuman; ; ; ; ; ; ; ; ; ;930000;1500000;1050000;2142500;927500;730000;563000;425000;311000
