Team;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
arizona cardinals;6002849;5880711;5182956;4719055;4353077;5215982;4491606;2016250;805000;1954312;1139312;767725;373000;1364834;2305666;1898166;970000;0
atlanta falcons;3755204;5477651;2839586;1140146;6937146;7542625;11716042;8571667;6364902;780293;1841575;275500;0;0;0;738750;667500;596250
baltimore ravens;4653038;7589290;8696356;4298823;3966000;2029500;1244500;6989647;8877500;3977333;5294833;3069833;1800000;0;2250000;1000000;2125000;1625000
buffalo bills;11333000;7932643;6105909;3272899;4969668;3959467;2980000;2118058;1774830;1456264;1670312;500000;792166;242166;0;0;0;0
carolina panthers;15774668;7957836;8146666;9685000;4880000;4645000;7057500;3420062;2480062;1241068;728756;750406;314400;239400;0;0;0;0
chicago bears;9902096;4500797;7395294;7165647;2560000;4865001;3683986;7020235;3300235;2020235;1055000;0;0;0;328000;82000;0;0
cincinnati bengals;7082534;3917543;3336771;7780128;4417841;2626500;4101250;2546000;6243000;6084166;2600000;1950000;1800000;1650000;1400000;0;0;0
cleveland browns;3254714;3587732;4770590;4683350;1970527;7019766;8891016;3096666;0;6305539;4540834;3190834;3645000;1950000;0;0;0;0
dallas cowboys;16537745;9490386;8395213;9965143;5623757;9141775;10297230;6452228;5566228;4895625;3648125;2899500;2304500;2029500;1412500;0;0;0
denver broncos;4781965;3912841;7901142;3669295;8013902;4208902;1792236;9513107;8997440;4843000;3569000;523000;0;564285;869285;864285;0;295000
detroit lions;5520004;5710554;7590223;5026872;4403158;5963309;5635833;6914083;2733667;4315000;2015000;3756666;1836666;0;0;0;0;0
green bay packers;3725857;3489004;3216625;2464445;11484635;4369900;3123150;4068856;3098250;2808250;2995000;3295000;2715000;2327000;1788834;1624833;1456833;1127000
houston texans;10638903;2007162;5367312;4412444;7033223;5910025;6932525;5016428;3707000;982500;452500;367500;0;950000;709117;467000;0;0
indianapolis colts;9946276;11027250;4028029;2787639;2321837;1537035;10354426;10709426;9521583;4918273;2893157;2513657;2312157;5068973;4192023;6235000;3723000;2233000
jacksonville jaguars;7155000;12433820;16441470;10428882;7160882;10319607;4940860;2822625;2085125;1485000;1237500;990000;0;0;0;0;0;0
kansas city chiefs;6968400;4923789;2227212;5511664;3518238;4414995;2108012;2193054;1436392;5826707;4566996;5531371;4931371;3931371;2581371;1414705;1445000;1330000
los angeles chargers;8336274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
los angeles rams;3187105;5585111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
miami dolphins;9510586;10542296;6034535;2421713;6007127;6188989;3933000;2948352;1034019;755000;1600000;3987250;1290375;811375;651375;318125;0;0
minnesota vikings;8070923;9634489;8550418;3825927;4582244;5818267;6022820;4615000;4600000;4460000;5275000;536250;316250;241250;0;0;0;0
new england patriots;12644804;12041980;11681013;7302500;4150882;9354166;2795000;1526000;5630000;1956018;1646018;3415393;2498750;2328750;1328750;585000;0;0
new orleans saints;13247597;5909389;3771330;6181041;3545951;2975973;2071285;6481285;7026018;5250000;435000;810000;0;0;0;0;0;0
new york giants;4806260;3014713;1889705;1780824;2998913;4369663;1518250;2731590;1276590;785840;5514174;4053333;3144597;1963667;1772667;1757000;522334;408333
new york jets;2805019;2592814;4085680;3321132;2593763;6052579;3125042;3867542;3084375;1190000;2368531;1567031;664000;1875000;1675000;1480000;990000;1620000
oakland raiders;7763978;5753339;4799544;2044661;2062838;1555438;5040438;1209000;1034000;3133250;526250;884000;314000;239000;0;0;0;0
philadelphia eagles;9766000;6367396;6779554;5720045;5509036;5209048;3541225;3608675;3725450;4937450;1504450;789000;634000;559000;479000;0;0;0
pittsburgh steelers;3382228;4064728;6019394;7740666;9207474;8491974;5869899;6205066;6391629;3073063;3703063;2635500;3889500;1177500;730000;563000;425000;311000
san diego chargers;0;8157465;10647577;9226891;8795715;8465225;7012500;7137022;5950000;6069625;5759625;6010000;2810000;797666;637666;334166;0;0
san francisco 49ers;3807511;5201512;2729660;9376440;10043077;9173478;9016216;10352216;5700500;5097500;4065033;6854783;934283;133823;0;0;0;0
seattle seahawks;12553573;12670853;9426397;6500662;12778786;8581349;5066849;4458099;1178137;1720000;1710000;500000;0;0;0;0;0;0
st. louis rams;0;0;13900441;7990153;5707555;2200496;3043982;1559461;5713333;5845000;3185000;1060000;1550000;1200000;474000;385000;294000;0
tampa bay buccaneers;3323929;4513718;4336555;4133807;2393504;4138172;9158172;7195000;5320000;1493000;2258000;1442500;1015000;1020000;990000;1059000;0;0
tennessee titans;7404133;10865480;10746250;8034051;6979500;3619500;3890917;6122250;5506250;1886250;462833;377833;257833;8333;0;0;0;0
washington redskins;11813292;8270611;5431690;3668180;4639357;7443809;9117579;5897166;4213833;3668833;1473250;588750;468750;393750;0;0;0;0
