Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
A.J.  Jenkins; ; ; ;1021594;705797;1263188; ; ; ; ; ; ; ; ; ; ; ; 
A.J. Green;13500000;13000000;14750000;6264394;5369481;4474568;3579655; ; ; ; ; ; ; ; ; ; ; 
Aaron Burbridge;388089;475089; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aaron Dobson; ; ;935010;779175;623340; ; ; ; ; ; ; ; ; ; ; ; ; 
Aaron Mellette; ; ; ; ;306357; ; ; ; ; ; ; ; ; ; ; ; ; 
Aaron Moorehead; ; ; ; ; ; ; ; ; ; ;620000;721600;383333;308333;228333; ; ; 
Ace  Sanders; ; ; ;491811;518282; ; ; ; ; ; ; ; ; ; ; ; ; 
Adam Humphries;615000;525000;255882; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Adam Jennings; ; ; ; ; ; ; ; ;285000;445000;383600;298600; ; ; ; ; ; 
Adam Mims; ; ; ; ; ; ;375667; ; ; ; ; ; ; ; ; ; ; 
Adam Thielen;3746000;600000;510000;420000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Adrian Arrington; ; ; ; ; ; ; ;581250;496250;311250; ; ; ; ; ; ; ; 
Airese Currie; ; ; ; ; ; ; ; ; ; ; ;321400;181400; ; ; ; ; 
Alan Bonner; ; ; ;327250;312250; ; ; ; ; ; ; ; ; ; ; ; ; 
Albert Wilson;1797000;603334;513333;423333; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aldrick Robinson;1800000;675000; ; ;480000;390000;375000; ; ; ; ; ; ; ; ; ; ; 
Alec Lemon; ; ; ; ;289000; ; ; ; ; ; ; ; ; ; ; ; ; 
Alex Erickson;543000;450000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Allen Hurns;7000000;9001668;511666;421666; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Allen Robinson;1117095;957510;797925;638340; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Alshon Jeffery;10750000;11163940;1447036;1240317;1033598;826879; ; ; ; ; ; ; ; ; ; ; ; 
Amara Darboh;641572; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Amari Cooper;6180850;5150708;4120566; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Andre Caldwell; ; ;1550000;1150000;1000000;800000;750250;620250;535250;445250; ; ; ; ; ; ; ; 
Andre Debose; ; ;337253; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Andre Holmes;1400000;2000000;1542000;645000;424412;319688;375000; ; ; ; ; ; ; ; ; ; ; 
Andre Johnson; ; ;7500000;15644583;11811251;7494668;6494668;10877168;9787379;8937379;4179046;9787204;3342204;2682204;2285714; ; ; 
Andre Reed; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;80000;80000;1325000
Andre Rison; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1785000;595000
Andre Roberts;1800000;600000;3750000;2250000;1504050;721050;635050;501050; ; ; ; ; ; ; ; ; ; 
Andrew Hawkins;695000;1000000;5000000;5800000;555000;465000; ; ; ; ; ; ; ; ; ; ; ; 
Andrew Turzilli; ; ;179117; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Andy Jones;54706; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Andy Tanner; ; ; ;303000; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Anquan Boldin; ;2693750;6909000;2364000;6000000;7531250;7531250;5406250;4750000;4500000;4000000;4052500;2802500;607500;527500; ; ; 
Anthony Armstrong; ; ; ; ; ;101250;450000;320000; ; ; ; ; ; ; ; ; ; 
Anthony Gonzalez; ; ; ; ; ; ;2091250;1541250;1451250;1316250;1550000; ; ; ; ; ; ; 
