Team;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
arizona cardinals;21601232;19490317;16902091;14681460;15138466;26497382;20327525;14977883;17391416;12751416;11728083;11455583;6869333;4024250;3192500;1968500;0;1677500
atlanta falcons;27980887;21875327;23877288;17827688;17406641;15214876;13482763;13285263;15114012;6595229;7750700;5175350;3938000;1790000;780000;660000;389000;290000
baltimore ravens;17108120;13560473;8292728;6852932;8096045;12714259;13343942;11939924;9795982;8945875;8782833;8000000;4751500;2900833;2049000;3187000;2853250;2925250
buffalo bills;5874243;12984976;12647133;6898694;8979223;11355147;8590716;12318754;16459507;17393749;3313161;2464166;7684582;9229680;6325000;3650000;2500000;2816821
carolina panthers;8158483;7573289;8765172;4122705;11231313;11725449;12419200;11480322;12115907;9071733;7961933;7867541;3965995;7866169;7558067;5769067;2978067;2090400
chicago bears;14458235;22967985;12708674;11993868;16580065;18282272;15557043;9851269;5304602;4146876;7063000;9464400;5744400;398000;0;0;0;0
cincinnati bengals;24282184;17782767;18593745;10679716;9183272;7435479;6721236;18283852;17877000;12259500;11932958;11054333;7262492;7088750;5681372;4077583;3191333;2090000
cleveland browns;4926427;7873927;14792088;10702435;5723178;6835491;4783988;6450075;9399876;10623455;7324500;10392000;3473750;623750;0;0;0;0
dallas cowboys;25966833;19718201;11389281;5529361;7392268;9198438;5643500;29921971;11242629;12785437;16052966;8075466;3623769;3563635;3504783;4681117;2038885;1214285
denver broncos;24982315;24598064;22970875;18544359;9248787;6933287;5203148;14803678;10298992;4318666;8075178;13647178;6391428;5791428;3971428;4406428;2135000;4120000
detroit lions;18548897;17545940;25365800;18515189;15085668;21090627;24654737;21129495;13410458;5423438;17871437;4652000;9040685;4795416;7967082;1380000;2230000;3810000
green bay packers;31356019;19907088;12310038;9244743;9911921;18706914;18661031;16031562;15646812;6143962;5442229;5521667;3666667;2386667;5256667;4224667;5799667;3285667
houston texans;22691456;6310978;6312693;19749337;15620004;11940498;14388688;17129778;13674989;11976656;7065323;13899204;3684204;2769404;2285714;358000;0;0
indianapolis colts;15509991;14566182;13027778;12201162;12534675;7307917;13191871;11116871;9276871;21679170;19955020;17229933;9558333;7574666;10441666;5410000;5381000;4844334
jacksonville jaguars;13347701;13376224;6811239;8036348;6806787;12501708;6374115;4123898;7399565;10882961;4740423;3733333;3263333;2522333;785000;1135000;1012500;890000
kansas city chiefs;5273100;15864762;5994468;17471719;7268150;18013248;8708018;2775000;2260000;4359006;3458250;298250;0;1660713;553571;928571;2636571;1341571
los angeles chargers;20332660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
los angeles rams;25118435;16923134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
miami dolphins;9531516;6333187;6960709;28509027;8725373;7433048;15250478;4098909;5510151;3075166;4660000;425000;699117;2076500;0;1130000;0;0
minnesota vikings;11355855;9422364;16088332;10106763;9698856;7397574;5533466;14088750;9080133;10652208;3500875;4202000;4156333;9040856;8210856;16291872;9736784;7674451
new england patriots;19169936;16898811;15674944;13868743;8856755;15554466;11324248;18742947;16402795;11306575;10195833;1737500;1441303;1396178;2000177;1140092;500000;0
new orleans saints;6756539;5107012;9335330;12159837;11679433;11862819;12507083;12202500;9995000;8719450;3656950;6071950;7749750;11642083;6145833;4612500;1712500;1087500
new york giants;14603545;13508051;14804305;12689471;8677626;5558135;7537519;11344206;7283789;9582250;8816750;6262750;1980000;321166;233083;0;450000;0
new york jets;7222392;20732735;20518240;15118079;12561933;12330400;7830709;12207431;9983317;11624810;5978256;8843250;3330000;2785332;1689332;1900332;1684186;6713666
oakland raiders;21428031;19127374;12223760;8233137;4784602;12116374;14797442;5217457;8448169;6797919;4508333;12671250;5127918;4004303;3532999;5413166;4879912;3938166
philadelphia eagles;20153692;4779551;9112326;10447603;19199989;11585871;12549121;10252371;7069543;4152208;3261583;4163625;3877128;7243333;0;1700000;1375000;2192500
pittsburgh steelers;17648655;16850165;10536026;7522649;11197844;8896714;9498361;9200527;6572872;9749812;10712700;6216033;2820220;5347900;4731875;4903250;3101125;1987500
san diego chargers;0;17940096;8371558;10637616;10926398;11280267;18482017;8793647;5431250;3901250;4481250;2050000;956764;8991467;1431000;0;0;0
san francisco 49ers;13663728;12239415;13590001;13873396;16945181;13973481;10259927;12373877;10045531;7739986;4172424;906250;2122499;6403776;544833;0;3142857;5938095
seattle seahawks;7615665;13054809;9599079;6701964;16831421;13131030;11233752;3639304;15580187;15786176;13268764;7084000;2280000;873529;6661235;6061235;2168393;2025428
st. louis rams;0;0;11144407;7020192;5479735;7600206;5503018;5996343;3370171;10353714;12683047;13013047;12207571;10833571;11133571;6095857;4246857;4742857
tampa bay buccaneers;18823519;20025411;18116532;16661743;13432502;21002379;3941629;3306746;5129067;4021500;1927000;1747000;1206125;3995975;5277142;3357142;2357142;2357142
tennessee titans;19334607;14783325;7871148;9844068;12360953;10601523;7961101;6154601;6153689;1616187;2605500;1785750;1352500;6135833;2815833;4282500;2506000;1774000
washington redskins;10837347;23105140;24269809;18423622;19610688;14952635;10243260;5987741;10599470;8164808;8484666;8117000;1600000;2392142;2382142;0;0;500000
