Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
A.J. Greer;741666;741666;;;;;;;;;;;;;;;;
Aaron Dell;625000;625000;;;;;;;;;;;;;;;;
Aaron Ekblad;7500000;925000;925000;1775000;;;;;;;;;;;;;;
Aaron Johnson;;;;;;650000;550000;;;;;;;;;;;
Aaron Ness;612500;612500;;;;875000;875000;;;;;;;;;;;
Aaron Palushaj;;;;;;;883333;883333;883333;;;;;;;;;
Aaron Rome;;;;;1428846;1500000;750000;750000;525000;544500;495000;;;;;;;
Aaron Volpatti;;;;;575000;600000;612500;612500;;;;;;;;;;
Adam Almqvist;;;;;;694167;694167;;;;;;;;;;;
Adam Burish;;;;;1850000;1850000;1150000;1150000;712500;712500;;;;;;;;
Adam Clendening;104850;600000;761250;;;;;;;;;;;;;;;
Adam Cracknell;;600000;575000;;360000;;575000;;;;;;;;;;;
Adam Erne;874167;874167;;;;;;;;;;;;;;;;
Adam Hall;;;;;600000;650000;;600000;600000;600000;525000;975000;600000;;;;;
Adam Henrique;4000000;4000000;4000000;4000000;4000000;575000;575000;575000;;;;;;;;;;
Adam Larsson;4166666;4166666;4166666;900000;540769;925000;925000;;;;;;;;;;;
Adam Lowry;1125000;1125000;878333;878333;;;;;;;;;;;;;;
Adam McQuaid;2750000;2750000;2750000;1566667;1566667;1566667;575000;575000;541666;541666;541666;;;;;;;
Adam Pardy;;575000;1000000;700000;560000;2000000;2000000;700000;700000;500000;;;;;;;;
Adam Payerl;;;575000;;;;;;;;;;;;;;;
Adam Pelech;1600000;854333;854333;;;;;;;;;;;;;;;
Adam Wilcox;650000;808750;;;;;;;;;;;;;;;;
Adin Hill;725833;725833;;;;;;;;;;;;;;;;
Adrian Aucoin;;;;;;2250000;2000000;2000000;2250000;4000000;;;;;;;;
Adrian Kempe;894167;894167;;;;;;;;;;;;;;;;
Akim Aliu;;;;;;;845333;845333;845333;875000;;;;;;;;
Al Montoya;1062500;950000;1050000;1050000;601000;601000;601000;750000;725000;725000;;;;;;;;
Alan Quine;612500;612500;595000;;;;;;;;;;;;;;;
Alec Martinez;4000000;4000000;4000000;1100000;1100000;737500;737500;637500;637500;637500;;;;;;;;
Aleksander Barkov;5900000;5900000;925000;1137500;925000;;;;;;;;;;;;;
Aleksi Saarela;753333;;;;;;;;;;;;;;;;;
Ales Hemsky;1000000;4000000;4000000;4000000;512821;5000000;4100000;4100000;4100000;4100000;4100000;4100000;901740;;1130000;1130000;;
Alex Auld;;;;;;;1000000;1000000;1000000;1000000;;;;;;;;
Alex Biega;750000;750000;750000;;;;;527500;527500;;;;;;;;;
Alex Broadhurst;650000;;;;;;;;;;;;;;;;;
Alex Carrier;;668833;;;;;;;;;;;;;;;;
Alex Chiasson;660000;800000;1200000;866667;866667;;;;;;;;;;;;;
Alex Formenton;784166;;;;;;;;;;;;;;;;;
Alex Galchenyuk;4900000;2800000;2800000;1350000;925000;925000;;;;;;;;;;;;
Alex Goligoski;5475000;5475000;4600000;4600000;4600000;4600000;1833333;1833333;1833333;845300;845300;;;;;;;
Alex Grant;;;600000;;;;;;;;;;;;;;;
Alex Iafallo;925000;;;;;;;;;;;;;;;;;
Alex Lyon;874125;;;;;;;;;;;;;;;;;
Alex Nedeljkovic;;811666;;;;;;;;;;;;;;;;
Alex Ovechkin;9538462;9538462;9538462;9538462;9538462;9538462;9538462;9538462;9538462;9538462;984200;984200;984200;;;;;
Alex Petrovic;1850000;1050000;1050000;;265000;;900000;;;;;;;;;;;
Alex Pietrangelo;6500000;6500000;6500000;6500000;6500000;816666;816666;816666;;;;;;;;;;
Alex Plante;;;;;;;1075000;1075000;1075000;;;;;;;;;
Alex Stalock;650000;650000;1230108;1600000;625000;;625000;750000;750000;;;;;;;;;
Alex Tanguay;;;3500000;3500000;3500000;3500000;3500000;1700000;2500000;5250000;5250000;5250000;3230000;;1500000;900000;975000;975000
Alex Tuch;925000;925000;;;;;;;;;;;;;;;;
Alexander Burmistrov;;1550000;1550000;;;1500000;1500000;1500000;;;;;;;;;;
Alexander Debrincat;778333;;;;;;;;;;;;;;;;;
Alexander Edler;5000000;5000000;5000000;5000000;5000000;3250000;3250000;3250000;3250000;550000;550000;550000;;;;;;
Alexander Georgiev;792500;;;;;;;;;;;;;;;;;
Alexander Kerfoot;925000;;;;;;;;;;;;;;;;;
