team;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
anaheim-ducks;82268570;86617361;73981638;58041414;59463769;67064166;54986918;62038195;33069028;43448544;31838898;17178065;4216399;0;2525600;1625000;9234000;17940000
arizona-coyotes;63562921;76763342;75116149;42954690;58798944;0;61236666;57211999;41889667;875000;24090000;0;5270400;0;2800000;0;0;0
atlanta-thrashers;0;0;0;0;0;0;4300000;42896666;39522633;22925133;15026800;16639300;14789300;2000000;1905000;2130000;1130000;0
boston-bruins;82532498;80246666;80612667;66010938;67308559;68889643;65575474;69572142;59474166;50202498;32229898;25112032;12411400;0;9273000;3183333;3183333;1958333
buffalo-sabres;75188273;81405814;65649286;42406839;41989515;58394524;65660357;47324523;50790356;39497056;36178923;31066600;10888700;0;5315250;4602500;1050000;650000
calgary-flames;80736632;81955406;77449992;56512248;47729127;57338887;63374553;61742048;55747743;59073333;29277334;23208000;15009740;0;11774667;10487500;3608333;3608333
carolina-hurricanes;62704998;56503719;59831772;58393494;60328462;55398333;62025331;53055330;51062832;43828333;30254200;17393200;4975600;684000;1784900;860000;860000;347500
chicago-blackhawks;81002186;76266516;83154890;71093938;67045719;71864226;67387628;62898831;48265583;53066807;36738032;33032199;12569133;0;955625;733334;733333;733333
colorado-avalanche;68716427;75103744;75959122;67226670;51099415;58481666;48970332;41747498;37250832;33990832;37055899;15530066;16991733;0;8449166;1349166;1424166;975000
columbus-blue-jackets;78532142;79587710;72458808;49892451;54924456;51115476;50669583;43947416;37006582;32811082;16604999;10837500;6964000;0;1185000;1185000;0;0
dallas-stars;76891391;72179196;75373363;60965365;57596405;45396944;50288332;44878333;30652500;31665556;27306388;8755555;6438959;0;4248949;2755625;1450000;1450000
detroit-red-wings;72403711;79920905;73683711;65463065;67180300;62560377;61868709;48893710;44103210;39165556;26555277;14850833;10714166;0;3233333;1495833;662500;0
edmonton-oilers;68288595;76166164;78355299;58521315;41550962;55772000;65931999;56732000;51350000;42262567;28269200;22831700;15590873;0;7690000;6080000;2500000;558333
florida-panthers;72439165;68449438;81498371;55801825;41036488;58154785;56111167;35190000;39998333;36083833;24538500;13963500;12501610;0;6276200;3185000;755833;1168333
los-angeles-kings;78503466;83196431;89842107;69442914;62247586;65407726;73743200;61215746;58666996;31237831;28105832;20686666;4428450;0;2941667;1841667;766667;500000
minnesota-wild;81597761;80640307;77237228;65729807;60492231;76328591;52212500;56701242;52654075;42422492;21937499;11980499;4612999;0;6049666;2058333;2583333;1425000
montreal-canadiens;67126834;80731829;81198185;66345333;63308436;60172500;54964175;61149976;52252977;40159801;28200634;12026327;7013073;0;2452000;1461668;2247291;2247291
nashville-predators;73085832;77454295;67548057;57581256;51798208;48623809;61011732;55260244;49132466;43611804;28061637;25912032;13566106;0;5362500;1072500;812500;812500
new-jersey-devils;77392498;72009932;66569488;58318681;64201473;62928333;63401668;66897501;43327501;43525034;36825866;29042200;19364000;0;13963915;14563915;10683332;5791666
new-york-islanders;77155000;76596477;69699808;61084002;42107018;57434722;41831249;28181665;24926665;25439999;14437500;16676128;11217794;0;8975627;9668127;9668127;1707500
new-york-rangers;76196666;79434659;84541474;67071830;57445193;65459500;72795333;58285333;47491667;46091343;40408843;19244533;10760000;0;0;0;1072500;0
ottawa-senators;78427082;84413349;66081397;56518042;54428697;52746666;54575833;49250000;55278334;48336118;30114951;20858284;15297584;0;11631916;10143584;7636082;3199166
philadelphia-flyers;80180775;77924761;72230000;68039985;61927057;75722679;78783929;66203929;59594167;58014167;38780900;12261900;4784800;0;13089167;13058333;1041666;1041666
phoenix-coyotes;0;0;0;0;58798944;47294166;61236666;57211999;41889667;36096667;24090000;17708734;5270400;0;2800000;3875000;3126000;1610000
pittsburgh-penguins;85581353;87353656;79796934;68791085;68707105;78205257;69698167;73375943;67626776;62778944;37818667;21910634;12518467;675000;3741200;1340000;9800000;9200000
san-jose-sharks;78925834;77993120;77725644;55888574;64639256;64031667;66227778;70235277;62968333;46357499;26720668;30452166;14535099;0;9354000;14995000;4932500;2337500
st-louis-blues;76875833;78488174;73023750;65986379;58541140;60134999;56524165;44160831;40672664;28076666;12270000;8762300;5254800;0;1850000;1121666;10138333;3871666
tampa-bay-lightning;81084167;70602587;75271268;64408821;59195278;60506697;63182088;60781046;49693546;36820833;24158333;21283333;19575333;2550000;10217000;5625000;4370000;2220000
toronto-maple-leafs;83340833;81355524;78615352;58498021;59152757;54015000;60365000;52102499;46401666;32787499;26436865;15581366;2506366;0;1447500;0;0;0
vancouver-canucks;79215778;77757916;76221150;66015478;62383233;75973333;73778333;59990000;45820866;35707532;33352532;28146999;17212933;0;6561666;9278853;7903853;7487187
vegas-golden-knights;80472624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
washington-capitals;81694712;83185127;75089689;68038869;57902829;67313747;71897127;61067405;53404350;44171379;13042950;6223633;3667533;0;15200000;14015000;3325000;3325000
winnipeg-jets;81094166;70226614;61479000;56506717;62792409;57705244;52629958;3766166;845333;875000;0;0;0;0;0;0;0;0
